,Coefficient
FOXK1,0.0
BARX1,0.08017113871477319
NFKB2,0.0003685221782077504
LHX4,0.004034687700472951
PROX1,0.0
LBX2,0.016295181372740396
GLI1,0.013120292152887887
BCL6,-1.034488502054463e-05
ETV3,0.01766414995243743
SIX3,0.018240096441887867
HLF,0.0
RUNX1,-0.0004347957182886618
HOXD13,0.06289671678309905
NR2F1,-0.001186426688430065
ZBTB7B,-0.0004587258862283468
EGR2,0.0010365777175148788
NEUROD2,0.04342686390132397
NFYA,0.00015248071991717175
DLX5,0.06499999873759657
MGA,0.0010068554343771582
NR3C2,-0.0007569108348633889
HOXA9,0.04490005804055293
CREB5,0.005639802668472187
ETV1,-0.00011138452219785478
SNAI2,9.46306878647209e-05
EN1,0.036779541037728264
NKX2-2,0.11074967632815833
NFE2L2,0.0
DLX4,0.05783478340412274
FOXJ2,0.01682102168645573
RUNX3,0.01960358107308423
FOXJ3,-0.0013294774041769932
E2F3,0.0
DEAF1,0.0
NR2F2,-0.025500839742104705
NFIB,0.004521699682900742
RXRA,0.0012996967822762298
SIX1,0.0
