,Coefficient
HOXD8,0.015627558292014558
NFKB2,0.0
RORA,0.0002177988482318621
GRHL1,-0.00041621876956457
TGIF2,0.0009350661072434724
IKZF3,0.0
FOXF1,0.0805575836663777
MYC,-0.0024267285071993133
SIX3,0.13825239637302436
SIX1,0.0
RUNX1,0.0
REST,0.0003328436141650855
EGR2,0.0
ZNF282,0.002806740910949519
NFYA,0.002839455591655624
DLX5,0.016808704336516843
KLF4,0.0
HOXA9,0.05311459678006905
ETV1,-0.01442870971524492
ETV5,0.08221993471714013
SOX5,0.0
NFE2L2,-5.320833986107991e-06
DLX3,0.0760847815471808
ISL2,0.009709568110231716
FOXJ3,-0.0027157307936828906
E2F8,0.014393164355274357
CEBPG,0.011224181941672962
NR2F2,-0.020593746658525963
PPARA,0.0
CNOT3,0.0006574305736307864
SREBF2,0.0
SMAD3,0.0
