,Source,Edge,Target
0,GSC,0.0678054755273065,GMEB2
1,BCL6,0.1437058607568703,GMEB2
2,DR1,-0.0860808660238159,CUX1
3,ZNF282,0.1813361151652883,CUX1
4,OTX1,0.2563929947429203,CUX1
5,HIVEP2,0.2192345297524254,CUX1
7,RORA,0.0001308815861028,VAX1
8,ETV4,0.0434758784354916,VAX1
9,LBX2,0.0965330697779069,VAX1
12,IKZF3,-0.0210408254972574,VAX1
13,HOXC9,0.1769487033508945,VAX1
16,ETV3,0.0005133385761489,VAX1
18,PPARG,0.0084160056214594,VAX1
22,CDC5L,0.0006986899961074,VAX1
24,SOX21,0.0648626264470615,VAX1
26,GATA4,0.1675244211194391,VAX1
27,SNAI2,0.0398246221206075,VAX1
28,HOXC8,0.0061152720293635,VAX1
32,BACH2,0.0108921557066661,VAX1
36,GLI2,0.0073718782602822,VAX1
38,SREBF2,0.0027021147171888,VAX1
39,SIX1,0.020103778855956,VAX1
40,HOXA9,0.1443601639387058,LHX4
41,ETV1,-0.083614464673175,LHX4
42,SF1,0.1406478605066057,LHX4
43,FOXF1,0.0401957003508341,LHX4
44,HOXC9,0.1122004822555698,LHX4
45,ZNF652,0.1375167208986879,LHX4
46,ETV3,0.0245219380063754,LHX4
47,FOXJ3,0.1248591498290482,LHX4
48,NR2F1,0.0712050742621164,RORA
49,FOXO1,0.2509692389180573,RORA
50,MGA,0.0823833833027166,RORA
51,ETV5,0.0760328036478882,RORA
52,NFE2L2,0.1381639311383375,RORA
53,CEBPG,0.0864799745775105,RORA
54,RORA,0.0569974699731566,POU2AF1
55,ETV4,-0.0261081618934132,POU2AF1
56,GATA4,-0.0016841114298148,POU2AF1
57,SNAI2,-0.0209475582013861,POU2AF1
58,CUX1,-0.0015988926489259,POU2AF1
59,TGIF2,-0.0014428608023642,POU2AF1
60,FOXF1,0.0959305334525846,POU2AF1
61,MTERF1,-0.0187384062095797,POU2AF1
62,HIVEP2,0.0002245907350942,POU2AF1
63,FOXJ3,-0.0018031753411346,POU2AF1
65,OSR2,6.354100960692584e-06,POU2AF1
66,E2F3,-0.0035127765754416,POU2AF1
69,FOXO1,0.0490879135564141,POU2AF1
72,TFCP2,0.1403446876541865,TTF1
73,ZBED6,0.2059069987286691,TTF1
74,NFE2L2,0.0884768351258814,TTF1
75,DLX1,0.1696379488034578,TTF1
76,CUX1,0.0331789634706014,ELF4
77,KLF11,0.0217131810582299,ELF4
78,MYC,0.0724439185464938,ELF4
79,ZNF282,0.0896434495548602,ELF4
80,RXRA,0.1229583412542805,ELF4
81,SNAI2,0.0967977478290031,ELF4
82,BBX,0.0181013651533476,ELF4
83,SP1,0.1564386442325217,ELF4
84,KLF16,0.0229226659744801,ELF4
85,FOXO1,0.0752032807326106,ELF4
86,DLX3,-0.0202085388328869,ELF4
87,EN2,0.0528082770825246,ELF4
88,HIVEP2,0.0129287764305724,ELF4
89,SMAD3,0.1157909968545275,ELF4
90,DLX1,0.0698890246039375,SNAI2
91,FOXK1,0.121473835709166,RUNX3
92,KLF12,0.1632762633403141,RUNX3
93,REST,0.0531068014560563,SP4
94,NR3C2,0.0762818660972033,SP4
95,FOXJ3,0.1321308462175875,SP4
96,BBX,0.0786672710737617,SP4
97,SP1,-0.0555091560588429,SP4
98,FOXK1,0.0792696718457848,SP4
99,KLF16,-0.1180933160726149,SP4
100,ZBTB14,0.2153646461906267,SP4
101,ESRRG,0.0872950679045932,SP4
102,ETV1,0.0560496518881698,SP4
103,RXRA,-0.0676862417294874,SP4
104,FOXD3,0.1093514289422981,LBX2
105,FOXD3,0.1805061459985014,BARX1
106,SIX3,0.1457184923934802,BARX1
107,DLX1,0.108713253640793,BARX1
108,CEBPG,0.1659443865005591,BARX1
109,FOXD3,0.0772979834434196,LHX2
110,KLF11,0.0524053714588318,LHX2
111,HOXC9,0.0433693983240108,LHX2
112,SIX3,0.141029800727501,LHX2
113,SP1,0.0406639103512248,LHX2
114,CDC5L,0.023143552474384,LHX2
115,TCF3,0.1004619744208234,LHX2
116,HOXB13,0.1782032999034311,PDX1
117,GSC,0.2785925906387,PDX1
118,FOXD3,0.0297235195129832,DLX1
119,ETV1,0.0007839146359197,DLX1
121,SNAI2,0.0334580252094413,DLX1
122,CUX1,0.0031029168915062,DLX1
123,TGIF2,0.0911655075898274,DLX1
124,IKZF3,-0.053388571340314,DLX1
125,MTERF1,0.0305460333145781,DLX1
126,NFE2L2,0.0004631665299746,DLX1
127,STAT5B,0.0069323900574552,DLX1
128,OTX1,0.0410714276812586,DLX1
129,HIVEP2,0.001811049879706,DLX1
130,HOXC9,0.0937485230955787,DLX1
132,OSR2,0.1510523311225466,DLX1
133,BACH2,0.0044455487020455,DLX1
134,RUNX1,-0.0077109517254398,DLX1
135,E2F8,-0.0041456793260819,DLX1
136,TCF3,0.0352033293099533,DLX1
137,MZF1,-0.0062056715073173,DLX1
138,DEAF1,0.0471290067686639,DLX1
141,BHLHE22,-0.0154073359255896,DLX1
142,GLI2,0.0503558926221681,DLX1
144,CDC5L,0.0395781224350183,DLX1
145,MGA,0.01099043887134,DLX1
146,SIX1,0.0006710749091901,DLX1
148,ELF4,0.0654902502179961,EN1
149,DLX5,0.1636108072829686,EN1
150,GSC,0.1145544253651316,EN1
151,FOXJ3,-0.0928491872422882,EN1
152,EMX1,0.1354869241737437,EN1
153,KLF12,0.061616476821874,EN1
154,MZF1,0.2411120383026751,ZBTB7B
155,KLF16,0.2136505808022952,ZBTB7B
156,PPARA,0.0704689196589706,ZBTB7B
157,ALX3,0.0417179149120834,ZNF282
158,CUX1,0.1677371141446524,ZNF282
159,ELF4,0.1381616908341214,ZNF282
160,ZBTB7B,0.1135016356039375,ZNF282
161,RFX1,0.2612152829062389,ZNF282
162,DLX5,0.0457530043957005,ZNF282
163,HOXD8,0.2053966912209528,HOXD13
164,HOXB13,0.1749320903321345,HOXD13
165,DLX5,0.1392584102391633,HOXD13
166,VAX1,0.2058648290985721,HOXD13
167,HOXD13,0.0538108531366442,PLAG1
168,ALX3,0.1789134228602709,PLAG1
169,SP4,0.1048853958980902,PLAG1
170,HOXA9,0.0497307339270073,PLAG1
171,DLX1,0.1367493018835457,NKX6-1
172,CREB5,0.0555817588160896,NKX6-1
173,GSC,0.0515835910609222,NKX6-1
174,GATA4,0.0544421416954951,NKX6-1
175,SNAI2,0.0555509640481037,NKX6-1
176,SOX5,0.0629890835715981,NKX6-1
177,ISL2,0.0753841398906954,NKX6-1
178,BACH2,0.0750515100273259,NKX6-1
179,BARX1,-0.0017648957011864,NR2F2
180,ETV1,0.0160514239541504,NR2F2
182,DR1,0.0303826063059385,NR2F2
183,ETV5,0.0008340391304526,NR2F2
184,DLX3,0.0162113994847024,NR2F2
186,OSR2,0.0726140265682456,NR2F2
187,ZIC2,0.0007037237300483,NR2F2
189,REST,0.0603516022082036,NR2F2
191,ZBED6,0.001321522310906,NR2F2
192,BBX,0.001599623269095,NR2F2
193,ESR2,0.0027444270150529,NR2F2
195,RREB1,0.0077957363904554,NR2F2
196,NR3C2,0.2696371650861183,NR2F2
197,EGR2,0.1931263686393833,BACH2
198,HOXC8,0.0913666131613085,BACH2
199,TFE3,0.1204194883952005,BACH2
200,GLI1,0.1281025597854193,BACH2
201,ZNF217,0.0662084929918052,BACH2
203,TTF1,0.08823043766082,MLXIPL
204,LHX4,0.5249071502149504,MZF1
205,E2F8,0.1371814639173162,E2F3
206,HOXC9,0.1260208337189554,E2F3
207,FOXJ3,0.3356483470319463,E2F3
208,NFYA,0.076258725386004,SIX3
209,FOXD3,0.0807592433637403,MNX1
210,HOXC9,0.075320999425468,MNX1
211,FOXO1,-0.1030233748261783,MNX1
212,GATA4,0.1100253121540832,MNX1
213,NFE2L2,-0.0625715753291769,MNX1
214,ISL2,0.0607378119458692,MNX1
215,ZNF652,0.1120815797319068,MNX1
216,OSR2,0.0537724181182838,MNX1
217,SIX1,0.0701287180885832,NEUROD2
218,RUNX1,0.0342865095432831,IKZF3
219,HOXA9,0.0025700270320258,IKZF3
221,MGA,0.029117065421694,IKZF3
222,CEBPG,-0.0168286500344914,IKZF3
223,ZBTB49,0.0763134969579544,IKZF3
225,MYC,-0.0570787385871755,IKZF3
