,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned,Fraction_of_aligned_and_diff_exp_edges,number_downstream_regulons,number_differentially_expressed_regulons
3568,15,EGR2,3568,-1.0,1.5901548028277914,0.31826020006881856,2.510847253418074e-13,-7.301102762123875,3.637054099342312,0.5,0.3333333333333333,3,2
1143,15,NFYA,1143,-1.0,1.490278522002269,0.26853103618093754,8.988058219459072e-10,-3.346711827714476,1.7392733513911927,0.9166666666666666,0.44,25,12
1126,15,NFYA,1126,-1.0,1.490278522002269,0.4557051332462681,3.2755232073586966e-27,-3.960742541879311,2.0785598888056596,0.9166666666666666,0.44,25,12
1139,15,NFYA,1139,-1.0,1.490278522002269,0.10457257441420073,0.01886131218783673,-3.315546118613292,1.6957314295123695,0.9166666666666666,0.44,25,12
1130,15,NFYA,1130,-1.0,1.490278522002269,0.33460194369867013,1.1940187821834446e-14,-4.197691087762529,2.1367621674154607,0.9166666666666666,0.44,25,12
1145,15,NFYA,1145,-1.0,1.490278522002269,0.33211193303281983,1.9219367984174992e-14,-3.834442171296954,1.9555990702438317,0.9166666666666666,0.44,25,12
1127,15,NFYA,1127,-1.0,1.490278522002269,0.2957424051394045,1.2436350509917375e-11,-4.317448137751769,2.1590600592318583,0.9166666666666666,0.44,25,12
1140,15,NFYA,1140,-1.0,1.490278522002269,0.2250440989184271,3.3024427217249107e-07,-2.7328833590284085,1.4194534416528588,0.9166666666666666,0.44,25,12
1148,15,NFYA,1148,-1.0,1.490278522002269,0.23005992616295867,1.76792862905397e-07,-2.6298052376259684,1.3583335114184294,0.9166666666666666,0.44,25,12
1133,15,NFYA,1133,-1.0,1.490278522002269,0.2658256276415648,1.3413670977153451e-09,-2.9000391039857742,1.5159522927274438,0.9166666666666666,0.44,25,12
1134,15,NFYA,1134,-1.0,1.490278522002269,0.5422274970851456,7.302632831075431e-40,-5.426495836166432,2.6869779671124516,0.9166666666666666,0.44,25,12
1128,15,NFYA,1128,-1.0,1.490278522002269,0.2978276777644063,8.786361649374567e-12,-3.273340602644077,1.7935482768086468,0.9166666666666666,0.44,25,12
2660,15,ESR1,2660,-1.0,2.8259559974095465,0.26775933439994964,1.0080054517266017e-09,-4.895580504463626,2.6390264861779196,0.6666666666666666,0.17391304347826086,23,6
2661,15,ESR1,2661,-1.0,2.8259559974095465,0.5047877285825574,6.091228370190566e-34,-4.50865528536634,2.4688983193556893,0.6666666666666666,0.17391304347826086,23,6
2663,15,ESR1,2663,-1.0,2.8259559974095465,0.3438623650705259,1.9568938913770362e-15,-4.550144377645618,2.6157702368873226,0.6666666666666666,0.17391304347826086,23,6
2656,15,ESR1,2656,-1.0,2.8259559974095465,0.595657605114959,1.0156813761127825e-49,-6.996655022870819,3.485872872389645,0.6666666666666666,0.17391304347826086,23,6
5556,15,ZNF232,5556,-1.0,1.913260769280147,0.2021917717824849,4.756241566550078e-06,-3.924486659020409,2.006900723474917,1.0,0.5833333333333334,12,7
5552,15,ZNF232,5552,-1.0,1.913260769280147,0.3215427211875115,1.3819373227293186e-13,-3.987696920786674,2.03169418981482,1.0,0.5833333333333334,12,7
