,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned,Fraction_of_aligned_and_diff_exp_edges,number_downstream_regulons,number_differentially_expressed_regulons
4203,3,IRF2,R-4203,1.0,1.3661894222239603,0.6014434643143544,7.25962510748663e-10,3.1409493625758036,1.6065701327432669,0.6666666666666666,0.08,25,3
4212,3,IRF2,R-4212,1.0,1.3661894222239603,0.425931326091711,3.9044800095115006e-05,3.760201525922231,3.170771023931808,0.6666666666666666,0.08,25,3
7104,3,BARX2,R-7104,1.0,2.415622489618651,0.1537508201501785,0.1550787116570172,5.013170266091912,2.803766034990221,1.0,0.3,20,6
7100,3,BARX2,R-7100,1.0,2.415622489618651,0.0382919005613472,0.7247435044330017,2.887131594029957,1.6295944335500596,1.0,0.3,20,6
7102,3,BARX2,R-7102,1.0,2.415622489618651,0.4793504410585404,2.6370090044285084e-06,4.505505314486007,2.671695092772316,1.0,0.3,20,6
7106,3,BARX2,R-7106,1.0,2.415622489618651,0.5595246774075964,1.764502663657907e-08,4.2700724271146,3.624181263343924,1.0,0.3,20,6
7099,3,BARX2,R-7099,1.0,2.415622489618651,-0.1523839031858277,0.1588268390477382,-3.101927831100614,1.8634466183540823,1.0,0.3,20,6
7093,3,BARX2,R-7093,1.0,2.415622489618651,0.4608150470219435,7.074251913393671e-06,4.033169557993984,3.7322670256154473,1.0,0.3,20,6
6578,3,NFIL3,R-6578,-1.0,2.03786546805069,0.6437449879711307,1.750856317115988e-11,-4.2790048889558445,4.018512385698425,1.0,0.0769230769230769,13,1
4459,3,ZNF713,R-4459,1.0,1.8664989854017575,0.157906247721805,0.1440895577235616,2.7393401549944665,1.680155115635927,1.0,0.0869565217391304,23,2
4457,3,ZNF713,R-4457,1.0,1.8664989854017575,0.3649668294816651,0.0005096118140025,3.28228072510502,1.9113344232923408,1.0,0.0869565217391304,23,2
6236,3,LEF1,R-6236,1.0,2.383877552040745,0.5836735437777939,2.9671077237018904e-09,3.062019402285431,1.617394949318417,0.3333333333333333,0.04,25,3
4845,3,GLIS2,R-4845,1.0,3.0985292735482157,0.3665160020412626,0.0004802782062583,4.670864428909698,4.420412223409465,1.0,0.04,25,1
4027,5,PRRX1,R-4027,1.0,1.3115245271596383,0.5788802216228037,4.276003610492565e-09,4.082114801729058,2.8687278005873273,0.8888888888888888,0.32,25,9
4033,5,PRRX1,R-4033,1.0,1.3115245271596383,0.2560873368812422,0.0166591620544223,2.758430398389596,1.6948747093887755,0.8888888888888888,0.32,25,9
4025,5,PRRX1,R-4025,1.0,1.3115245271596383,0.563443172705402,1.334056345062879e-08,3.127413941875198,1.9251990783317063,0.8888888888888888,0.32,25,9
4026,5,PRRX1,R-4026,1.0,1.3115245271596383,0.3849602682802361,0.0002316917433248,3.5923102694569566,2.345722565915919,0.8888888888888888,0.32,25,9
4024,5,PRRX1,R-4024,1.0,1.3115245271596383,0.2966027557046001,0.0052776712104359,2.6522668333451596,1.6365984737281178,0.8888888888888888,0.32,25,9
4017,5,PRRX1,R-4017,1.0,1.3115245271596383,0.224174382153532,0.0368554328306256,2.7219163890017537,1.6912163046647164,0.8888888888888888,0.32,25,9
4023,5,PRRX1,R-4023,1.0,1.3115245271596383,0.741470438142451,2.1502041187746967e-16,3.139604383358287,2.083165078224554,0.8888888888888888,0.32,25,9
4038,5,PRRX1,R-4038,1.0,1.3115245271596383,0.3475067434570241,0.0009742372633272,2.8479336505126964,1.7294483481232132,0.8888888888888888,0.32,25,9
4360,5,PRDM4,R-4360,1.0,1.596046533011956,-0.2891120507399576,0.0066093340773661,-5.8485225884850705,4.743600534677152,1.0,0.3076923076923077,13,4
4364,5,PRDM4,R-4364,1.0,1.596046533011956,0.1899285558066632,0.0780712265719832,6.020373508307124,5.0476716049169985,1.0,0.3076923076923077,13,4
4370,5,PRDM4,R-4370,1.0,1.596046533011956,0.1741998979368666,0.1065943543204912,4.39798526753444,3.165083274313715,1.0,0.3076923076923077,13,4
4358,5,PRDM4,R-4358,1.0,1.596046533011956,0.5806116497776481,3.749788287281311e-09,3.1292786999700977,2.0281480572270114,1.0,0.3076923076923077,13,4
8021,5,DLX2,R-8021,-1.0,1.854630546097779,-0.1267179997642583,0.2421727856372979,3.1772415172468023,1.9745662134365256,0.75,0.2142857142857142,14,4
8015,5,DLX2,R-8015,-1.0,1.854630546097779,0.352763908211791,0.0008046390357845,-2.3477974000653328,1.360370691876729,0.75,0.2142857142857142,14,4
8022,5,DLX2,R-8022,-1.0,1.854630546097779,-0.234213600717846,0.0290012955357576,2.641562001664977,1.5799511281619685,0.75,0.2142857142857142,14,4
6615,5,RUNX1,R-6615,1.0,2.076757251234658,-0.2692461908580593,0.0116758649571427,-9.215738785567243,12.269230962107956,1.0,0.32,25,8
6634,5,RUNX1,R-6634,1.0,2.076757251234658,0.4224137931034482,4.5915035510046967e-05,2.267103087111523,1.3538750483924509,1.0,0.32,25,8
6618,5,RUNX1,R-6618,1.0,2.076757251234658,0.4809725158562367,2.4121391781690464e-06,2.486748124156777,1.4315654188272684,1.0,0.32,25,8
6631,5,RUNX1,R-6631,1.0,2.076757251234658,0.5098235765838011,4.567188420755745e-07,2.3944980488835172,1.3935151337836496,1.0,0.32,25,8
6637,5,RUNX1,R-6637,1.0,2.076757251234658,0.6347780126849893,4.04470180820355e-11,2.435972125158957,1.4073166026921098,1.0,0.32,25,8
6629,5,RUNX1,R-6629,1.0,2.076757251234658,-0.3837573813516075,0.0002432941492073,-2.297540627637456,1.327854300871375,1.0,0.32,25,8
6621,5,RUNX1,R-6621,1.0,2.076757251234658,0.5590872639790041,1.8200447806573586e-08,3.3087871040242005,2.1154223933087177,1.0,0.32,25,8
6619,5,RUNX1,R-6619,1.0,2.076757251234658,0.4198622147699933,5.15858491594069e-05,3.0534876052862816,1.8686256609791547,1.0,0.32,25,8
4173,5,FOXJ3,R-4173,1.0,1.4078314028439505,0.6236057446963621,1.1060345447734876e-10,2.56691431815843,1.5607283018915683,1.0,0.32,25,8
4194,5,FOXJ3,R-4194,1.0,1.4078314028439505,0.2324305606182109,0.0302826359375107,2.897510064817859,1.7110337965147333,1.0,0.32,25,8
4178,5,FOXJ3,R-4178,1.0,1.4078314028439505,0.4793686666180651,2.634376092472925e-06,3.3052225273045943,2.0986141217546845,1.0,0.32,25,8
4195,5,FOXJ3,R-4195,1.0,1.4078314028439505,0.2494350076547349,0.0198124781435168,2.3422767976086103,1.4607597938219652,1.0,0.32,25,8
4191,5,FOXJ3,R-4191,1.0,1.4078314028439505,0.3816249908872202,0.0002651864064068,3.0999244065312093,1.857318657712208,1.0,0.32,25,8
4189,5,FOXJ3,R-4189,1.0,1.4078314028439505,-0.4738463220820879,3.556284596349048e-06,-5.206102978088188,3.7066510808246775,1.0,0.32,25,8
4174,5,FOXJ3,R-4174,1.0,1.4078314028439505,-0.3064081067288765,0.0038965360826467,-8.322420208318537,9.249649545480638,1.0,0.32,25,8
4190,5,FOXJ3,R-4190,1.0,1.4078314028439505,0.3469964277903331,0.0009923210162334,3.987147271426416,2.734051549421623,1.0,0.32,25,8
2138,5,CREB3,R-2138,-1.0,8.118225118295353,-0.1787562878180359,0.0976036594794321,2.427315641311677,1.4978784261372886,1.0,0.4444444444444444,9,4
2132,5,CREB3,R-2132,-1.0,8.118225118295353,0.3194758329080702,0.0025593240211688,-8.427019115907278,10.44580193107294,1.0,0.4444444444444444,9,4
2139,5,CREB3,R-2139,-1.0,8.118225118295353,0.3285886126704089,0.0018880102912797,-3.4423467239384893,2.2672118325541013,1.0,0.4444444444444444,9,4
2135,5,CREB3,R-2135,-1.0,8.118225118295353,-0.3839578625063789,0.0002413239730947,3.7520312244226592,2.6785478353901,1.0,0.4444444444444444,9,4
2516,5,CDC5L,R-2516,1.0,1.6215080079237807,0.3125501202886928,0.0032053632905482,2.908859683105617,1.8765457741551048,1.0,0.5,22,11
2522,5,CDC5L,R-2522,1.0,1.6215080079237807,0.4262776117226798,3.842299532817824e-05,2.7597366006715407,1.6868673764903233,1.0,0.5,22,11
2523,5,CDC5L,R-2523,1.0,1.6215080079237807,0.1990231100094772,0.0645953500629144,2.821298917952414,1.7142892079947645,1.0,0.5,22,11
2530,5,CDC5L,R-2530,1.0,1.6215080079237807,0.2550120288692863,0.0171374650121971,2.330031237656232,1.3527942476840409,1.0,0.5,22,11
2529,5,CDC5L,R-2529,1.0,1.6215080079237807,0.3191659983961507,0.0025855153024194,3.536593693525183,2.495541355594844,1.0,0.5,22,11
2511,5,CDC5L,R-2511,1.0,1.6215080079237807,0.4854924546183568,1.87709943891778e-06,2.400129024787743,1.438118578010755,1.0,0.5,22,11
2526,5,CDC5L,R-2526,1.0,1.6215080079237807,0.3001567398119121,0.0047336179127525,3.2079799588872766,2.044087074089114,1.0,0.5,22,11
2528,5,CDC5L,R-2528,1.0,1.6215080079237807,0.3239775461106655,0.0022047485869521,2.366309247707518,1.367512884974659,1.0,0.5,22,11
2518,5,CDC5L,R-2518,1.0,1.6215080079237807,0.1510169862214769,0.1626418964233322,2.713933748370303,1.704062253913505,1.0,0.5,22,11
2521,5,CDC5L,R-2521,1.0,1.6215080079237807,0.3266749289203178,0.0020141106425967,2.6399324393721084,1.635318665294411,1.0,0.5,22,11
2524,5,CDC5L,R-2524,1.0,1.6215080079237807,0.4429357731282349,1.7381015314943837e-05,2.2699605313930284,1.3472374653130057,1.0,0.5,22,11
7603,5,FOXG1,R-7603,1.0,3.581180354028138,0.1674103121748162,0.1211717071584444,2.290091091565603,1.4111835893033422,0.8333333333333334,0.2272727272727272,22,6
7589,5,FOXG1,R-7589,1.0,3.581180354028138,0.0634705689944405,0.5591929362113406,2.2880897788322794,1.4064118836239086,0.8333333333333334,0.2272727272727272,22,6
7599,5,FOXG1,R-7599,1.0,3.581180354028138,0.1239714310408704,0.2526139713682001,2.820170110198413,1.7504508910896208,0.8333333333333334,0.2272727272727272,22,6
7602,5,FOXG1,R-7602,1.0,3.581180354028138,0.1653444290805479,0.1258982397879961,4.065515367202587,2.781750294112657,0.8333333333333334,0.2272727272727272,22,6
7597,5,FOXG1,R-7597,1.0,3.581180354028138,0.0696313275077051,0.5216120414455179,2.5107343022711177,1.4333134183449916,0.8333333333333334,0.2272727272727272,22,6
