,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned,Fraction_of_aligned_and_diff_exp_edges,number_downstream_regulons,number_differentially_expressed_regulons
2477,7,E2F8,2477,1.0,4.794378757190453,0.37850842020850034,0.0003004587620495785,2.3233476453058666,1.5280561178880168,0.5,0.1111111111111111,9,2
1730,7,VAX2,1730,-1.0,1.7370109022809859,-0.16559743384121892,0.12531192344371186,2.8568373300936676,1.9815938669863133,0.6666666666666666,0.25,8,3
1727,7,VAX2,1727,-1.0,1.7370109022809859,-0.05429394182401399,0.6174524572985807,2.471416884072791,1.6673182773990791,0.6666666666666666,0.25,8,3
1795,7,RARG,1795,1.0,1.450022032127744,0.28960414084712394,0.006513519737441644,2.771537022569683,1.9926453021850943,0.5555555555555556,0.2,25,9
1818,7,RARG,1818,1.0,1.450022032127744,0.3673726033389225,0.0004647305664950108,3.282885835147328,2.5135704638457255,0.5555555555555556,0.2,25,9
1798,7,RARG,1798,1.0,1.450022032127744,-0.27662754246555366,0.009494522131363642,-3.107037722431457,2.5398059436262717,0.5555555555555556,0.2,25,9
1810,7,RARG,1810,1.0,1.450022032127744,0.3086680761099365,0.0036281111433087653,5.607649019032704,5.026526222048857,0.5555555555555556,0.2,25,9
1813,7,RARG,1813,1.0,1.450022032127744,0.24979951884522852,0.019627309345349838,5.0521479991142995,4.344781209892161,0.5555555555555556,0.2,25,9
1080,7,AHR,1080,1.0,4.812963645737032,0.2899139753590435,0.006453823622747414,2.998938438699214,2.288133638438893,1.0,0.14285714285714285,7,1
4364,7,PRDM4,4364,1.0,2.0171262051549523,0.18992855580666326,0.07807122657198325,3.0678293048461196,2.2894823753548654,0.75,0.23076923076923078,13,4
4358,7,PRDM4,4358,1.0,2.0171262051549523,0.5806116497776481,3.74978828728131e-09,3.163461243881241,2.3838190117218834,0.75,0.23076923076923078,13,4
4369,7,PRDM4,4369,1.0,2.0171262051549523,0.3244514106583072,0.0021701252386973607,2.9615227081314726,2.082281881995318,0.75,0.23076923076923078,13,4
