,state
3648e98d-4b3a-41b7-be05-595d44f0150d,4.0
9c04b840-54e0-425d-bdbe-8cb6b9c2c722,1.0
c41f3064-4483-4796-b860-82155baa5157,4.0
da61a4f8-350b-4dd1-a240-ad016520db5b,7.0
2e8937b3-9ea1-4528-8cee-bf3d4137908a,2.0
a9b968ae-2243-41bc-852a-3a12c1fb4892,4.0
fa5ca2f4-a1ad-4a79-b8f3-73a976eb2fb1,1.0
80b2b393-9d6e-45b4-b696-2a5c203543b7,2.0
edcf8e7f-8b1d-46f7-8ae0-84a1dc9647d2,1.0
beb37a2d-e8b0-4674-89ac-dc0f34e0afd6,4.0
f4eaf9a2-9938-4d9b-9080-c0a7542d5704,1.0
97e55b75-dbdb-46bc-9e74-7828c070bf16,1.0
cc4af04d-cb8e-40dd-b12e-7aa39b38262a,1.0
01024eed-7811-4e24-a067-8e0b978ffe2d,1.0
6dfd9439-c659-4936-84e5-108f717e3e4d,6.0
05c7843e-dc89-4d8e-a78a-952c5dfd667b,7.0
0ea8288e-824d-4304-a053-5a833361f5c5,8.0
c9388fc7-db1d-4416-bc2d-ea643584f1e6,3.0
760ba639-38ac-4bc9-9647-09f6893ea8ed,4.0
767e5baf-2515-40d7-ae7d-0b24d77a03f4,7.0
e61d60be-3bd3-4b5e-bc12-80f3684a0959,5.0
d4219360-6344-4af3-aceb-1701a9f1f67d,4.0
694b0504-095e-431a-84f2-b4387072138e,8.0
4b0bec44-87bb-4014-9a26-3529dd63760b,7.0
29a0fff9-13d3-4d16-be6a-8e48a2c4e315,1.0
1cc01e74-a7c1-4a51-9e28-1703c352be16,2.0
c175e68e-632a-4b4a-9ddb-4895c4760f20,8.0
932c8e98-a352-409c-8744-3d49fabce425,5.0
676b4aee-fb41-4c16-aa91-03e4a1da8e26,8.0
e3b71cb7-673b-4741-8607-4f0a11633036,4.0
117673a3-2918-4702-8583-b66ade6e4338,1.0
6c666e17-2eb8-4244-bcc1-8dd34ee4173e,7.0
836e6cd6-4e88-4028-9844-fa3c892c254a,8.0
291ea1f6-fc56-4429-a433-0c452a6a514c,1.0
10f38c34-3956-48ed-ab62-3439ef00d46b,7.0
07d155e6-f27c-4d09-b786-8a9b71147b72,4.0
a005af15-b98e-4623-8ad4-1e69efa9bc7a,4.0
fe349848-d7c4-4c49-b670-0e20454ddd7e,7.0
2f38e3b1-4975-4877-9dcc-c00270602180,4.0
33977b40-2e92-48b6-8d3a-3ebe913f6f8a,4.0
c4accfa1-34a9-4f61-8a1f-35b3b60ea193,5.0
3c582264-85bc-4569-a888-8eb3008e5198,1.0
ea1b63cf-d389-4567-8d9e-b0ef1f804598,9.0
1df04345-5c93-4b18-b307-8d1fca532999,2.0
5ac7b5ea-1aac-4529-8e5a-f612e5e0719a,4.0
b9453c9b-84d5-43bd-85bb-1780f02f039c,5.0
22947cc3-4f42-4f44-899c-2b7085e36c9d,1.0
1cc36859-357a-49e0-a367-4f57d47288ba,3.0
490bd607-2f08-4b4c-9612-f9bb5cbbc8bb,7.0
9942d04e-2767-4e39-ba16-7762eac3dfc4,8.0
6af30c18-347e-41ed-a4ab-6f81f42206c5,4.0
73c6919f-deb4-4da4-b4ae-4032ac8f96c5,5.0
bdf20891-7c98-4a55-bbf3-8a836be303c6,3.0
e6088a41-b0dc-4fbf-8d14-be78024cf8cd,8.0
4903a571-e14d-43c9-a737-22cafac414cd,5.0
a247d92d-253a-4bec-b450-184af90d17d0,7.0
804b8503-73f6-42de-835f-39de2c9f13e1,1.0
252ec850-6026-473b-8ffc-2cf567ef42e4,4.0
f569915c-8f77-4d67-9730-30824db57ee5,7.0
03a327ca-a9fe-42a4-844d-ca85206969fc,7.0
ff7021bb-414b-4466-bc43-372d856e6a1d,8.0
0580e798-6a98-4e46-ac96-9a869dff502e,4.0
c79a4c2f-02c4-4c03-a5a5-de06802eeb57,5.0
4dae26b9-ab57-4763-bb9a-2addd5d9c007,5.0
f92135a9-1981-4c79-99a5-4243eec5d30d,1.0
36edd202-a845-4ce7-95d5-a515c471262e,1.0
8cb9c903-d749-44ea-9137-7fb5a92c5932,8.0
e1f883a7-8b1f-4c1d-8a1a-9749a9c09845,2.0
5abc3d06-b8e9-4831-b89b-7c1ec4006b47,1.0
181c156a-b8f4-4f9d-93aa-6afbd197644d,2.0
7ccddfc8-6df6-4734-96ac-19ebc464fc50,1.0
1790e7a3-99d8-447e-bc50-51c8a4a18853,1.0
082dfc6b-c6e6-48b9-bde5-74ff3b3dc954,7.0
af8ab83d-2917-4752-8c38-cf84c565b565,4.0
10c8c361-85a5-40e8-a395-b92623e6f27c,4.0
0d907a63-d23f-4684-80d9-0ba552435b86,4.0
1d8b83b8-5dd7-4f45-9d59-487ec6906a8b,8.0
f4232b90-51b9-43ee-9971-35b3a318758f,4.0
5f50b1f4-1a02-4506-aa6d-9bf21cd8059a,7.0
f9c23182-91c4-4145-ae52-526fe8eb199d,1.0
328499d3-45dd-4b66-bd22-3c52ba92c2bb,4.0
daf84798-fe3f-403c-b589-7f256af752be,6.0
7d4b8ff3-7977-4abd-ae04-eed1c50b23cc,1.0
92e3ed8f-5c74-4ed2-9b03-9fa5e7b491d6,8.0
e74f0729-6000-4908-adb0-7bdbac0639e6,4.0
558648ba-6551-4d34-97c2-ad5f677d63fb,10.0
88a44ed0-bde1-401e-b0e1-d8c8d6dbaefc,1.0
