,Coefficient
ZBTB4,0.01953605244809889
HIC1,0.0
IRF4,0.0
NR4A2,-0.000981719206019017
HDX,0.14829721836363693
PAX6,-0.004687647765210742
SREBF1,-0.03263689456620935
SREBF2,0.0
BRCA1,0.009552441842674368
IRX5,-0.00035905012554106054
ZEB1,0.045406100656377534
STAT3,0.0
MAFF,-0.05505630087037911
FOXP3,-0.00212447201235429
TGIF2,0.2460367815602682
HOXC9,-0.0028441510155234368
TEAD1,0.08378293114599238
FOXC1,-0.003328681396326985
BCL6B,0.0
MEF2D,0.0
MAF,0.0
REL,0.20612288302160947
NF1,0.015275854861091691
CREB3L2,0.09011528868811201
BHLHE22,0.0
ETV6,0.0
MYOG,0.0
FOXP1,0.02923587423262602
UNCX,0.0017699574079361286
