,Coefficient
SP1,0.0
SREBF1,0.0018603861376358217
PRDM1,0.0
BRCA1,-3.6631784823790106e-05
STAT5A,0.0007492244944025162
SP100,-0.07234792911835494
FOXO4,0.0
TGIF2,-0.0031355643131497075
TEAD1,0.0005901239363826081
FOXC1,0.0
NR1H3,0.0
REL,0.0
NR3C2,0.010660274827204915
OSR2,0.0014599180679099712
CEBPZ,-0.00014821843067150433
POU2F1,0.0
NFAT5,0.0
ZBTB4,0.04819294851744637
NR4A2,-0.0034626469898983835
IKZF2,0.0
TBX18,0.0057132691502086485
BACH1,0.0
NFIA,0.0
ZNF589,0.0
PRRX1,0.0
MAFF,-0.00017146970024076527
FLI1,0.01574615944006759
MAF,0.06048989509691551
MYC,-6.728971881322768e-05
FOS,0.0
ERG,0.0
TTF1,0.08495900127700917
KLF15,0.00032725628952265216
ZBTB7B,0.12321621763119853
BRF1,0.07547710064748707
MAFB,0.17964121836596772
PAX6,0.0
HOXD3,-0.0024286699683337735
MAFG,0.037286927738923975
RREB1,0.036522387808363324
FGF9,0.017330218348830802
NKX3-2,0.0
POLR3A,0.0009439733358884309
E2F2,5.260376946102018e-05
SP3,0.0
RARG,0.0
EGR1,0.00543763121128308
ZNF281,0.0
IRF1,-0.0036395799503453753
FOXP1,0.0
UNCX,0.0
MNT,0.033368480538446744
POU5F1,-0.00061337390870247
TFAP2A,0.0
FOXD1,0.01782845659965944
DR1,-0.0004274605603406718
CUX1,0.09236238788526119
VDR,-0.00010928438826453213
STAT4,0.0
PURA,0.0010315393848748821
SOX9,0.0
CREB1,0.0
SMAD3,0.006256565695275321
NFIL3,0.0
AHR,0.0
KLF1,-0.025071525101618045
IKZF1,0.0
CREB3L2,0.003470451483494738
NR2C2,0.0
FOXA1,0.013963286324479202
ETV1,0.0
