,out_degree_aligned
ZEB1,17
CREB1,14
FLI1,11
TEAD1,11
PRDM1,10
ZBTB4,10
FOXP1,10
MNT,10
MEF2D,10
KLF7,9
RREB1,9
PRRX1,9
ELK3,9
ETV6,9
ZBTB7B,9
ELK4,8
MYC,8
ETS2,8
BHLHE40,8
POU2F1,8
GTF2I,8
SP3,8
SPI1,8
OTX1,7
NFAT5,7
MAFG,7
CREB3L2,7
ZNF8,7
FOXC1,7
RARA,7
VDR,7
SP1,7
IRF1,7
STAT1,7
IKZF1,7
MAFF,7
ZNF589,6
ETV1,6
BBX,6
AHR,6
NFYA,6
NFIL3,6
BRCA1,6
GFI1,6
REL,6
GRHL1,6
ARID5B,6
GMEB1,6
ZNF217,6
NFKB1,6
SP100,6
SMAD3,5
ELF3,5
FOXK1,5
ETV7,5
OSR2,5
MGA,5
NRF1,5
ETV3,5
EHF,5
NR2C2,5
NR3C1,5
MTF1,5
ZNF628,4
POLR3A,4
SMAD1,4
SRF,4
SREBF1,4
IRF8,4
MEIS3,4
NF1,4
PAX6,4
TBX21,4
CUX1,4
NFE2L2,4
NR3C2,4
MECOM,4
ELF1,4
BRF1,4
BACH1,4
STAT4,4
ZBTB7C,4
FOXA1,4
WT1,3
TBX18,3
TFEB,3
BHLHE22,3
RXRA,3
TFE3,3
PKNOX1,3
ZNF740,3
STAT3,3
RUNX3,3
ZNF281,3
RBPJ,3
STAT5A,3
IRF2,3
FOXO1,3
HOXD1,3
TGIF2,3
FOS,3
ESR1,3
MAFK,3
IRF4,3
ETS1,3
PARP1,3
SREBF2,3
IKZF2,3
FOXJ3,3
POU2F3,3
IRF9,3
TFEC,2
MLX,2
ZNF652,2
CEBPZ,2
SP4,2
NFIA,2
HDX,2
HSF1,2
BDP1,2
SMAD4,2
NR1H3,2
BPTF,2
CREB3L1,2
TTF1,2
HOXD3,2
IRX5,2
NR4A2,2
MAF,2
EGR1,2
NFATC1,2
RARG,2
E2F2,2
BCL6B,2
PURA,2
ZBTB3,2
CEBPE,2
SOX9,2
HLTF,2
IRX3,2
IKZF3,2
NFATC2,2
NFKB2,2
IRF5,2
THRA,2
PPARG,1
FOXD1,1
STAT6,1
ZBTB16,1
MEF2A,1
TNFRSF10A,1
PPARA,1
CEBPA,1
FOXO4,1
MAFB,1
TCF3,1
TFAP2A,1
PITX1,1
ERG,1
E2F8,1
FEV,0
NKX2-3,0
FOXP3,0
NKX3-2,0
NR5A2,0
POU6F1,0
EOMES,0
SH2D1A,0
MECP2,0
HIC1,0
POU5F1,0
DR1,0
