,Alt_ID,in_degree,out_degree,out/in
ZEB1,ZEB1,2.0,18.0,9.0
ELK3,ELK3,2.0,11.0,5.5
ZNF628,ZNF628,1.0,5.0,5.0
IKZF1,IKZF1,2.0,7.0,3.5
PRDM1,PRDM1,3.0,10.0,3.3333333333333335
CEBPE,CEBPE,1.0,3.0,3.0
FLI1,FLI1,4.0,11.0,2.75
NR3C1,NR3C1,2.0,5.0,2.5
PAX6,PAX6,2.0,5.0,2.5
CREB3L1,CREB3L1,1.0,2.0,2.0
KLF7,KLF7,5.0,9.0,1.8
MTF1,MTF1,3.0,5.0,1.6666666666666667
SP3,SP3,6.0,9.0,1.5
MAFK,MAFK,4.0,5.0,1.25
ARID5B,ARID5B,5.0,6.0,1.2
NR4A2,NR4A2,4.0,4.0,1.0
ELF1,ELF1,4.0,4.0,1.0
ZBTB3,ZBTB3,3.0,2.0,0.6666666666666666
NFATC1,NFATC1,3.0,2.0,0.6666666666666666
NFATC2,NFATC2,5.0,2.0,0.4
BPTF,BPTF,5.0,2.0,0.4
FOXA1,FOXA1,14.0,4.0,0.2857142857142857
IRF5,IRF5,7.0,2.0,0.2857142857142857
FEV,FEV,2.0,0.0,0.0
