,Source,Edge,Target
0,FOXO1,0.0205791456598873,NR1H3
1,ZBTB3,0.0243200037217131,NR1H3
2,EMX2,-0.119657856150548,NR1H3
3,KLF1,0.1051760100195288,NR1H3
4,MYC,0.0726182865249349,NR1H3
5,ZNF217,0.1353112937921442,NFATC2
6,FLI1,0.2168647532543072,NFATC2
7,MEF2D,0.2043190247937212,NFATC2
8,RREB1,0.1067795618283568,NFATC2
9,SOX9,0.0997005915960034,NFATC2
10,CEBPZ,-0.138512922748632,RARG
11,ETV3,0.0929652323367168,RARG
12,POU2F3,0.2029719382508805,RARG
13,CUX1,0.1236678368741664,RARG
14,TFE3,0.1398562894604586,CUX1
15,POU2F1,0.1909123601732426,CUX1
16,MEF2D,0.1040747075312696,CUX1
17,NFATC2,0.0601825438622495,CUX1
18,SMAD3,0.1341294838639345,CUX1
19,PRDM1,0.1860698341273687,FOXP3
20,GFI1,0.3319750722951074,FOXP3
21,ETV7,0.273896372423244,FOXP3
22,MYOG,0.4442129838627297,DBX1
23,BRCA1,0.1751616703376766,HLTF
24,NFKB1,-0.0505156089989517,HLTF
25,CREB1,0.1794244041727485,HLTF
26,SP3,0.2048025674833823,HLTF
27,NRF1,0.136876768634836,TTF1
28,CREB1,0.1295787658674577,TTF1
29,ZNF652,0.1014801941449947,TTF1
30,NFE2L2,0.1432461483696258,TTF1
31,NFAT5,0.0458785165939763,TNFRSF10A
32,SREBF1,0.1016378800174125,TNFRSF10A
33,ELF3,0.0629221732466382,TNFRSF10A
34,WT1,0.0723212828512357,SMAD1
35,FOXO4,0.1762053726221316,SMAD1
36,SMAD4,0.0920128606235015,SMAD1
37,EHF,0.0878126960681292,SMAD1
38,PRRX1,0.0750309013791858,SMAD1
39,NFKB1,0.2495918913926059,SMAD1
40,POLR3A,0.0884504382160509,SMAD1
41,STAT1,0.0705383642980256,SMAD1
42,FOXC1,0.1368455330688897,RARA
43,MNT,0.1476860038910984,RARA
44,VDR,0.1813825793127768,RARA
45,ARID5B,0.1273576209228233,RUNX3
46,SPI1,0.1702506274172733,RUNX3
47,GRHL1,0.1761982285362759,RUNX3
48,ESR1,0.1102526850966493,ELF3
49,BHLHE40,0.2013707319497761,ELF3
50,IRF1,0.1552271818585476,ELF3
51,GRHL1,0.1826650066802722,ELF3
52,NFYA,-0.0846850971266901,ELF3
53,ZBTB7C,0.1837951663935789,ELF3
54,HOXD1,0.0885371865656454,ELF3
55,NR3C2,0.0848055478875302,SP4
56,POU2F1,0.1084485631178097,SP4
57,HLTF,0.1486757772098342,SP4
58,IRF1,-0.1421403123587421,SP4
59,FOXK1,0.1528475069054876,SP4
60,CREB1,0.3218867793389383,SP4
61,ZEB1,0.1489742217719941,MAF
62,FLI1,0.3963918797528261,MAF
63,NR3C1,0.1229152810874989,MAF
64,KLF1,-0.0638624380457801,MAF
66,ZBTB4,-0.0003917592239501,NR5A2
68,ELK4,0.0003168301798079,NR5A2
69,PRDM1,0.047654664898119,NR5A2
