,Alt_ID,in_degree,out_degree,out/in
MNT,MNT,1.0,10.0,10.0
ZEB1,ZEB1,2.0,18.0,9.0
PRRX1,PRRX1,2.0,11.0,5.5
ELK3,ELK3,2.0,11.0,5.5
ZNF628,ZNF628,1.0,5.0,5.0
ZBTB7C,ZBTB7C,1.0,4.0,4.0
ETS2,ETS2,2.0,8.0,4.0
TFEC,TFEC,1.0,4.0,4.0
SP100,SP100,2.0,8.0,4.0
MYC,MYC,3.0,11.0,3.6666666666666665
ZNF589,ZNF589,2.0,7.0,3.5
ETV1,ETV1,2.0,7.0,3.5
IKZF1,IKZF1,2.0,7.0,3.5
NFIL3,NFIL3,2.0,7.0,3.5
BRCA1,BRCA1,2.0,7.0,3.5
PRDM1,PRDM1,3.0,10.0,3.3333333333333335
FOXP1,FOXP1,3.0,10.0,3.3333333333333335
ETV6,ETV6,3.0,9.0,3.0
GFI1,GFI1,2.0,6.0,3.0
NFYA,NFYA,3.0,9.0,3.0
MAFF,MAFF,3.0,9.0,3.0
CEBPE,CEBPE,1.0,3.0,3.0
FLI1,FLI1,4.0,11.0,2.75
MEF2D,MEF2D,4.0,11.0,2.75
ETV7,ETV7,2.0,5.0,2.5
PAX6,PAX6,2.0,5.0,2.5
BRF1,BRF1,2.0,5.0,2.5
RBPJ,RBPJ,2.0,5.0,2.5
NR3C1,NR3C1,2.0,5.0,2.5
RARA,RARA,3.0,7.0,2.3333333333333335
BBX,BBX,3.0,7.0,2.3333333333333335
KLF15,KLF15,4.0,9.0,2.25
ZBTB4,ZBTB4,5.0,11.0,2.2
MLX,MLX,2.0,4.0,2.0
CTF1,CTF1,1.0,2.0,2.0
CREB3L1,CREB3L1,1.0,2.0,2.0
EGR1,EGR1,1.0,2.0,2.0
NFKB2,NFKB2,1.0,2.0,2.0
SPI1,SPI1,4.0,8.0,2.0
STAT4,STAT4,2.0,4.0,2.0
IRX5,IRX5,2.0,4.0,2.0
FOS,FOS,2.0,4.0,2.0
ZNF652,ZNF652,1.0,2.0,2.0
MYOG,MYOG,1.0,2.0,2.0
OTX1,OTX1,4.0,8.0,2.0
NFAT5,NFAT5,6.0,11.0,1.8333333333333333
RREB1,RREB1,5.0,9.0,1.8
IRF1,IRF1,5.0,9.0,1.8
ELK4,ELK4,5.0,9.0,1.8
KLF7,KLF7,5.0,9.0,1.8
GTF2I,GTF2I,5.0,9.0,1.8
BHLHE40,BHLHE40,5.0,9.0,1.8
MGA,MGA,4.0,7.0,1.75
STAT1,STAT1,4.0,7.0,1.75
EHF,EHF,3.0,5.0,1.6666666666666667
MTF1,MTF1,3.0,5.0,1.6666666666666667
BACH1,BACH1,3.0,5.0,1.6666666666666667
NR3C2,NR3C2,3.0,5.0,1.6666666666666667
SREBF1,SREBF1,3.0,5.0,1.6666666666666667
VDR,VDR,5.0,8.0,1.6
NFKB1,NFKB1,5.0,8.0,1.6
TEAD1,TEAD1,7.0,11.0,1.5714285714285714
FGF9,FGF9,2.0,3.0,1.5
KLF1,KLF1,2.0,3.0,1.5
HDX,HDX,2.0,3.0,1.5
IRF4,IRF4,2.0,3.0,1.5
SP3,SP3,6.0,9.0,1.5
HOXD3,HOXD3,2.0,3.0,1.5
ZNF8,ZNF8,5.0,7.0,1.4
CREB3L2,CREB3L2,6.0,8.0,1.3333333333333333
MAFK,MAFK,4.0,5.0,1.25
ETV3,ETV3,4.0,5.0,1.25
OSR2,OSR2,4.0,5.0,1.25
VAX2,VAX2,4.0,5.0,1.25
FOXK1,FOXK1,4.0,5.0,1.25
NRF1,NRF1,4.0,5.0,1.25
AHR,AHR,5.0,6.0,1.2
ARID5B,ARID5B,5.0,6.0,1.2
CUX1,CUX1,5.0,6.0,1.2
