,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned,Fraction_of_aligned_and_diff_exp_edges,number_downstream_regulons,number_differentially_expressed_regulons
2626,13,STAT5A,R-2626,-1.0,1.702395640000791,0.3212795258443977,1.3760609348603256e-11,-4.771293159654642,1.416955083686696,0.9230769230769232,0.48,25,13
2618,13,STAT5A,R-2618,-1.0,1.702395640000791,0.3702612124018107,3.695685731468931e-15,-9.639370053135783,2.9075765402365064,0.9230769230769232,0.48,25,13
2623,13,STAT5A,R-2623,-1.0,1.702395640000791,0.4699523064395688,1.4264796276760786e-24,-7.509333959234759,1.9341998392653488,0.9230769230769232,0.48,25,13
2631,13,STAT5A,R-2631,-1.0,1.702395640000791,0.705243465338717,1.0072783320353288e-64,-7.080812727827602,1.821181209162756,0.9230769230769232,0.48,25,13
2638,13,STAT5A,R-2638,-1.0,1.702395640000791,0.2933466537103565,8.050889965665958e-10,-7.847389437919187,2.088067917967555,0.9230769230769232,0.48,25,13
2634,13,STAT5A,R-2634,-1.0,1.702395640000791,0.223556947845263,3.5238897495618707e-06,-10.059105620670625,2.2631745761461945,0.9230769230769232,0.48,25,13
2621,13,STAT5A,R-2621,-1.0,1.702395640000791,0.4011981153790236,9.45924869459081e-18,-8.522301174573451,2.169178520753823,0.9230769230769232,0.48,25,13
2628,13,STAT5A,R-2628,-1.0,1.702395640000791,0.4307333608459318,1.7181999945532685e-20,-6.226770853503836,1.7603158106356045,0.9230769230769232,0.48,25,13
2632,13,STAT5A,R-2632,-1.0,1.702395640000791,0.2726941612214316,1.2446107823431101e-08,-7.275524643557697,1.9044083630006448,0.9230769230769232,0.48,25,13
2625,13,STAT5A,R-2625,-1.0,1.702395640000791,0.3922205133965836,5.706799580494457e-17,-8.847580536673357,2.0818758306724083,0.9230769230769232,0.48,25,13
2619,13,STAT5A,R-2619,-1.0,1.702395640000791,0.4667282386803342,3.2359600240091793e-24,-4.443688684714751,1.3549382898185425,0.9230769230769232,0.48,25,13
2639,13,STAT5A,R-2639,-1.0,1.702395640000791,0.2392076722944541,6.635411683721447e-07,-4.751756386062953,1.4346196906440285,0.9230769230769232,0.48,25,13
3074,13,RARA,R-3074,-1.0,1.6802081082380655,0.1910794670986927,7.812239600864277e-05,-9.000605575907668,2.142130383414724,1.0,0.44,25,11
3069,13,RARA,R-3069,-1.0,1.6802081082380655,0.3466423731859629,2.331421282464913e-13,-9.49109573833432,2.1682053139696063,1.0,0.44,25,11
3072,13,RARA,R-3072,-1.0,1.6802081082380655,0.2360774954689241,9.353788996587992e-07,-4.346839837769239,1.345576598192347,1.0,0.44,25,11
3067,13,RARA,R-3067,-1.0,1.6802081082380655,0.2531274822515397,1.3600818071685793e-07,-4.3067277609855905,1.3166183859923388,1.0,0.44,25,11
3085,13,RARA,R-3085,-1.0,1.6802081082380655,0.2924118960132361,9.157646245541812e-10,-6.693258716923482,1.8830543239919044,1.0,0.44,25,11
3073,13,RARA,R-3073,-1.0,1.6802081082380655,0.3169555928617661,2.657665825512257e-11,-5.669472296220324,1.6043500186702655,1.0,0.44,25,11
3079,13,RARA,R-3079,-1.0,1.6802081082380655,0.2530696786494971,1.3693331147295373e-07,-10.497589588386004,2.235814633365542,1.0,0.44,25,11
3061,13,RARA,R-3061,-1.0,1.6802081082380655,0.2026877716879075,2.728556296561735e-05,-5.979422034333072,1.8692546418401943,1.0,0.44,25,11
3076,13,RARA,R-3076,-1.0,1.6802081082380655,0.1863616073584943,0.0001177370946339,-5.822577334175643,1.60802142449703,1.0,0.44,25,11
3082,13,RARA,R-3082,-1.0,1.6802081082380655,0.3224410269528456,1.1509733629606659e-11,-4.7126801231406,1.4738280235015957,1.0,0.44,25,11
3062,13,RARA,R-3062,-1.0,1.6802081082380655,0.2952343724488872,6.198034626685534e-10,-4.721550587338909,1.464976198928022,1.0,0.44,25,11
2538,13,MTF1,R-2538,-1.0,1.3355961184962155,0.7189713417884676,2.379197489076667e-68,-8.819202766691395,2.0195634487937837,1.0,0.44,25,11
2535,13,MTF1,R-2535,-1.0,1.3355961184962155,0.5684244151237536,1.748039285376889e-37,-9.703613023084117,2.499509165459662,1.0,0.44,25,11
2537,13,MTF1,R-2537,-1.0,1.3355961184962155,0.4945022307479875,2.080105763265857e-27,-6.687474544192304,1.8369981707509937,1.0,0.44,25,11
2519,13,MTF1,R-2519,-1.0,1.3355961184962155,0.2678059245658203,2.3035272667862432e-08,-4.822355731717524,1.431669289427533,1.0,0.44,25,11
2520,13,MTF1,R-2520,-1.0,1.3355961184962155,0.2995424972641092,3.3876388275418056e-10,-6.140993249104615,1.6451829605306303,1.0,0.44,25,11
2529,13,MTF1,R-2529,-1.0,1.3355961184962155,0.4300243884893867,2.0140976834349472e-20,-4.549789453744992,1.3655985317947117,1.0,0.44,25,11
2531,13,MTF1,R-2531,-1.0,1.3355961184962155,0.6078726589840571,5.458185762569121e-44,-14.1993947069909,4.233910547512489,1.0,0.44,25,11
2532,13,MTF1,R-2532,-1.0,1.3355961184962155,0.3555173019194708,5.1142342104911544e-14,-8.900700427609936,2.1061301511591317,1.0,0.44,25,11
2536,13,MTF1,R-2536,-1.0,1.3355961184962155,0.4669549820916617,3.0556802550602582e-24,-14.002126132847202,2.8072913722703494,1.0,0.44,25,11
2530,13,MTF1,R-2530,-1.0,1.3355961184962155,0.6634749337953152,7.145061626934051e-55,-4.519574997454638,1.3792792524624486,1.0,0.44,25,11
2518,13,MTF1,R-2518,-1.0,1.3355961184962155,0.6635164501945723,6.998471047170671e-55,-7.880500681328199,2.428274330755797,1.0,0.44,25,11
4399,13,REL,R-4399,-1.0,1.5064775725820152,0.3587606907722058,2.9026659430218736e-14,-5.147650814635263,1.4846453467711047,1.0,0.3157894736842105,19,6
4404,13,REL,R-4404,-1.0,1.5064775725820152,0.4450892526736761,6.342763683566978e-22,-13.786444168873544,3.6698218358819674,1.0,0.3157894736842105,19,6
4388,13,REL,R-4388,-1.0,1.5064775725820152,0.5284696711925131,9.894099888022894e-32,-4.772754978166973,1.6416155170743427,1.0,0.3157894736842105,19,6
4389,13,REL,R-4389,-1.0,1.5064775725820152,0.4257215330633012,5.2410760409935304e-20,-4.917217042092336,1.4563888521370645,1.0,0.3157894736842105,19,6
4406,13,REL,R-4406,-1.0,1.5064775725820152,0.7316389532725742,6.792102093120392e-72,-11.890207612170634,4.527151177690176,1.0,0.3157894736842105,19,6
4395,13,REL,R-4395,-1.0,1.5064775725820152,0.3350471622303601,1.5758890790413465e-12,-7.335994557147742,1.857713163663388,1.0,0.3157894736842105,19,6
3754,13,PKNOX1,R-3754,-1.0,1.4600765002082206,0.4175242797084367,3.1216191948274896e-19,-6.674602512160604,1.9310640708609712,1.0,0.3181818181818182,22,7
3758,13,PKNOX1,R-3758,-1.0,1.4600765002082206,0.2446857611764342,3.59681363831632e-07,-4.279745919870046,1.315276233930189,1.0,0.3181818181818182,22,7
3761,13,PKNOX1,R-3761,-1.0,1.4600765002082206,0.2583112837341702,7.355263496606293e-08,-10.897067948244452,3.262138310768963,1.0,0.3181818181818182,22,7
3756,13,PKNOX1,R-3756,-1.0,1.4600765002082206,0.3744007167646654,1.724408899434914e-15,-13.987051987052608,2.9161727609164463,1.0,0.3181818181818182,22,7
3775,13,PKNOX1,R-3775,-1.0,1.4600765002082206,0.135658906373414,0.0052473916758724,-4.53578946821837,1.3616931594656334,1.0,0.3181818181818182,22,7
3763,13,PKNOX1,R-3763,-1.0,1.4600765002082206,0.4176756548872666,3.021763712380322e-19,-13.432015501485434,4.035124991060525,1.0,0.3181818181818182,22,7
3773,13,PKNOX1,R-3773,-1.0,1.4600765002082206,0.2470221763838593,2.757722881634138e-07,-7.833561695112126,1.9660604471242324,1.0,0.3181818181818182,22,7
4923,13,E2F8,R-4923,-1.0,1.6124452174590334,0.7310345703064655,1.013187735236201e-71,-5.56934072387001,1.5585606803185064,1.0,0.2,10,2
4924,13,E2F8,R-4924,-1.0,1.6124452174590334,0.3460670516993341,2.568130830688763e-13,-6.118679399722879,1.855024169634732,1.0,0.2,10,2
510,13,BACH1,R-510,-1.0,2.7193161454419013,0.2589725122315696,6.793987513256879e-08,-5.023934397139819,1.4701196696397714,0.875,0.28,25,8
521,13,BACH1,R-521,-1.0,2.7193161454419013,0.6101806514258369,2.1274500482232986e-44,-22.602130346629774,7.243998445812355,0.875,0.28,25,8
515,13,BACH1,R-515,-1.0,2.7193161454419013,0.6016659572951141,6.621763036367059e-43,-5.609255149245575,1.569755788782757,0.875,0.28,25,8
518,13,BACH1,R-518,-1.0,2.7193161454419013,0.2978767315831457,4.2840626095411304e-10,-4.769727132121086,1.409511894327374,0.875,0.28,25,8
513,13,BACH1,R-513,-1.0,2.7193161454419013,0.3007610035823064,2.8503641664196875e-10,-5.965871640175881,1.61383753095193,0.875,0.28,25,8
512,13,BACH1,R-512,-1.0,2.7193161454419013,0.5769771127276427,8.064983691008777e-39,-11.194670687507092,4.017913733300321,0.875,0.28,25,8
524,13,BACH1,R-524,-1.0,2.7193161454419013,0.3874065272242591,1.4629364645247482e-16,-5.18666242772864,1.5199173934218833,0.875,0.28,25,8
1855,13,ETV7,R-1855,-1.0,2.1944135145333323,0.3738019225446103,1.926737714584365e-15,-4.580212909715214,1.372909203663788,1.0,0.28,25,7
1843,13,ETV7,R-1843,-1.0,2.1944135145333323,0.2582561946659252,7.40399352808207e-08,-4.4111374389685825,1.3374985513314808,1.0,0.28,25,7
1860,13,ETV7,R-1860,-1.0,2.1944135145333323,0.1955715414983157,5.2375982273102184e-05,-7.985518921287529,2.44555558314722,1.0,0.28,25,7
1850,13,ETV7,R-1850,-1.0,2.1944135145333323,0.2677837292600636,2.3099107396446973e-08,-9.071675421241752,2.068336989967333,1.0,0.28,25,7
1845,13,ETV7,R-1845,-1.0,2.1944135145333323,0.2573581630143013,8.243696853911859e-08,-7.539279900190309,1.9331040440551333,1.0,0.28,25,7
1842,13,ETV7,R-1842,-1.0,2.1944135145333323,0.5335169475929711,2.0440617587859832e-32,-4.376525635761013,1.349659808188273,1.0,0.28,25,7
1847,13,ETV7,R-1847,-1.0,2.1944135145333323,0.2122078013944879,1.099847121915699e-05,-6.319083259148616,1.7027525686321503,1.0,0.28,25,7
6915,13,GTF2I,R-6915,-1.0,2.821941189631125,0.3172830933805216,2.5293511029763495e-11,-6.3999884806491085,1.6957038106221989,0.6666666666666666,0.16,25,6
6903,13,GTF2I,R-6903,-1.0,2.821941189631125,0.3678179723055279,5.765964766435644e-15,-7.214597371259861,1.8280846898453535,0.6666666666666666,0.16,25,6
6891,13,GTF2I,R-6891,-1.0,2.821941189631125,0.7698337212322293,6.273782163496546e-84,-4.916070636398538,1.6311623932527597,0.6666666666666666,0.16,25,6
6897,13,GTF2I,R-6897,-1.0,2.821941189631125,0.4979381918218922,7.989885356225277e-28,-5.039514021467483,1.4945757000651043,0.6666666666666666,0.16,25,6
2390,13,IRF8,R-2390,-1.0,1.422655232353491,0.5326966793507251,2.645967142264692e-32,-12.053443288890724,2.4444195347258932,1.0,0.56,25,14
2386,13,IRF8,R-2386,-1.0,1.422655232353491,0.2712774939360109,1.48958621225762e-08,-25.845977538139216,12.44455341578288,1.0,0.56,25,14
2372,13,IRF8,R-2372,-1.0,1.422655232353491,0.4056531443762325,3.798690135789661e-18,-8.514208905700405,2.060850213525011,1.0,0.56,25,14
2371,13,IRF8,R-2371,-1.0,1.422655232353491,0.5562083743207977,1.2144792337920702e-35,-4.243261178847272,1.340895197681456,1.0,0.56,25,14
2379,13,IRF8,R-2379,-1.0,1.422655232353491,0.3729634509580748,2.2496927158622593e-15,-8.970053629412218,2.099816522759969,1.0,0.56,25,14
2377,13,IRF8,R-2377,-1.0,1.422655232353491,0.595183171551111,8.473535056783775e-42,-10.03694628611993,2.4553159818364065,1.0,0.56,25,14
2383,13,IRF8,R-2383,-1.0,1.422655232353491,0.265003088580587,3.2606171396181753e-08,-4.8375622705806895,1.4498620149798571,1.0,0.56,25,14
2391,13,IRF8,R-2391,-1.0,1.422655232353491,0.2699460949475261,1.7619464521290853e-08,-4.206343186582063,1.3258140384419876,1.0,0.56,25,14
2389,13,IRF8,R-2389,-1.0,1.422655232353491,0.0858690871366147,0.0780691079587039,-5.39325373273042,1.5759913475117326,1.0,0.56,25,14
2381,13,IRF8,R-2381,-1.0,1.422655232353491,0.6608815959478718,2.591330855711279e-54,-4.25088841979136,1.319627964608615,1.0,0.56,25,14
2370,13,IRF8,R-2370,-1.0,1.422655232353491,0.849735863885611,7.816987885370007e-119,-4.953966598672015,1.4549182686713322,1.0,0.56,25,14
2373,13,IRF8,R-2373,-1.0,1.422655232353491,0.3540931297464921,6.544948858669388e-14,-6.9479984392743095,1.7951898255334648,1.0,0.56,25,14
2393,13,IRF8,R-2393,-1.0,1.422655232353491,0.1933995951033323,6.36183841018209e-05,-4.980372777978478,1.5030407365389369,1.0,0.56,25,14
2384,13,IRF8,R-2384,-1.0,1.422655232353491,0.5118049885306957,1.5024939222007096e-29,-6.6496100261293,1.833810660966056,1.0,0.56,25,14
9393,13,HOXA10,R-9393,-1.0,1.3552249919795532,0.213660781132455,9.53909602818859e-06,-4.772998023448274,1.4143136686382385,0.8571428571428571,0.24,25,7
9389,13,HOXA10,R-9389,-1.0,1.3552249919795532,0.1729815408442176,0.0003571112862421,-11.78046361040123,2.3229640567597416,0.8571428571428571,0.24,25,7
9385,13,HOXA10,R-9385,-1.0,1.3552249919795532,0.2144741870974894,8.804611281574233e-06,-10.89638082791706,2.200575972729549,0.8571428571428571,0.24,25,7
9397,13,HOXA10,R-9397,-1.0,1.3552249919795532,0.1163209651408851,0.0168221474031033,-5.9111861686779275,1.5945367048402588,0.8571428571428571,0.24,25,7
9405,13,HOXA10,R-9405,-1.0,1.3552249919795532,0.1674176779769903,0.0005535592722459,-6.524028788697073,1.7682867947115075,0.8571428571428571,0.24,25,7
9388,13,HOXA10,R-9388,-1.0,1.3552249919795532,0.2677858104441936,2.3093114552889305e-08,-3.8663158638875545,1.3360446201098095,0.8571428571428571,0.24,25,7
7880,13,HOXA6,R-7880,-1.0,1.835810543009986,0.1247301001763937,0.0103262635602221,-6.19076277279497,1.648905932115937,1.0,0.3157894736842105,19,6
7887,13,HOXA6,R-7887,-1.0,1.835810543009986,0.0998320691447272,0.040378629997901,-5.015498370866991,1.4819435882420768,1.0,0.3157894736842105,19,6
7888,13,HOXA6,R-7888,-1.0,1.835810543009986,0.2375215174477961,7.988241519900591e-07,-5.014526798187645,1.5438328556199945,1.0,0.3157894736842105,19,6
7885,13,HOXA6,R-7885,-1.0,1.835810543009986,0.2538233963572103,1.253325148123157e-07,-7.070598895934595,1.8214109839559616,1.0,0.3157894736842105,19,6
7886,13,HOXA6,R-7886,-1.0,1.835810543009986,0.1658751975026257,0.0006236007641855,-4.021751104358226,1.3174767260469675,1.0,0.3157894736842105,19,6
7889,13,HOXA6,R-7889,-1.0,1.835810543009986,0.2185819212768952,5.847030705091335e-06,-4.763937246016915,1.4275339222466708,1.0,0.3157894736842105,19,6
8455,13,HOXA9,R-8455,-1.0,1.465269811256561,0.1803627133116441,0.0001955269013492,-5.084254579201333,1.506920543503178,1.0,0.2,25,5
8462,13,HOXA9,R-8462,-1.0,1.465269811256561,0.4053013540000664,4.0844959904131026e-18,-5.422986284548277,1.5975608031850186,1.0,0.2,25,5
8469,13,HOXA9,R-8469,-1.0,1.465269811256561,0.2385917464929904,7.101875855804331e-07,-4.545602796540628,1.3557049332219775,1.0,0.2,25,5
8453,13,HOXA9,R-8453,-1.0,1.465269811256561,0.1519195745561841,0.0017495085782823,-5.482214617100946,1.542508985783725,1.0,0.2,25,5
8474,13,HOXA9,R-8474,-1.0,1.465269811256561,0.2746340935200145,9.71517144527504e-09,-4.520823524172677,1.3759815372350246,1.0,0.2,25,5
6055,13,CNOT3,R-6055,-1.0,1.373278522610851,0.2463397106514553,2.981053277066428e-07,-8.114342651646236,1.9030869283775296,0.875,0.28,25,8
6060,13,CNOT3,R-6060,-1.0,1.373278522610851,0.2855096349582772,2.336601318484616e-09,-4.806186853635149,1.460249554481107,0.875,0.28,25,8
6070,13,CNOT3,R-6070,-1.0,1.373278522610851,0.2951778462745139,6.246941395830476e-10,-4.154470530768894,1.3481577085513698,0.875,0.28,25,8
6069,13,CNOT3,R-6069,-1.0,1.373278522610851,0.2020635885929222,2.891835545498548e-05,-5.908778479561895,1.6624407152601657,0.875,0.28,25,8
6078,13,CNOT3,R-6078,-1.0,1.373278522610851,0.2666068990195823,2.6740058426523287e-08,-17.86104385802652,9.085014231141315,0.875,0.28,25,8
6054,13,CNOT3,R-6054,-1.0,1.373278522610851,0.3460146771648866,2.590812685735675e-13,-6.079454699768752,1.9072554376711532,0.875,0.28,25,8
6061,13,CNOT3,R-6061,-1.0,1.373278522610851,0.1579985614567657,0.0011277188324382,-4.603148539384864,1.3737257233526512,0.875,0.28,25,8
4254,13,ZBED6,R-4254,-1.0,2.795720172112772,0.512836990409153,1.1096656310111548e-29,-4.365747214484483,1.7704629662536182,1.0,0.4,5,2
4251,13,ZBED6,R-4251,-1.0,2.795720172112772,0.7449237219994842,7.778436592250828e-76,-4.836758961912589,1.976820788405816,1.0,0.4,5,2
2672,13,TCF7L1,R-2672,1.0,1.8193336481128033,0.4814628878120706,7.128172378810753e-26,4.8697890350478215,2.054131156547641,0.8333333333333334,0.2,25,6
2684,13,TCF7L1,R-2684,1.0,1.8193336481128033,-0.2743647172561557,1.0056335857456164e-08,-5.413166904551721,1.5846230230046772,0.8333333333333334,0.2,25,6
2668,13,TCF7L1,R-2668,1.0,1.8193336481128033,-0.2887258784730364,1.5149413328765459e-09,-4.368329353247455,1.3396429045273004,0.8333333333333334,0.2,25,6
