,Regulon_ID,Regulator,Gene
0,0,ETS1,SON
1,0,ETS1,TRNT1
2,0,ETS1,PPP1R12A
3,0,ETS1,TLR1
4,0,ETS1,FCF1
5,0,ETS1,NIN
6,0,ETS1,ZHX3
7,0,ETS1,TULP4
8,0,ETS1,REV1
9,0,ETS1,ASH1L
10,0,ETS1,STK4
11,0,ETS1,TCF4
12,0,ETS1,ETV3
13,0,ETS1,NSRP1
14,0,ETS1,TLK1
15,0,ETS1,BMPR2
16,0,ETS1,ASCC3
17,0,ETS1,ARID4B
18,0,ETS1,AP5M1
19,0,ETS1,LMLN
20,0,ETS1,SMNDC1
21,0,ETS1,FMR1
22,0,ETS1,UBR7
23,0,ETS1,SPTBN1
24,0,ETS1,ABHD5
25,0,ETS1,U2SURP
26,0,ETS1,KLF13
27,0,ETS1,SLC2A1
28,0,ETS1,EXOC4
29,0,ETS1,DICER1
30,0,ETS1,NUP98
31,0,ETS1,HELZ
32,0,ETS1,HELQ
33,0,ETS1,MAP3K4
34,0,ETS1,EXOC5
35,0,ETS1,TP53BP1
36,0,ETS1,EFR3A
37,0,ETS1,PAXIP1
38,0,ETS1,ZMYM3
39,0,ETS1,RNF185
40,0,ETS1,USP38
41,0,ETS1,ZZZ3
42,0,ETS1,FBXW2
43,0,ETS1,CDK12
44,0,ETS1,MED17
45,0,ETS1,PRIMPOL
46,0,ETS1,SLFN12
47,0,ETS1,ZNF354C
48,0,ETS1,ANKRD44
49,0,ETS1,GTF2H1
50,0,ETS1,LRRK2
51,0,ETS1,THUMPD1
52,0,ETS1,RNF145
53,0,ETS1,SEC24B
54,0,ETS1,C2orf42
55,0,ETS1,PTK2
56,0,ETS1,FBXL3
57,0,ETS1,ZBTB43
58,0,ETS1,SLC25A40
59,0,ETS1,ACAP2
60,0,ETS1,SOS2
61,0,ETS1,RCBTB1
62,0,ETS1,TJP2
63,0,ETS1,MBNL2
64,0,ETS1,DLG1
65,0,ETS1,TFAM
66,0,ETS1,ARNT
67,0,ETS1,ARHGEF12
68,0,ETS1,DCUN1D1
69,0,ETS1,GOLGB1
70,0,ETS1,MAP1A
71,0,ETS1,MMP16
72,0,ETS1,LYSMD3
73,0,ETS1,LRRFIP1
74,0,ETS1,EIF4G2
75,0,ETS1,AKT3
76,0,ETS1,NPAT
77,0,ETS1,TM9SF3
78,0,ETS1,FKBP5
79,0,ETS1,PPP3R1
80,0,ETS1,AP1G1
81,0,ETS1,ASB7
82,0,ETS1,SPRED2
83,0,ETS1,GSK3B
84,0,ETS1,ZCCHC4
85,0,ETS1,CBFB
86,0,ETS1,NEDD4
87,0,ETS1,SPIRE1
88,0,ETS1,ATMIN
89,0,ETS1,MALT1
90,0,ETS1,ABCC4
91,0,ETS1,HGF
92,0,ETS1,ZBTB11
93,0,ETS1,PAG1
94,0,ETS1,ARFGEF2
95,0,ETS1,ZSCAN29
96,0,ETS1,MMGT1
97,0,ETS1,PRRC2C
98,0,ETS1,ZNF609
99,0,ETS1,UBP1
100,0,ETS1,KLHL7
101,0,ETS1,RB1
102,0,ETS1,NSD1
103,0,ETS1,KIDINS220
104,0,ETS1,ALDOA
105,0,ETS1,ZIK1
106,0,ETS1,ANKRD13A
107,0,ETS1,BRAF
108,0,ETS1,CRIM1
109,0,ETS1,HK2
110,0,ETS1,PREPL
111,0,ETS1,FGL2
112,0,ETS1,FBXW11
113,0,ETS1,CPSF7
114,0,ETS1,N4BP2
115,0,ETS1,STXBP5
116,0,ETS1,MIEF1
117,0,ETS1,ATP8B1
118,0,ETS1,ZNF221
119,0,ETS1,CREB3L2
120,0,ETS1,CNST
121,0,ETS1,RLIM
122,0,ETS1,MKLN1
123,0,ETS1,TSHZ1
124,0,ETS1,BPTF
125,0,ETS1,KLF12
126,0,ETS1,NUDT21
127,0,ETS1,RPS6KA3
128,0,ETS1,MAN1A2
129,0,ETS1,CREB1
130,0,ETS1,FZD3
131,0,ETS1,SORL1
132,0,ETS1,LCP2
133,0,ETS1,SETX
134,0,ETS1,LIN7A
135,0,ETS1,ANKRD13C
136,0,ETS1,TAF1
137,0,ETS1,ELOVL5
138,0,ETS1,PKD2
139,0,ETS1,FSTL1
140,0,ETS1,DMXL1
141,0,ETS1,SMIM21
142,0,ETS1,DNAJC13
143,0,ETS1,DLC1
144,0,ETS1,CTSO
145,0,ETS1,FBXL20
146,0,ETS1,GALNT4
147,0,ETS1,STX12
148,0,ETS1,CCNT1
149,0,ETS1,NUP133
150,0,ETS1,TAB2
151,0,ETS1,ZNF230
152,0,ETS1,AP4E1
153,0,ETS1,SZRD1
154,0,ETS1,RAPGEF1
155,0,ETS1,HAUS6
156,0,ETS1,RBMS3
157,0,ETS1,BCL2L11
158,0,ETS1,CDK17
159,0,ETS1,HAUS3
160,0,ETS1,TIGD4
161,0,ETS1,IPO7
162,0,ETS1,SETD7
163,0,ETS1,SDAD1
164,0,ETS1,MARK2
165,0,ETS1,GBP3
166,0,ETS1,MTMR6
167,0,ETS1,FNIP2
168,0,ETS1,MBNL1
169,0,ETS1,P4HA1
170,0,ETS1,PEAK1
171,0,ETS1,SAV1
172,0,ETS1,ZMAT3
173,0,ETS1,ZNF354A
174,0,ETS1,GCLM
175,0,ETS1,ARHGAP12
176,0,ETS1,RNF13
177,0,ETS1,PRMT9
178,0,ETS1,PCDH18
179,0,ETS1,ARHGAP19
180,0,ETS1,PTPN11
181,0,ETS1,M6PR
182,0,ETS1,LMBRD1
183,0,ETS1,PGGT1B
184,0,ETS1,SCAF8
185,0,ETS1,AFF1
186,0,ETS1,RDX
187,0,ETS1,RAD54L2
