,Coefficient
FOXC1,0.0
MSX2,0.011527551957121528
TEAD1,0.0
HOXB7,0.005470987936651875
NR2C2,0.0
TCF4,0.0
E2F8,0.043348356922010514
NR3C1,0.0
GTF2A1,0.0
ETV6,0.0
MEF2A,0.0
HOXA13,0.0024359987618122244
SOX4,0.0
SMAD3,2.036486822177094e-05
SP3,0.005743275872949209
ETV3,0.003261440940039219
ETV1,-0.0016251813762537446
E2F7,0.0
OTX1,0.015351280687585416
PAX6,0.0
SIX4,-0.0022323787534747203
ATF2,0.0
IRF1,0.0
OSR2,0.0
KLF7,0.0
VDR,0.034657943462310846
HOXC4,0.008615913048668681
ZBTB4,-0.06128322100031285
DMBX1,0.0
REST,0.08845659136641562
HOXB6,0.05852118492329472
E2F3,0.0
NF1,0.0
HOXA3,0.0
MAF,-0.0034445670277381533
PRRX1,0.0
CTCF,0.0
ZNF410,-0.0004358819898243434
SP1,0.006487723424515212
FOXD1,0.0
CUX1,0.0003628187712785174
ARX,0.0
ELK3,0.0
PEBP1,0.0
TCF7L1,-0.051931362422293216
TCF7L2,0.32237251913724463
NFAT5,0.0
HIF1A,0.0
NFE2L2,0.01928313844461177
IKZF2,0.0
SOX13,-0.000469267366896524
RELA,0.0
ELK4,0.007711195435947353
SIX1,0.0
ATF1,0.0
MSC,-0.0011372785602674568
BHLHE41,0.0
NFE2,0.0
TTF1,0.0
IRX2,-0.007573343491756701
CENPB,-0.003360375377988742
PRDM1,0.0
BCL6,0.0
FOXC2,-0.0006299841384232372
ELF1,0.03360781690223458
SOX11,0.0
BBX,0.0
ELF4,0.0006574192160587833
EP300,0.038189703693244065
RARB,0.0
BHLHE40,0.0013510641875522855
NR2F1,0.0
ETS2,0.0011978768257211083
NFATC4,-0.06171633418289861
RUNX1,0.0006315026921223748
CEBPZ,0.0005712296277871852
SNAI2,0.0
FOXD2,0.040576046864185485
FOXL1,0.0
ZBTB6,0.0
STAT6,0.07337684575043528
NFE2L1,-0.0038574578575818353
EPAS1,0.0
DR1,0.003384326491966092
