,Coefficient
FOXC1,0.0
MSX2,4.744530675728235e-05
TEAD1,0.0012117376008801285
BACH1,0.0
HOXB7,0.012570636031136737
NR2C2,-0.021043770594482633
TCF4,0.0
POU2F1,-0.0045907470558991135
E2F8,0.0
ETV6,0.0
MEF2A,0.0
SOX4,0.0009424497730900152
SMAD3,0.0
SP3,0.0
ETV1,0.18205362831335795
E2F7,0.008109847272251811
PAX6,-0.08322381290463264
SIX4,0.053356340430431845
IRF1,-0.0511419424784638
TBX15,0.02395283549019881
KLF7,0.0003273616868688765
REST,-0.001400465503609169
HOXB6,0.11988943195222529
E2F3,0.0
NF1,0.0
REL,-0.005531508539599807
HOXA3,0.0
PRRX1,0.35460793048051165
SP1,0.0
CUX1,0.0013813732044974185
ELK3,0.0
PEBP1,0.00024409385608765356
HIF1A,0.0
NFE2L2,-0.0006087368748087462
SMAD1,0.0
SIX1,0.0011677730030463496
IKZF2,0.0
ELK4,-0.0008938083981646959
ATF1,-0.017670818541423647
MSC,0.0
NFE2,-0.006993266373700823
TTF1,-0.0005481591333557884
PRDM1,0.01818242730529995
GABPA,-0.021677096372710977
HBP1,0.0
BCL6,0.0
PURA,0.0
FOXC2,8.06477332953264e-06
ELF1,-0.07277642502532329
BBX,0.0
RARB,-0.003229761907585915
NR0B1,0.0
INSM1,-0.021171881620064097
BHLHE40,0.0027863767362512086
NR2F1,-0.001104680036886472
ETS2,0.0
RUNX1,0.0
SNAI2,0.020587186331348917
HOXB5,0.07225788690088814
FOXL1,0.0022641193826447893
NFE2L1,0.00014068418398132282
HOXA4,0.0
NKX6-1,-0.014296969862291255
TCF7L2,0.0
