,Coefficient
HMGA2,-0.00036261689158979463
PEBP1,0.01713270582259776
SOX11,0.004599324123994297
KLF7,0.019994597301765515
HOXB7,0.0
EP300,-0.0012979035566433384
NR2C2,0.02571671776069383
SMAD1,0.001566231639630935
NR2F1,0.08815322382582558
STAT6,0.0
RUNX1,0.0
ATF1,-0.0018310286436641324
BHLHE41,0.01650669882582657
E2F8,-0.014378005585364322
SNAI2,0.00868514862003051
HOXB5,0.0427326324440441
MAF,0.1941172819577423
NFE2,-0.013182705665972858
PRRX1,0.17357422379372037
SMAD3,-0.013939213980574745
SP3,-0.00022938214671791023
DR1,-0.05594976521308122
OTX1,0.008503470431118921
CDC5L,0.0
TCF7L2,-0.08226179788033784
BCL6,0.11499626476999021
