,Source,Edge,Target
0,RUNX1,0.4334801796880794,RUNX2
1,PRRX1,0.3361380502278552,RUNX2
2,FOXC1,0.1384262938158073,RARG
3,PITX1,0.4456631650029442,RARG
4,NFAT5,0.1466200799316062,RARG
5,BCL6,0.1466569797196927,RARG
6,TEAD1,0.3694014710499184,CUX1
7,FOXL1,0.2037793546766086,CUX1
8,ZNF410,0.2301322938067799,TTF1
9,HBP1,0.4719208232897266,TTF1
10,E2F8,0.1630625257718178,ELF4
11,SMAD3,0.3057558969928683,ELF4
12,CUX1,0.1264799163702342,ELF4
13,DR1,0.3100791014936704,ELF4
14,NKX3-2,0.2995506257100382,NFATC4
15,BCL6,0.2329146800301308,NFATC4
16,ZBTB4,0.1682370171026274,NFATC4
17,BHLHE41,0.3867772925623503,SNAI2
18,TEAD1,0.5292281677319665,SMAD1
19,GTF2A1,0.2372754443926338,SMAD1
20,KLF7,0.2814637577276625,GTF2A1
21,ETV1,0.3541979639102013,GTF2A1
22,ETV3,0.1640066968483279,GTF2A1
23,TCF4,0.4347459486986398,MAF
24,SNAI2,0.3429993742315185,MAF
25,KLF7,0.3382352896997561,SP3
26,CTCF,0.5029854238965119,SP3
27,MEF2A,0.4612627342553256,NFE2L1
28,IRX2,0.2102464842868076,NFE2L1
29,IKZF2,0.1063291343954262,DMBX1
30,HOXB5,0.0964620665567979,DMBX1
31,TFAP2A,0.1916293559233789,DMBX1
32,PEBP1,0.3901266843422844,NRL
33,PRRX1,-0.2276229740469854,NRL
34,ZBTB4,-0.2395527007360074,SPDEF
35,HOXB6,0.3973877576138438,SPDEF
36,ETS2,0.2447799798030396,SPDEF
37,HOXB5,0.3760968648434325,HOXC4
38,SP1,0.2571332842714171,HOXC4
39,SP3,0.4823598912685695,IKZF2
40,BCL6,0.309807167559301,IKZF2
41,PEBP1,0.1256257641276136,NKX6-1
42,IRX2,0.2480842917872308,NKX6-1
43,SCRT2,0.2828166734769695,NKX6-1
44,RUNX2,-0.0861265451276099,NKX6-1
45,DMBX1,0.1478812151301121,PITX1
46,STAT6,0.152846652943162,PITX1
47,HOXA3,0.1828521480171132,PITX1
48,OTX1,0.2055098732492972,PITX1
49,EPAS1,-0.2368735063982253,PITX1
50,ELK4,0.4846387101940144,E2F3
51,E2F8,0.2252540541533366,E2F3
52,NFAT5,0.301240118919574,SIX4
53,RFX7,0.4942158479357648,NF1
54,HBP1,0.2829270769736861,NF1
58,RELA,0.0326153723204829,ZNF410
60,SIX1,0.0266895771075101,ZNF410
64,ATF1,0.1426511535061888,ZNF410
65,GTF2A1,0.0802354655851956,ZNF410
66,ETV6,9.24216328807371e-05,ZNF410
67,SOX4,0.0015502519165516,ZNF410
71,IRF9,0.2102739300734205,ZNF410
72,BCL6,-0.0060762665699172,ZNF410
73,PAX6,0.0629391803173531,ZNF410
74,ATF2,0.0457686061541415,ZNF410
76,TBX15,0.043948092753225,ZNF410
77,SOX11,0.0002089982060068,ZNF410
78,KLF7,0.0139529713560144,ZNF410
79,ELF4,0.115563871362469,ZNF410
82,REST,-0.0127265419247113,ZNF410
84,E2F3,0.0017155209569295,ZNF410
85,NFATC4,0.1180160047670513,ZNF410
86,MECOM,-0.011301895069494,ZNF410
87,HOXB5,-0.0007834510017701,ZNF410
88,PRRX1,0.0001162261657514,ZNF410
89,FOXL1,0.0012346357120355,ZNF410
90,ZBTB6,0.0359713949749511,ZNF410
93,PEBP1,0.4277667483151864,FEV
94,SIX1,0.4686121398775347,FOXD1
95,HOXB6,0.2293346107585614,TEAD3
96,E2F3,0.3030208134404539,TEAD3
97,NFATC4,0.2057709275601486,TEAD3
98,TCF7L2,0.2387287662495101,TEAD3
99,TCF4,0.3909818719281574,PRDM1
100,VDR,0.2185592040874849,PRDM1
101,PRRX1,0.2245252249385128,PRDM1
102,NKX2-2,0.8291591841386081,INSM1
103,NF1,0.2677441598988614,ATF2
104,TEAD1,0.1128074410074523,ATF2
105,NR3C1,0.2256844157373869,ATF2
106,ZNF410,0.0716197399627497,ATF2
107,ETV3,0.0733968270111235,ATF2
108,CDC5L,0.0930691737980451,ATF2
109,HBP1,0.0311912337262431,ATF2
110,NFE2L2,0.1782829110160111,IRF2
111,SMAD1,0.1911941184304214,IRF2
112,TCF7L2,0.1468380026044753,IRF2
113,DR1,0.3146661316398969,IRF2
114,ATF2,0.2079056692950845,EP300
115,PPARA,0.2792075011408916,EP300
116,GTF2A1,0.3727407626735201,EP300
117,NR2C2,0.2704212743083601,POU2F1
118,ETV3,0.2203710996646629,POU2F1
119,ZBTB33,0.3783883429421245,POU2F1
120,RUNX1,0.1556091405243072,TFCP2L1
121,PRRX1,-0.0253979492044296,TFCP2L1
122,PRDM4,-0.0075775289064051,TFCP2L1
123,ZBTB6,-0.0148654039902517,TFCP2L1
124,ETV3,0.0222677293514,TFCP2L1
126,GABPA,-0.0225454017899429,TFCP2L1
127,NFE2L2,0.1610926319589531,TFCP2L1
129,OTX1,0.2396533981852061,TFCP2L1
130,BCL6,0.0935460309809136,TFCP2L1
131,PAX6,-0.0047207638946406,TFCP2L1
132,HOXB7,0.2717119980634209,OTX1
133,PRRX1,-0.1785312238877735,OTX1
134,TFAP2A,0.3751145603640662,OTX1
135,VDR,0.1781762936066266,MSX2
136,HOXC4,0.1565780750297199,MSX2
137,NFE2L1,-0.1308329039214859,MSX2
138,TCF7L2,0.298892611750566,MSX2
139,FOXC1,-0.0002797331333955,ZBTB33
140,PITX1,-0.0220556647746261,ZBTB33
141,RUNX1,-0.0134633390948785,ZBTB33
143,REL,0.3141509377122073,ZBTB33
144,ETV6,0.0585635359746036,ZBTB33
145,VDR,-0.0013699652828105,ZBTB33
146,GABPA,0.2762467506267199,ZBTB33
147,INSM1,0.1536416395084683,ZBTB33
148,SIX1,0.0183750347606307,ZBTB33
149,RUNX2,-0.0015850902157208,ZBTB33
150,HOXB5,0.7684477180851684,HOXB6
151,SP3,0.302678704132355,CEBPZ
152,ETV3,0.3177009616737244,CEBPZ
153,TEAD1,0.3767332381125868,BBX
154,PURA,0.4320276284386366,BBX
155,SOX4,0.2523552189701035,FOXC1
156,BCL6,0.2107062287729353,FOXC1
157,RARG,0.2174948900482648,FOXC1
158,NR2C2,0.1768883489189448,ZNF35
159,OSR2,0.1364068023997187,ZNF35
160,ZNF410,0.210364465834658,ZNF35
161,ZBTB6,0.1173655455460156,ZNF35
162,DR1,0.1081144409210892,ZNF35
163,ELK3,0.1668116100392978,PRRX1
164,TCF4,0.4150580000075179,PRRX1
165,PRDM1,0.2273123204196756,PRRX1
166,ELF4,0.0226544957791054,KLF13
167,ZBTB4,0.1540454248682994,KLF13
168,NFE2L1,0.0761448364275433,KLF13
169,REST,0.2561425722702706,KLF13
170,ELK4,0.1367621095936498,KLF13
171,NR2F1,0.0201714269134288,KLF13
172,NFATC4,0.0297724355634312,KLF13
173,GTF2A1,0.0114458776931544,KLF13
174,PRDM1,0.0910965862348327,KLF13
175,MECOM,0.0680142520017889,RFX7
176,IRF2,0.3130012149492886,RFX7
177,PRDM4,0.2540158455909265,RFX7
178,FEV,0.0716276287925455,RFX7
179,RARB,0.0976522690132346,RFX7
180,NFE2L1,0.0088396019927334,RFX7
181,RUNX2,0.01785157535606,RFX7
182,TEAD1,0.2683440439526222,MEF2A
183,NR3C1,0.3322165628040801,MEF2A
184,NF1,0.2175026252138671,MEF2A
185,SCRT1,0.6826410674879192,NR0B1
186,HOXB5,0.6794267305493868,HOXB7
187,MSC,0.0063271562412565,CENPB
188,TFAP2A,-0.0919610726762865,ZBTB6
189,NFAT5,0.2803928673938007,ZBTB6
190,NR2C2,0.2748828520627373,ZBTB6
191,IKZF2,0.2629671812337331,GRHL1
192,BHLHE40,0.1073433366189597,GRHL1
193,HOXA13,0.1192270124692804,GRHL1
194,OTX1,0.2674949353224074,GRHL1
195,SOX4,0.2185756255782788,TFAP2A
196,OTX1,0.2586586175430475,TFAP2A
197,PITX1,0.1795089522868158,TFAP2A
198,BHLHE40,0.1902497680505911,TFAP2A
199,RELA,0.1300115763265947,NFE2
200,FOXC1,1.627120046731027e-05,TBX15
202,FOXC2,0.0185870832224239,TBX15
203,TFAP2C,-0.0102662478872242,TBX15
205,ELF1,-0.0007119942166369,TBX15
206,KLF7,0.0120234490173605,TBX15
207,ELF4,0.158295619967674,TBX15
208,RARB,-0.0015282015763125,TBX15
210,HIF1A,-4.7778637909586566e-05,TBX15
212,E2F3,0.0027716677614195,TBX15
213,NFATC4,0.0016013768629629,TBX15
215,MECOM,0.2572007796104913,TBX15
216,BHLHE41,-0.0015530602763693,TBX15
218,HOXA3,0.0513854534120451,TBX15
219,CTCF,-0.0018766694071731,TBX15
220,IRX2,-0.0212654823678127,TBX15
221,OTX1,0.0014156914129025,TBX15
222,CDC5L,-0.0047634861850029,TBX15
223,HOXA4,-0.0028170889810913,TBX15
224,TCF7L2,0.0657278315809065,TBX15
225,RUNX2,0.0030947972636395,TBX15
226,EPAS1,0.2562948326271385,TCF4
227,PRDM1,0.1976492316736387,TCF4
228,PRRX1,0.4871852628749477,TCF4
229,ELK3,-0.2183351978089444,PPARA
230,TEAD1,0.2936147204110011,PPARA
231,SP3,0.3676436676357277,PPARA
232,ATF1,0.3506621752252835,GABPA
233,NR2F1,0.161785153791345,GABPA
234,ZBTB6,0.2953988533998147,GABPA
235,SOX4,0.2182599131009,HBP1
236,BBX,0.4916850318820123,HBP1
237,INSM1,0.7247291352813963,SCRT1
238,RUNX1,-0.068552629789747,PEBP1
239,BACH1,-0.0657335772559839,PEBP1
240,HOXB6,-0.2289677975643528,PEBP1
241,PRRX1,0.4598216247486597,NKX3-2
242,CDC5L,-0.0875157680305622,NKX3-2
243,HOXA4,0.1641493695675073,NKX3-2
244,EPAS1,-0.1125167837745902,NKX3-2
245,RUNX2,0.2002902916708362,NKX3-2
246,HMGA2,0.0013963437991725,TCF7L2
247,ELK3,-0.006897370830297,TCF7L2
252,NFE2,0.0360681441993799,TCF7L2
253,HOXA13,0.0940297199490332,TCF7L2
254,TTF1,-0.0044749810740318,TCF7L2
255,SMAD3,0.23963011766222,TCF7L2
256,IRX2,-0.114870010368198,TCF7L2
257,ETV1,0.0002564622988964,TCF7L2
258,ETV3,0.1769524513483632,TCF7L2
259,OTX1,0.0055450625678826,TCF7L2
260,E2F7,0.012440791854706,TCF7L2
263,PAX6,-0.0103225137094619,TCF7L2
264,OSR2,-0.0037583049055465,TCF7L2
265,ELF1,0.0071543164478397,TCF7L2
266,VDR,0.0005853812622095,TCF7L2
268,HOXC4,0.0041744224687231,TCF7L2
269,BHLHE40,0.0315735959666051,TCF7L2
270,NR2F1,-0.0017881279361775,TCF7L2
271,ETS2,0.098153184699333,TCF7L2
272,NFATC4,-0.0528883638155723,TCF7L2
273,IRF2,0.0478720163208669,TCF7L2
274,SNAI2,-0.0027537906978151,TCF7L2
275,HOXB5,0.1626126494320472,TCF7L2
276,PRRX1,-0.0079412595896932,TCF7L2
277,RARG,0.0083640034964479,TCF7L2
281,MSX2,4.744530675728235e-05,SOX11
282,TEAD1,0.0012117376008801,SOX11
284,HOXB7,0.0125706360311367,SOX11
285,NR2C2,-0.0210437705944826,SOX11
287,POU2F1,-0.0045907470558991,SOX11
291,SOX4,0.00094244977309,SOX11
294,ETV1,0.1820536283133579,SOX11
295,E2F7,0.0081098472722518,SOX11
296,PAX6,-0.0832238129046326,SOX11
297,SIX4,0.0533563404304318,SOX11
298,IRF1,-0.0511419424784638,SOX11
299,TBX15,0.0239528354901988,SOX11
300,KLF7,0.0003273616868688,SOX11
301,REST,-0.0014004655036091,SOX11
302,HOXB6,0.1198894319522252,SOX11
305,REL,-0.0055315085395998,SOX11
307,PRRX1,0.3546079304805116,SOX11
309,CUX1,0.0013813732044974,SOX11
311,PEBP1,0.0002440938560876,SOX11
313,NFE2L2,-0.0006087368748087,SOX11
315,SIX1,0.0011677730030463,SOX11
317,ELK4,-0.0008938083981646,SOX11
318,ATF1,-0.0176708185414236,SOX11
320,NFE2,-0.0069932663737008,SOX11
321,TTF1,-0.0005481591333557,SOX11
322,PRDM1,0.0181824273052999,SOX11
323,GABPA,-0.0216770963727109,SOX11
327,FOXC2,8.06477332953264e-06,SOX11
328,ELF1,-0.0727764250253232,SOX11
330,RARB,-0.0032297619075859,SOX11
332,INSM1,-0.021171881620064,SOX11
333,BHLHE40,0.0027863767362512,SOX11
334,NR2F1,-0.0011046800368864,SOX11
337,SNAI2,0.0205871863313489,SOX11
338,HOXB5,0.0722578869008881,SOX11
339,FOXL1,0.0022641193826447,SOX11
340,NFE2L1,0.0001406841839813,SOX11
342,NKX6-1,-0.0142969698622912,SOX11
344,NF1,0.1518539780709663,ETS2
345,HOXB7,0.1304561303067706,ETV6
346,ELF4,0.2912845755077489,ETV6
347,ELK4,0.2893437167558667,ETV6
348,SPDEF,0.1055224204951587,ETV6
349,ZBTB4,0.0426247396655073,ELK3
350,GABPA,0.379490320070885,ELK3
351,NF1,0.0985327761952739,ELK3
352,PAX6,0.1982024411515212,PURA
353,ZBTB6,0.3849396861942057,ETV1
354,NF1,0.2961984593328175,ELK4
355,ELK3,0.3948368533470133,ELK4
356,HOXA13,0.1837483717485642,PPARG
357,SMAD3,0.2956122235581463,PPARG
358,TCF7L2,0.2952282897975542,PPARG
359,SIX4,0.2078022371520339,HMGA2
360,SNAI2,0.1656220071730236,HMGA2
361,HOXA3,0.0987600106992584,HMGA2
362,TFAP2A,0.1380269015966029,HMGA2
363,FOXD1,0.042695010622386,HMGA2
364,IRX2,-0.0845075172507486,HMGA2
365,PURA,0.1238623304174776,BHLHE41
366,HMGA2,0.139624906659656,BHLHE41
367,HIF1A,0.1333274404566894,BHLHE41
368,BHLHE40,0.289206292833464,BHLHE41
369,REST,0.1494095993290584,SP1
370,TCF7L2,0.1927818317759947,SP1
371,NFAT5,0.2916549119012664,SP1
372,IRF2,0.1107262068352207,SP1
373,RARG,0.1794148865735083,SP1
374,STAT6,0.0735241481793922,SP1
375,PITX1,0.2521778523349678,SMAD3
376,BCL6,0.3359091628168763,SMAD3
377,PPARG,0.2673211204413986,SMAD3
378,HOXB7,-0.0479080522832036,EPAS1
379,HIF1A,0.1303987692868654,ELF1
380,SP3,0.2268638846189455,ELF1
381,REST,0.1195664624372744,ELF1
382,IRF2,0.286234302977036,ELF1
383,REL,0.1538126143795348,ELF1
384,VDR,0.3142059599607469,RUNX1
385,SOX4,0.2965051114098033,RUNX1
386,RUNX2,0.2995314634698299,RUNX1
387,ELK3,0.0806603419214558,NFE2L2
388,BACH1,0.0438693007523736,NFE2L2
389,KLF7,0.1504520035394172,NFE2L2
390,RARB,0.0456806853471421,NFE2L2
391,REST,0.2775124479734283,NFE2L2
392,ETS2,0.1403405661150645,NFE2L2
393,NF1,0.0433903365627101,NFE2L2
394,GTF2A1,0.068460090933294,NFE2L2
395,BACH1,0.3102576194115932,REL
396,NFAT5,0.4022554630934129,REL
397,NR2F1,0.1016774460360094,OSR2
398,ETS2,0.1247621047358012,OSR2
399,HOXA3,0.1931025752232123,OSR2
400,PRRX1,0.2738931101525718,OSR2
401,PURA,0.0015893984745566,BHLHE40
403,RUNX1,0.3346628989088268,BHLHE40
404,MSX2,0.0147445123687385,BHLHE40
406,FOXL1,0.2857273400990461,BHLHE40
407,KLF13,-0.0011754032171082,BHLHE40
408,SOX4,0.0022769010140148,BHLHE40
409,PRDM4,-0.005466588751189,BHLHE40
410,EP300,0.0056869510847154,BHLHE40
411,HOXC4,0.0016230839819868,BHLHE40
412,PRDM1,0.0733166244446356,BHLHE40
414,CUX1,0.0278929762092959,DR1
415,IRF9,0.0655693822353674,DR1
416,ATF1,0.3553828546000086,DR1
417,ATF2,0.052785220771508,DR1
418,TEAD1,0.0781037415114203,DR1
419,PEBP1,-0.014458148968138,DR1
420,HOXA3,0.0022598768745885,DR1
421,SMAD3,0.0805236952700007,DR1
422,RARB,0.1140843389398498,DR1
423,PRDM1,0.0791852139031946,DR1
424,GC,-0.025180422549559,DR1
425,TCF7L2,0.0301400909024797,DR1
426,FOXC1,0.0440696319783769,RARB
427,HIF1A,0.050700666122867,RARB
428,NFE2L2,0.0490681778076296,RARB
429,SMAD1,0.0358504304829632,RARB
430,NR3C1,0.1360300631146566,RARB
431,NKX3-1,0.0971687988316912,RARB
432,SMAD3,0.1726790269268455,RARB
433,ETV1,0.149115355500522,RARB
434,NR2F1,0.0670903224783827,RARB
435,SNAI2,0.0335464616635014,RARB
436,HOXA4,0.0771107965995023,RARB
437,EPAS1,0.0842682009810924,RARB
438,ETV1,0.066320378139969,IRX2
439,FEV,0.3042562978334834,IRX2
440,ZBTB4,0.1828408564655738,IRX2
441,REST,-0.2442664066216257,IRX2
442,HOXA3,-0.1103527115808241,IRX2
443,ELK3,0.3240519669600853,BACH1
444,ELF1,0.2743111505837741,BACH1
445,NFAT5,0.2184002617003776,BACH1
446,TEAD1,0.2264537018593831,NR2C2
447,RFX7,0.4456232948155078,NR2C2
448,E2F7,0.1316187555411866,SOX4
449,RUNX1,0.5042799614961253,SOX4
450,TCF7L2,0.1560184816475801,SOX4
451,IRF1,0.2144231732209783,PRDM4
452,SNAI2,0.0642404631251123,PRDM4
453,HOXB5,-0.1117191691498435,PRDM4
455,MSX2,0.0115275519571215,MECOM
457,HOXB7,0.0054709879366518,MECOM
460,E2F8,0.0433483569220105,MECOM
465,HOXA13,0.0024359987618122,MECOM
467,SMAD3,2.036486822177094e-05,MECOM
468,SP3,0.0057432758729492,MECOM
469,ETV3,0.0032614409400392,MECOM
470,ETV1,-0.0016251813762537,MECOM
472,OTX1,0.0153512806875854,MECOM
474,SIX4,-0.0022323787534747,MECOM
479,VDR,0.0346579434623108,MECOM
480,HOXC4,0.0086159130486686,MECOM
481,ZBTB4,-0.0612832210003128,MECOM
483,REST,0.0884565913664156,MECOM
484,HOXB6,0.0585211849232947,MECOM
488,MAF,-0.0034445670277381,MECOM
491,ZNF410,-0.0004358819898243,MECOM
492,SP1,0.0064877234245152,MECOM
494,CUX1,0.0003628187712785,MECOM
498,TCF7L1,-0.0519313624222932,MECOM
499,TCF7L2,0.3223725191372446,MECOM
502,NFE2L2,0.0192831384446117,MECOM
504,SOX13,-0.0004692673668965,MECOM
506,ELK4,0.0077111954359473,MECOM
509,MSC,-0.0011372785602674,MECOM
513,IRX2,-0.0075733434917567,MECOM
514,CENPB,-0.0033603753779887,MECOM
517,FOXC2,-0.0006299841384232,MECOM
518,ELF1,0.0336078169022345,MECOM
521,ELF4,0.0006574192160587,MECOM
522,EP300,0.038189703693244,MECOM
524,BHLHE40,0.0013510641875522,MECOM
526,ETS2,0.0011978768257211,MECOM
527,NFATC4,-0.0617163341828986,MECOM
528,RUNX1,0.0006315026921223,MECOM
529,CEBPZ,0.0005712296277871,MECOM
531,FOXD2,0.0405760468641854,MECOM
534,STAT6,0.0733768457504352,MECOM
535,NFE2L1,-0.0038574578575818,MECOM
537,DR1,0.003384326491966,MECOM
538,IRF1,0.3971066004123382,IRF9
539,PEBP1,0.1436713799673531,IRF9
540,RELA,0.3149060390675298,IRF9
541,CUX1,0.2096790291694623,TEAD1
542,NFAT5,0.2169285249062801,TEAD1
543,TCF4,0.2030612256129519,TEAD1
