,Alt_ID,in_degree,out_degree,out/in
SNAI2,SNAI2,1.0,8.0,8.0
ETV3,ETV3,1.0,7.0,7.0
HOXB6,HOXB6,1.0,7.0,7.0
HOXB7,HOXB7,1.0,6.0,6.0
PURA,PURA,1.0,6.0,6.0
ETV1,ETV1,1.0,6.0,6.0
PRRX1,PRRX1,3.0,15.0,5.0
ETS2,ETS2,1.0,5.0,5.0
SIX1,SIX1,1.0,5.0,5.0
NF1,NF1,2.0,9.0,4.5
EPAS1,EPAS1,1.0,4.0,4.0
INSM1,INSM1,1.0,4.0,4.0
HOXA13,HOXA13,1.0,4.0,4.0
ELK4,ELK4,2.0,7.0,3.5
SP3,SP3,2.0,7.0,3.5
OTX1,OTX1,3.0,10.0,3.3333333333333335
HOXB5,HOXB5,3.0,10.0,3.3333333333333335
FOXC2,FOXC2,1.0,3.0,3.0
RUNX2,RUNX2,2.0,6.0,3.0
NFE2,NFE2,1.0,3.0,3.0
RUNX1,RUNX1,3.0,9.0,3.0
ATF1,ATF1,2.0,6.0,3.0
NR2C2,NR2C2,2.0,6.0,3.0
ELK3,ELK3,3.0,9.0,3.0
PAX6,PAX6,2.0,6.0,3.0
NFATC4,NFATC4,3.0,9.0,3.0
FEV,FEV,1.0,3.0,3.0
NFE2L1,NFE2L1,2.0,6.0,3.0
SIX4,SIX4,1.0,3.0,3.0
SOX4,SOX4,3.0,8.0,2.6666666666666665
SMAD3,SMAD3,3.0,8.0,2.6666666666666665
REST,REST,3.0,8.0,2.6666666666666665
E2F8,E2F8,2.0,5.0,2.5
TEAD1,TEAD1,4.0,10.0,2.5
CUX1,CUX1,2.0,5.0,2.5
BCL6,BCL6,4.0,10.0,2.5
KLF7,KLF7,3.0,7.0,2.3333333333333335
PEBP1,PEBP1,3.0,7.0,2.3333333333333335
NFAT5,NFAT5,3.0,7.0,2.3333333333333335
SCRT2,SCRT2,1.0,2.0,2.0
GTF2A1,GTF2A1,3.0,6.0,2.0
STAT6,STAT6,2.0,4.0,2.0
NKX2-2,NKX2-2,1.0,2.0,2.0
SMAD1,SMAD1,2.0,4.0,2.0
PRDM1,PRDM1,3.0,6.0,2.0
TCF4,TCF4,3.0,6.0,2.0
HOXC4,HOXC4,2.0,4.0,2.0
IKZF2,IKZF2,2.0,4.0,2.0
E2F3,E2F3,2.0,4.0,2.0
TFAP2A,TFAP2A,4.0,7.0,1.75
NR2F1,NR2F1,4.0,7.0,1.75
BACH1,BACH1,3.0,5.0,1.6666666666666667
ZBTB6,ZBTB6,3.0,5.0,1.6666666666666667
IRX2,IRX2,5.0,8.0,1.6
IRF2,IRF2,4.0,6.0,1.5
IRF1,IRF1,2.0,3.0,1.5
VDR,VDR,4.0,6.0,1.5
ZBTB4,ZBTB4,4.0,6.0,1.5
HBP1,HBP1,2.0,3.0,1.5
REL,REL,2.0,3.0,1.5
HOXA3,HOXA3,4.0,6.0,1.5
TTF1,TTF1,2.0,3.0,1.5
E2F7,E2F7,2.0,3.0,1.5
PITX1,PITX1,5.0,7.0,1.4
EP300,EP300,3.0,4.0,1.3333333333333333
NR3C1,NR3C1,3.0,4.0,1.3333333333333333
GABPA,GABPA,3.0,4.0,1.3333333333333333
FOXC1,FOXC1,3.0,4.0,1.3333333333333333
CDC5L,CDC5L,3.0,4.0,1.3333333333333333
FOXL1,FOXL1,3.0,4.0,1.3333333333333333
HOXA4,HOXA4,3.0,4.0,1.3333333333333333
RARG,RARG,4.0,5.0,1.25
ELF4,ELF4,4.0,5.0,1.25
MAF,MAF,2.0,2.0,1.0
FOXD1,FOXD1,1.0,1.0,1.0
IRF9,IRF9,3.0,3.0,1.0
PRDM4,PRDM4,3.0,3.0,1.0
MEF2A,MEF2A,3.0,3.0,1.0
CENPB,CENPB,1.0,1.0,1.0
TFAP2C,TFAP2C,1.0,1.0,1.0
OSR2,OSR2,4.0,4.0,1.0
MSX2,MSX2,4.0,4.0,1.0
SCRT1,SCRT1,1.0,1.0,1.0
