,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned,Fraction_of_aligned_and_diff_exp_edges,number_downstream_regulons,number_differentially_expressed_regulons
8999,3,NR1H3,R-8999,1.0,2.0443121414856114,0.4283121384700333,2.4602083829578853e-09,4.542200062025098,1.756967439137095,1.0,0.2083333333333333,24,5
9008,3,NR1H3,R-9008,1.0,2.0443121414856114,0.1399456767479245,0.06244353202104,4.525050079452676,3.749189113181819,1.0,0.2083333333333333,24,5
8987,3,NR1H3,R-8987,1.0,2.0443121414856114,0.3148695273791956,1.8632242342928928e-05,2.516551375189896,1.7206012827747816,1.0,0.2083333333333333,24,5
8994,3,NR1H3,R-8994,1.0,2.0443121414856114,0.4724729208269986,2.7655269532244923e-11,5.216204810777623,2.5948040359537483,1.0,0.2083333333333333,24,5
9000,3,NR1H3,R-9000,1.0,2.0443121414856114,0.4210647825527247,4.841777365955923e-09,3.712221079549949,1.464009203024915,1.0,0.2083333333333333,24,5
3650,3,ERG,R-3650,1.0,2.5593136680722903,0.8548294605230821,5.0332757956945215e-52,2.720070872748178,1.3455010004032124,0.25,0.0454545454545454,22,4
1052,3,IRF4,R-1052,1.0,1.6503238146960508,0.3199954464645734,1.3353054810817432e-05,3.7533179097640854,2.5496074823018327,1.0,0.1904761904761904,21,4
1042,3,IRF4,R-1042,1.0,1.6503238146960508,0.3348859328736532,4.898540903662529e-06,5.398084473204224,3.0831479090809686,1.0,0.1904761904761904,21,4
1051,3,IRF4,R-1051,1.0,1.6503238146960508,0.3773338198949069,2.080286308957837e-07,3.7910294327496463,2.268862657788212,1.0,0.1904761904761904,21,4
1038,3,IRF4,R-1038,1.0,1.6503238146960508,0.8542357986613883,7.012676150946757e-52,3.334283972540562,2.793939457103104,1.0,0.1904761904761904,21,4
3453,3,MAFB,R-3453,1.0,2.6537085509364986,0.5797150635845899,2.277429425955247e-17,3.3749749850179076,2.2671405832147844,0.6666666666666666,0.16,25,6
3462,3,MAFB,R-3462,1.0,2.6537085509364986,0.6782225040401988,2.4890510140559304e-25,6.289120575529884,3.3429838476486777,0.6666666666666666,0.16,25,6
3452,3,MAFB,R-3452,1.0,2.6537085509364986,0.7062501529370836,3.3804992519698013e-28,3.855252708598156,2.5289177820690516,0.6666666666666666,0.16,25,6
3472,3,MAFB,R-3472,1.0,2.6537085509364986,0.4671193249702903,4.9338967637727526e-11,5.048745979278712,2.943456241166387,0.6666666666666666,0.16,25,6
9272,3,RELA,R-9272,1.0,4.601909965501628,0.3731654199412934,2.89581610847485e-07,3.4070573234240835,1.5199373172118649,1.0,0.2857142857142857,14,4
9266,3,RELA,R-9266,1.0,4.601909965501628,0.6796353767146243,1.816079387701652e-25,7.277180750880018,10.128806689771334,1.0,0.2857142857142857,14,4
9273,3,RELA,R-9273,1.0,4.601909965501628,0.6519566903457601,6.437523058963182e-23,4.023833430715252,1.8614978928436032,1.0,0.2857142857142857,14,4
9276,3,RELA,R-9276,1.0,4.601909965501628,0.4673938137880628,4.790769999704761e-11,4.570664670528481,3.5944188861297515,1.0,0.2857142857142857,14,4
9599,3,FOXC2,R-9599,1.0,1.77458197739851,0.0899355164060264,0.2325339711231507,6.793942809476127,6.477354340062074,1.0,0.36,25,9
9604,3,FOXC2,R-9604,1.0,1.77458197739851,0.2203836672769964,0.003116555255693,4.221620605695328,2.054147664399676,1.0,0.36,25,9
9610,3,FOXC2,R-9610,1.0,1.77458197739851,0.1408202108882692,0.0608074260075533,3.480254513452696,1.5009462378103433,1.0,0.36,25,9
9618,3,FOXC2,R-9618,1.0,1.77458197739851,0.4086957631906239,1.4826073728629724e-08,3.7633818196766455,1.656386052260985,1.0,0.36,25,9
9600,3,FOXC2,R-9600,1.0,1.77458197739851,0.1552255542705885,0.0385522757988713,4.605095263544431,4.896138354334095,1.0,0.36,25,9
9603,3,FOXC2,R-9603,1.0,1.77458197739851,0.1164843301994086,0.1215208060799954,3.9171544486717873,1.7894762919265357,1.0,0.36,25,9
9615,3,FOXC2,R-9615,1.0,1.77458197739851,0.2082210464832982,0.0052857988210797,5.85820783081733,3.9311585902229647,1.0,0.36,25,9
9608,3,FOXC2,R-9608,1.0,1.77458197739851,0.2060166246599477,0.0057996514067469,3.594448838451703,1.7633905907605547,1.0,0.36,25,9
9602,3,FOXC2,R-9602,1.0,1.77458197739851,0.1737226960759802,0.0203905474145708,3.733300701295337,1.8236059111852376,1.0,0.36,25,9
2667,3,ELF4,R-2667,1.0,3.3884305601889264,0.373973991652561,2.716836705207403e-07,4.8997903969157734,3.2839374308235754,0.875,0.28,25,8
2662,3,ELF4,R-2662,1.0,3.3884305601889264,0.4491030705510735,3.220856819296658e-10,6.552685130677285,7.082613303080336,0.875,0.28,25,8
2663,3,ELF4,R-2663,1.0,3.3884305601889264,0.6334531650794901,2.3445865513009936e-21,4.870766214634667,4.674176411016924,0.875,0.28,25,8
2674,3,ELF4,R-2674,1.0,3.3884305601889264,0.5840834786457275,1.1495100424699256e-17,4.450877778413122,2.1056383447784293,0.875,0.28,25,8
2672,3,ELF4,R-2672,1.0,3.3884305601889264,0.6067256143815118,2.802663759428859e-19,4.202240233754509,2.568080601638898,0.875,0.28,25,8
2673,3,ELF4,R-2673,1.0,3.3884305601889264,0.4328060949284467,1.6037265305375446e-09,4.894959189159043,2.592532395843037,0.875,0.28,25,8
2654,3,ELF4,R-2654,1.0,3.3884305601889264,0.0075867432540117,0.9199409492028724,3.910958006311388,3.2225369399811754,0.875,0.28,25,8
8219,3,DLX5,R-8219,1.0,1.5355565203330053,0.331272894016463,6.2783539484938246e-06,4.610544200251374,4.4801228724514335,1.0,0.3,10,3
8220,3,DLX5,R-8220,1.0,1.5355565203330053,0.3163738963262119,1.690740659822859e-05,4.8020923256421355,4.092526805355929,1.0,0.3,10,3
8221,3,DLX5,R-8221,1.0,1.5355565203330053,0.1660093475145463,0.0267856895630118,3.090500456658381,2.072416039130427,1.0,0.3,10,3
3054,3,HLF,R-3054,1.0,3.2204862814409143,0.879886672291205,9.142053151416557e-59,5.062877876593137,2.831816805071929,0.75,0.1428571428571428,21,4
3047,3,HLF,R-3047,1.0,3.2204862814409143,0.4283525670555968,2.450823917445331e-09,3.1963286811797325,2.276446679543538,0.75,0.1428571428571428,21,4
3045,3,HLF,R-3045,1.0,3.2204862814409143,0.872820181098785,1.0123702824739009e-56,3.3107476366578124,1.805021818487256,0.75,0.1428571428571428,21,4
6431,3,ELF3,R-6431,1.0,1.3627144056787877,0.6351341431108095,1.7083858705130415e-21,3.751208880282664,1.7815204523459869,0.6,0.24,25,10
6430,3,ELF3,R-6430,1.0,1.3627144056787877,0.4428408954293356,6.028739588222895e-10,4.653450707208793,2.2966699672270483,0.6,0.24,25,10
6422,3,ELF3,R-6422,1.0,1.3627144056787877,0.2578801164768828,0.0005103223721222,4.676323706596208,4.295088458784345,0.6,0.24,25,10
6420,3,ELF3,R-6420,1.0,1.3627144056787877,0.7775853282535171,2.640583374835498e-37,6.005554226239853,5.435668450414079,0.6,0.24,25,10
6411,3,ELF3,R-6411,1.0,1.3627144056787877,0.4870867905980132,5.406254971214313e-12,2.883069429186078,1.9066977475233284,0.6,0.24,25,10
6429,3,ELF3,R-6429,1.0,1.3627144056787877,0.5837728168829773,1.2071919480322538e-17,4.853698736241053,2.93153302546307,0.6,0.24,25,10
9131,3,SPDEF,R-9131,1.0,6.242146436422313,0.1852469707818357,0.0133029194917096,4.722425299729063,4.666555790656843,0.8333333333333334,0.2,25,6
9136,3,SPDEF,R-9136,1.0,6.242146436422313,0.3996503991258914,3.2671518222668744e-08,4.294931729342757,1.813075060343043,0.8333333333333334,0.2,25,6
