,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned,Fraction_of_aligned_and_diff_exp_edges,number_downstream_regulons,number_differentially_expressed_regulons
1880,5,ZNF8,1880,1.0,1.8398299266157856,0.13708801409468163,0.06804312213641933,2.6635870422515824,1.9188502185496998,0.75,0.25,24,8
1878,5,ZNF8,1878,1.0,1.8398299266157856,0.13767954813608263,0.06685158816244725,5.63777396095589,5.642303347407693,0.75,0.25,24,8
1886,5,ZNF8,1886,1.0,1.8398299266157856,0.19163255948055652,0.010392805443392602,6.054076385920911,6.562652460128178,0.75,0.25,24,8
1876,5,ZNF8,1876,1.0,1.8398299266157856,0.20771036961302397,0.005401066861672519,7.009819572429827,6.532020664190733,0.75,0.25,24,8
1874,5,ZNF8,1874,1.0,1.8398299266157856,0.2833990652485454,0.00012645298376360241,6.833677369456015,8.010763261533617,0.75,0.25,24,8
1875,5,ZNF8,1875,1.0,1.8398299266157856,0.22054963725983556,0.0030935681996456005,6.364764947198626,5.515591890225368,0.75,0.25,24,8
9397,5,TFAP2E,9397,1.0,2.938987011240641,0.18363408299988618,0.014142418984881477,2.889905603901278,2.2542699143003677,0.6666666666666666,0.24,25,9
9404,5,TFAP2E,9404,1.0,2.938987011240641,0.3542959095846602,1.2227658189800646e-06,4.034081534168608,3.4989936793544194,0.6666666666666666,0.24,25,9
9399,5,TFAP2E,9399,1.0,2.938987011240641,0.2866780363197646,0.00010464404576734824,2.452634685009336,1.7852141565796782,0.6666666666666666,0.24,25,9
9406,5,TFAP2E,9406,1.0,2.938987011240641,0.2608292754027166,0.000437361845845619,6.861277710397932,7.636603238307937,0.6666666666666666,0.24,25,9
9385,5,TFAP2E,9385,1.0,2.938987011240641,0.1958584105820759,0.008790569367442816,5.125318843552349,4.880762383627501,0.6666666666666666,0.24,25,9
9403,5,TFAP2E,9403,1.0,2.938987011240641,0.37616777437444743,2.2830157899096418e-07,6.336024637174113,6.458113299023813,0.6666666666666666,0.24,25,9
3653,5,ERG,3653,1.0,7.766922163994592,-0.47663068167914807,1.751850814929824e-11,-2.581466826546361,1.9009753040346966,0.7,0.3181818181818182,22,10
3650,5,ERG,3650,1.0,7.766922163994592,0.8548294605230821,5.0332757956945215e-52,7.419197260683622,7.0870418300530265,0.7,0.3181818181818182,22,10
3645,5,ERG,3645,1.0,7.766922163994592,0.8178011317876138,4.2935740140511715e-44,7.058163753560483,8.24838641234403,0.7,0.3181818181818182,22,10
3656,5,ERG,3656,1.0,7.766922163994592,0.39912482751356754,3.418179003966533e-08,3.335237705621474,2.5695737464395454,0.7,0.3181818181818182,22,10
