,Coefficient
TERF1,-0.018160165818833264
BRCA1,0.004392842713283286
SMAD4,0.0
FOXO3,0.00044520159811487154
NR2C2,0.00037286453692644134
SIX4,0.018767578750792997
FOXO4,0.010961097101056284
CUX2,-0.007061234828699264
POLR3A,0.05130759950728784
MEF2D,0.0018283503705030279
TTF1,0.0019657752156110415
SP1,0.002523416452553537
E2F7,0.0007709666921891786
PROX1,-0.04024979825550004
ATF7,0.0
NFAT5,-0.0045147270592602266
BACH2,-0.0007191460170546201
PBX1,-0.006344682544957469
ZNF652,0.01483538256927688
ZNF143,0.0025411186781952376
ZBED6,-0.00025491599678465496
ZFX,0.0026394894742717482
ARNT,0.0002575426848716145
NF1,0.007629059193621726
RFX3,0.033277337604142525
ZBTB14,0.0
NR4A1,0.00041938326581226224
ZBTB18,0.25068963210113976
TBX20,0.0008178806364205781
NRF1,0.05494152279575749
FOXJ2,0.0014688313529089155
SOX5,0.09728827874823477
SH2D1A,-0.010386350147987913
ATF1,0.0
PPARA,0.00740708360300215
PHOX2B,0.004705686011658321
CEBPZ,-0.0007842780216835448
EPAS1,0.0027105348730350493
GABPA,0.0
ONECUT2,-0.07026142623711679
BDP1,0.0
CLOCK,0.0
