,out_degree_aligned
TBX20,9
GTF2I,8
TTF1,8
SP3,8
ARNT,7
ATF1,7
ZBTB14,7
ATF7,7
FOXO3,7
NFAT5,6
MEF2D,6
BRCA1,6
NR2C2,6
TFCP2,6
ZNF652,6
ZNF143,6
PBX1,6
RFX7,6
HMGA1,5
POLR3A,5
ZNF8,5
ZNF281,5
CUX1,5
ZBED6,5
EPAS1,5
ZNF740,4
BDP1,4
RFX3,4
ZNF148,4
GABPA,4
HLTF,4
NRF1,4
ZBTB18,4
BBX,4
KLF13,3
SMAD4,3
SP1,3
DBP,3
TRIM28,3
GLIS2,3
PROX1,3
RFX1,3
ZBTB7A,3
ZFX,3
GTF2A1,3
TBP,3
ZBTB49,3
CLOCK,3
IRF5,2
VBP1,2
NF1,2
SIX4,2
ZBTB6,2
TERF1,2
PPARA,2
FOXJ2,2
FOXO4,2
BPTF,2
E2F7,2
SOX2,2
ZNF384,2
SOX5,2
ZBTB4,2
PHOX2B,1
E2F4,1
ZSCAN26,1
ZBTB33,1
CEBPZ,1
MTERF1,1
MGA,1
ZBTB3,1
BACH2,1
ONECUT2,0
ZNF350,0
ZBTB16,0
ZNF232,0
CUX2,0
ZNF263,0
SP4,0
