,Source,Edge,Target
0,GTF2I,0.419047506928127,CUX1
1,TBX20,-0.148895126711733,FOXP3
2,EPAS1,-0.2204415664453398,FOXP3
3,NFAT5,-0.1224618845564821,POU2AF1
4,SP3,0.2966600261739998,ZSCAN26
5,ZBED6,0.2687705638809271,ZSCAN26
6,BRCA1,0.3757483672478989,HLTF
7,PBX1,0.3328432882920035,HLTF
8,TFCP2,0.2525395159692913,TTF1
9,GABPA,0.1965077105322585,TTF1
10,ZNF143,0.3241210468256665,TTF1
11,SP1,0.278186098435455,ZNF350
12,FOSL1,-0.3474127848878154,ZNF350
13,NR4A2,-0.1318691277861172,ZNF350
14,FOSL1,-0.3488925126887319,GTF2A1
15,KLF13,0.311367808338867,GTF2A1
16,NR2C2,0.453465058341768,SP4
17,RFX7,0.3531069446097878,SP4
18,ZNF148,0.2288429502163933,ZFX
19,ZNF281,0.1001762570635871,ZFX
20,SP3,0.1239874038198214,ZFX
21,ARNT,0.1601441949873995,ZFX
22,CREM,-0.0888125972055919,ZFX
23,TERF1,0.2756175401337234,SP3
24,ATF1,0.2039098668121515,SP3
25,RFX3,0.1363082438134775,SP3
26,ZBTB49,0.1151497819453662,SP3
27,KLF13,0.2089741986569062,SP3
28,POLR3A,-0.0741636507447137,FOSL1
29,ZNF8,-0.1000061901220673,FOSL1
30,CREM,0.4658064375888901,FOSL1
31,NR2C2,-0.3041812200621878,TRIM28
32,ZBTB7A,0.2761015866929329,TRIM28
33,ZNF652,0.1580541686557125,TRIM28
34,ZSCAN26,0.0790998269086872,BACH2
35,TTF1,0.0973789140299343,SIX4
36,ZNF148,0.2426149166814795,NF1
37,CLOCK,0.1747353245692792,NF1
38,ATF7,0.1692653112573864,E2F4
39,GABPA,0.0581307012020108,E2F4
40,TBX20,0.0298775892092631,E2F4
41,ZNF148,-0.0036764698107977,ZBTB18
42,ARNT,0.1140124150560183,ZBTB18
43,FOXO3,0.0218788779726305,ZBTB18
44,RFX7,-0.0003584892551742,ZBTB18
45,CEBPB,-0.0056132838759665,ZBTB18
46,SH2D1A,-0.0549919518756086,ZBTB18
