,Alt_ID,in_degree,out_degree,out/in
ZNF652,ZNF652,1.0,6.0,6.0
HMGA1,HMGA1,1.0,5.0,5.0
CUX1,CUX1,1.0,5.0,5.0
NR2C2,NR2C2,2.0,7.0,3.5
RFX7,RFX7,2.0,7.0,3.5
TBX20,TBX20,3.0,10.0,3.3333333333333335
CLOCK,CLOCK,1.0,3.0,3.0
BRCA1,BRCA1,2.0,6.0,3.0
BACH2,BACH2,1.0,3.0,3.0
IRF5,IRF5,1.0,3.0,3.0
SH2D1A,SH2D1A,1.0,3.0,3.0
TTF1,TTF1,3.0,8.0,2.6666666666666665
FOXO3,FOXO3,3.0,8.0,2.6666666666666665
GTF2I,GTF2I,3.0,8.0,2.6666666666666665
PROX1,PROX1,2.0,5.0,2.5
ZBTB14,ZBTB14,3.0,7.0,2.3333333333333335
ZBED6,ZBED6,3.0,7.0,2.3333333333333335
ATF7,ATF7,3.0,7.0,2.3333333333333335
VBP1,VBP1,1.0,2.0,2.0
PBX1,PBX1,4.0,8.0,2.0
NRF1,NRF1,2.0,4.0,2.0
E2F7,E2F7,1.0,2.0,2.0
HLTF,HLTF,2.0,4.0,2.0
SIX4,SIX4,1.0,2.0,2.0
POLR3A,POLR3A,3.0,6.0,2.0
DBP,DBP,2.0,4.0,2.0
NFAT5,NFAT5,4.0,8.0,2.0
SP3,SP3,5.0,9.0,1.8
ATF1,ATF1,4.0,7.0,1.75
CEBPD,CEBPD,3.0,5.0,1.6666666666666667
ZNF8,ZNF8,3.0,5.0,1.6666666666666667
BDP1,BDP1,3.0,5.0,1.6666666666666667
ZNF148,ZNF148,3.0,5.0,1.6666666666666667
FOSL1,FOSL1,3.0,5.0,1.6666666666666667
ARNT,ARNT,5.0,8.0,1.6
GTF2A1,GTF2A1,2.0,3.0,1.5
ZNF143,ZNF143,4.0,6.0,1.5
ZBTB4,ZBTB4,2.0,3.0,1.5
NF1,NF1,2.0,3.0,1.5
ZNF740,ZNF740,3.0,4.0,1.3333333333333333
BBX,BBX,3.0,4.0,1.3333333333333333
KLF13,KLF13,3.0,4.0,1.3333333333333333
RFX3,RFX3,3.0,4.0,1.3333333333333333
TFCP2,TFCP2,5.0,6.0,1.2
ZBTB49,ZBTB49,3.0,3.0,1.0
SOX5,SOX5,2.0,2.0,1.0
ZNF281,ZNF281,6.0,6.0,1.0
TERF1,TERF1,3.0,3.0,1.0
POU2AF1,POU2AF1,1.0,1.0,1.0
TRIM28,TRIM28,3.0,3.0,1.0
NR4A1,NR4A1,2.0,2.0,1.0
GABPA,GABPA,4.0,4.0,1.0
SP1,SP1,3.0,3.0,1.0
SOX17,SOX17,2.0,2.0,1.0
TBP,TBP,4.0,4.0,1.0
CUX2,CUX2,1.0,1.0,1.0
MGA,MGA,1.0,1.0,1.0
CEBPB,CEBPB,5.0,4.0,0.8
SMAD4,SMAD4,4.0,3.0,0.75
ZBTB3,ZBTB3,3.0,2.0,0.6666666666666666
ZBTB6,ZBTB6,3.0,2.0,0.6666666666666666
ZNF384,ZNF384,3.0,2.0,0.6666666666666666
PPARA,PPARA,3.0,2.0,0.6666666666666666
BPTF,BPTF,3.0,2.0,0.6666666666666666
NR4A2,NR4A2,8.0,5.0,0.625
ZFX,ZFX,5.0,3.0,0.6
CEBPZ,CEBPZ,5.0,3.0,0.6
ZBTB33,ZBTB33,2.0,1.0,0.5
ZSCAN26,ZSCAN26,2.0,1.0,0.5
CREM,CREM,8.0,4.0,0.5
MTERF1,MTERF1,2.0,1.0,0.5
FOXJ2,FOXJ2,4.0,2.0,0.5
FOXP3,FOXP3,2.0,1.0,0.5
MEF2D,MEF2D,15.0,7.0,0.4666666666666667
RFX1,RFX1,7.0,3.0,0.42857142857142855
FOXO4,FOXO4,5.0,2.0,0.4
GLIS2,GLIS2,11.0,4.0,0.36363636363636365
E2F4,E2F4,3.0,1.0,0.3333333333333333
ZBTB18,ZBTB18,16.0,5.0,0.3125
ONECUT2,ONECUT2,10.0,3.0,0.3
SOX2,SOX2,35.0,3.0,0.08571428571428572
PHOX2B,PHOX2B,17.0,1.0,0.058823529411764705
ZNF350,ZNF350,3.0,0.0,0.0
EGR4,EGR4,1.0,0.0,0.0
SP4,SP4,2.0,0.0,0.0
ZNF232,ZNF232,3.0,0.0,0.0
IRF7,IRF7,2.0,0.0,0.0
ZNF263,ZNF263,3.0,0.0,0.0
ZBTB16,ZBTB16,3.0,0.0,0.0
