,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned,Fraction_of_aligned_and_diff_exp_edges,number_downstream_regulons,number_differentially_expressed_regulons
337,3,GATA3,R-337,1.0,1.9149606542683144,0.2554809281693971,0.0005572403173142,5.212292660671707,3.776159774884528,0.7368421052631579,0.56,25,19
333,3,GATA3,R-333,1.0,1.9149606542683144,0.5861130291046805,6.736658361938802e-18,4.385643093815753,3.455620690745993,0.7368421052631579,0.56,25,19
338,3,GATA3,R-338,1.0,1.9149606542683144,0.4987948025861528,1.1938105957815753e-12,4.923826025058862,4.476765717078898,0.7368421052631579,0.56,25,19
325,3,GATA3,R-325,1.0,1.9149606542683144,0.4117590442114954,1.0255981971666396e-08,8.40378914937593,8.633676474636962,0.7368421052631579,0.56,25,19
348,3,GATA3,R-348,1.0,1.9149606542683144,0.291687067143724,7.44287668398082e-05,3.020418076650496,2.2067874869043695,0.7368421052631579,0.56,25,19
334,3,GATA3,R-334,1.0,1.9149606542683144,0.6534366957504237,3.6057585783084664e-23,4.757125993090666,4.0738419307690865,0.7368421052631579,0.56,25,19
339,3,GATA3,R-339,1.0,1.9149606542683144,0.4865859017010859,4.987641536156278e-12,6.523042218142268,5.3081703078534535,0.7368421052631579,0.56,25,19
345,3,GATA3,R-345,1.0,1.9149606542683144,0.4905655639947272,3.149055820073456e-12,2.85446846442229,1.9206669936431575,0.7368421052631579,0.56,25,19
344,3,GATA3,R-344,1.0,1.9149606542683144,0.4946561211892955,1.9507252636099296e-12,2.6778423614019284,1.756583705047237,0.7368421052631579,0.56,25,19
335,3,GATA3,R-335,1.0,1.9149606542683144,0.539794530579792,6.3253490099429025e-15,5.957495368160593,4.613160335849459,0.7368421052631579,0.56,25,19
342,3,GATA3,R-342,1.0,1.9149606542683144,0.5348565689536124,1.2350461950794147e-14,3.1838566897171448,2.2025994984076354,0.7368421052631579,0.56,25,19
329,3,GATA3,R-329,1.0,1.9149606542683144,0.5742075199296968,4.339875732659561e-17,6.9499960673342445,6.220505506328931,0.7368421052631579,0.56,25,19
347,3,GATA3,R-347,1.0,1.9149606542683144,-0.2152428179858975,0.0038088627880811,-2.623508848386022,1.734293009252298,0.7368421052631579,0.56,25,19
343,3,GATA3,R-343,1.0,1.9149606542683144,0.4004540413868139,2.7859681719227313e-08,8.00060188086383,6.745487163574712,0.7368421052631579,0.56,25,19
8512,3,KLF1,R-8512,1.0,1.3944642033507904,0.1077390762529084,0.1511349694961135,2.134794574163746,1.3699131675988985,1.0,0.4,5,2
8508,3,KLF1,R-8508,1.0,1.3944642033507904,0.2802034159889243,0.0001452868924856,4.259834592449052,3.118580501419393,1.0,0.4,5,2
7603,3,ZNF691,R-7603,-1.0,3.3511701979276265,0.486387127822066,5.10273576874795e-12,-2.298219661852811,1.498707478861703,1.0,0.238095238095238,21,5
7592,3,ZNF691,R-7592,-1.0,3.3511701979276265,0.1601259598686,0.0322606398502879,-5.867172522535007,5.036653489035827,1.0,0.238095238095238,21,5
7598,3,ZNF691,R-7598,-1.0,3.3511701979276265,0.4081036971941497,1.4225705548199485e-08,-7.243026021099467,8.13314985251931,1.0,0.238095238095238,21,5
7600,3,ZNF691,R-7600,-1.0,3.3511701979276265,0.3730671855711087,2.700438980251995e-07,-2.815215930099844,1.909372933301371,1.0,0.238095238095238,21,5
7602,3,ZNF691,R-7602,-1.0,3.3511701979276265,0.6253865628857782,8.114906403599576e-21,-5.945298208138674,6.018166084002113,1.0,0.238095238095238,21,5
8890,3,ESRRA,R-8890,1.0,1.8689554410789455,-0.2445358106835728,0.0009703826035393,-3.9276414213752746,3.07574638631411,0.3333333333333333,0.12,25,9
8895,3,ESRRA,R-8895,1.0,1.8689554410789455,-0.1156278116042098,0.123236189373413,-3.288679750210847,2.450377073702282,0.3333333333333333,0.12,25,9
8901,3,ESRRA,R-8901,1.0,1.8689554410789455,0.2176490281003494,0.0034256437635182,3.3184727854102145,2.57473500253166,0.3333333333333333,0.12,25,9
3385,3,EP300,R-3385,1.0,8.05049758400457,-0.3806415165400791,1.4708029785235306e-07,-8.15282201141788,7.872653606659702,0.875,0.5384615384615384,13,8
3386,3,EP300,R-3386,1.0,8.05049758400457,-0.3913941372167471,6.043617662274106e-08,-4.039009539980898,3.1283445031279555,0.875,0.5384615384615384,13,8
3393,3,EP300,R-3393,1.0,8.05049758400457,0.6496432531960747,7.755307381921048e-23,4.814274525477194,3.681516061533173,0.875,0.5384615384615384,13,8
3390,3,EP300,R-3390,1.0,8.05049758400457,-0.2389429414349381,0.0012764064365508,-2.592692294022076,1.692978438370777,0.875,0.5384615384615384,13,8
3383,3,EP300,R-3383,1.0,8.05049758400457,0.6937292072060762,5.0887210091882225e-27,8.295845895383373,8.267186552621428,0.875,0.5384615384615384,13,8
3391,3,EP300,R-3391,1.0,8.05049758400457,0.7524365492854601,6.3479230286193395e-34,3.4114471194628435,2.5818423199591143,0.875,0.5384615384615384,13,8
3389,3,EP300,R-3389,1.0,8.05049758400457,0.3702843512648295,3.362880365423183e-07,4.902298664573649,5.0560901188909275,0.875,0.5384615384615384,13,8
452,3,SMAD1,R-452,1.0,4.8340672518121774,0.1803988031720126,0.0156695599272404,3.0784267218864234,2.2587900846575097,0.9333333333333332,0.56,25,15
460,3,SMAD1,R-460,1.0,4.8340672518121774,-0.1236352603937815,0.0991740861509671,-3.6113142101134184,2.7737569044161705,0.9333333333333332,0.56,25,15
450,3,SMAD1,R-450,1.0,4.8340672518121774,0.3358002217898018,4.319755481695006e-06,5.346079778374232,3.8396972708949457,0.9333333333333332,0.56,25,15
437,3,SMAD1,R-437,1.0,4.8340672518121774,0.7031197037223023,5.206104725861107e-28,8.04010530020172,7.9436480410133,0.9333333333333332,0.56,25,15
443,3,SMAD1,R-443,1.0,4.8340672518121774,0.6116188563178707,9.52689335259916e-20,6.002788644251847,4.729552926253089,0.9333333333333332,0.56,25,15
454,3,SMAD1,R-454,1.0,4.8340672518121774,0.4725378193459293,2.4135087726261383e-11,5.9175458065854345,4.593334332073785,0.9333333333333332,0.56,25,15
449,3,SMAD1,R-449,1.0,4.8340672518121774,0.2534220492540748,0.0006196795051446,3.8434041271124424,2.8858815537924127,0.9333333333333332,0.56,25,15
445,3,SMAD1,R-445,1.0,4.8340672518121774,-0.3856338794384114,9.770946627238937e-08,-4.710335854860692,3.8295967836452314,0.9333333333333332,0.56,25,15
456,3,SMAD1,R-456,1.0,4.8340672518121774,0.8237942794969975,1.696339235900777e-45,4.639715359228401,4.2304073502639685,0.9333333333333332,0.56,25,15
455,3,SMAD1,R-455,1.0,4.8340672518121774,0.4515744983575,2.229942609442852e-10,4.421684769888164,3.6365446929822465,0.9333333333333332,0.56,25,15
439,3,SMAD1,R-439,1.0,4.8340672518121774,0.2205322955244491,0.0030124858711597,4.66045414286859,3.45237681182197,0.9333333333333332,0.56,25,15
451,3,SMAD1,R-451,1.0,4.8340672518121774,0.4120917289142762,9.953132891093042e-09,7.051731772986645,6.473922089522049,0.9333333333333332,0.56,25,15
461,3,SMAD1,R-461,1.0,4.8340672518121774,-0.4763249848304144,1.5889284404801095e-11,-7.510512941542609,7.436601584826889,0.9333333333333332,0.56,25,15
441,3,SMAD1,R-441,1.0,4.8340672518121774,0.3386688427175527,3.533141118377343e-06,2.3064026289095776,1.545225479694246,0.9333333333333332,0.56,25,15
1517,3,ATF7,R-1517,1.0,4.560732557059061,0.638591425522566,6.794844275810793e-22,8.372815788445163,8.845446509819027,0.875,0.5384615384615384,13,8
1521,3,ATF7,R-1521,1.0,4.560732557059061,0.4426485050111941,5.495057599139842e-10,2.247885818330227,1.3795332788281751,0.875,0.5384615384615384,13,8
1526,3,ATF7,R-1526,1.0,4.560732557059061,0.5642416253426233,1.9496799863873416e-16,5.403459573173941,5.34487758529348,0.875,0.5384615384615384,13,8
1523,3,ATF7,R-1523,1.0,4.560732557059061,0.3431862406628586,2.563954998406735e-06,5.003716332034142,3.925364471297781,0.875,0.5384615384615384,13,8
1529,3,ATF7,R-1529,1.0,4.560732557059061,0.4804532044441654,1.0015187457138443e-11,2.3039211709548453,1.519049643419975,0.875,0.5384615384615384,13,8
1522,3,ATF7,R-1522,1.0,4.560732557059061,-0.5348837695896889,1.2305390297575887e-14,-5.172590196437572,4.249062064200654,0.875,0.5384615384615384,13,8
1520,3,ATF7,R-1520,1.0,4.560732557059061,-0.3930638378005147,5.248920154334358e-08,-7.141916464749628,6.444396717306231,0.875,0.5384615384615384,13,8
9014,3,TBR1,R-9014,1.0,2.262218254679545,0.3043620095966396,3.4389383805224844e-05,6.220664986726645,5.127609159962214,1.0,0.8,5,4
9016,3,TBR1,R-9016,1.0,2.262218254679545,0.3898841278252972,6.860835714424586e-08,7.722135749984943,7.222529667146138,1.0,0.8,5,4
9015,3,TBR1,R-9015,1.0,2.262218254679545,0.3015738598746718,4.088160836574747e-05,11.976090942257144,12.055213128673008,1.0,0.8,5,4
9013,3,TBR1,R-9013,1.0,2.262218254679545,0.347415400079788,1.890415402620707e-06,3.7248427369669006,2.7492840860206034,1.0,0.8,5,4
683,3,NR1I2,R-683,1.0,2.2261313493754114,0.3882450790183418,7.867781443937213e-08,7.521499560527729,7.10820862488757,1.0,0.5555555555555556,9,5
689,3,NR1I2,R-689,1.0,2.2261313493754114,0.3875734290295791,8.320140810377796e-08,2.5375796588537978,1.6455674752931009,1.0,0.5555555555555556,9,5
690,3,NR1I2,R-690,1.0,2.2261313493754114,0.4832281046877605,7.318303421124632e-12,5.562760912037207,4.060969587543169,1.0,0.5555555555555556,9,5
688,3,NR1I2,R-688,1.0,2.2261313493754114,0.5821249038898291,1.2680416779646454e-17,5.915609962607616,4.626752154441681,1.0,0.5555555555555556,9,5
686,3,NR1I2,R-686,1.0,2.2261313493754114,0.4156843872819999,7.1858295887720796e-09,7.666487527146411,6.803301836567045,1.0,0.5555555555555556,9,5
1429,3,MSC,R-1429,1.0,2.874576772699215,0.4365869478793965,9.990003649612152e-10,4.029225855073166,2.9103176740794434,0.3333333333333333,0.1875,16,9
1434,3,MSC,R-1434,1.0,2.874576772699215,0.4389408490783169,7.931644630116748e-10,3.9026059006393377,2.9706992781481816,0.3333333333333333,0.1875,16,9
1424,3,MSC,R-1424,1.0,2.874576772699215,0.5092524009792229,3.350477651255535e-13,4.505707872540587,3.294062255966148,0.3333333333333333,0.1875,16,9
3410,3,ESRRG,R-3410,1.0,12.5673427006868,0.4506308455213106,2.456062403154262e-10,3.3249566447171253,2.3754671612292513,1.0,0.72,25,18
3408,3,ESRRG,R-3408,1.0,12.5673427006868,0.320331429288808,1.2341428245256684e-05,3.718011509555409,2.7857382764295675,1.0,0.72,25,18
3413,3,ESRRG,R-3413,1.0,12.5673427006868,0.5084489360366581,3.69976123035563e-13,4.108639945877084,3.123080837605246,1.0,0.72,25,18
3420,3,ESRRG,R-3420,1.0,12.5673427006868,0.2751762810453413,0.0001929685553893,4.342665911730543,3.3226175064591787,1.0,0.72,25,18
3422,3,ESRRG,R-3422,1.0,12.5673427006868,0.3930722072269997,5.2452019007033895e-08,3.66707507488587,2.7322090976050197,1.0,0.72,25,18
3416,3,ESRRG,R-3416,1.0,12.5673427006868,0.2499759378988554,0.0007388016350541,3.3343511559096775,2.2890557682967385,1.0,0.72,25,18
3403,3,ESRRG,R-3403,1.0,12.5673427006868,0.3068022513757244,2.9516446204583824e-05,3.4018669586692925,2.567197271947015,1.0,0.72,25,18
3424,3,ESRRG,R-3424,1.0,12.5673427006868,0.3495449124348754,1.6187489168507862e-06,4.777297024422675,4.0077309345430825,1.0,0.72,25,18
3407,3,ESRRG,R-3407,1.0,12.5673427006868,0.5640512208900884,2.0054730996121212e-16,4.563980382551302,3.252845729823537,1.0,0.72,25,18
