,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned,Fraction_of_aligned_and_diff_exp_edges,number_downstream_regulons,number_differentially_expressed_regulons
337,10,GATA3,337,-1.0,1.6432446792310855,0.25548092816939716,0.0005572403173142839,-9.67900806415527,1.4274221732369086,1.0,0.04,25,1
8508,10,KLF1,8508,-1.0,2.5486138789027613,0.28020341598892434,0.00014528689248561385,-9.25711384908192,1.826170248989655,1.0,0.2,5,1
5281,10,MYBL2,5281,-1.0,1.4815667986450307,0.19718578034440187,0.008151932924710396,-7.327485470902184,1.3118432978135213,1.0,0.25,4,1
3417,10,ESRRG,3417,-1.0,9.904638031604978,0.34441026928629714,2.3485645482808312e-06,-23.22213472205903,5.263390454811835,1.0,0.08,25,2
3405,10,ESRRG,3405,-1.0,9.904638031604978,0.3839934718473416,1.1184727878048578e-07,-13.435258905559852,2.1472929309937356,1.0,0.08,25,2
1141,10,TFAP2B,1141,-1.0,3.5961324660739615,0.47198752955453727,2.5635592010334387e-11,-10.0403760643956,6.886651407619833,0.7142857142857143,0.2,25,7
1139,10,TFAP2B,1139,-1.0,3.5961324660739615,0.27111292448684954,0.00024177001164262752,-6.169296826063104,1.6236584090315145,0.7142857142857143,0.2,25,7
1134,10,TFAP2B,1134,-1.0,3.5961324660739615,0.7125918021467579,4.761234866259216e-29,-8.75357824322948,1.3922415709278966,0.7142857142857143,0.2,25,7
1126,10,TFAP2B,1126,-1.0,3.5961324660739615,0.6570962274810118,1.7044855064707794e-23,-9.936046897866154,1.5440934007476472,0.7142857142857143,0.2,25,7
1138,10,TFAP2B,1138,-1.0,3.5961324660739615,0.5414663235201808,5.030594858554401e-15,-27.397367523921123,58.501935099036295,0.7142857142857143,0.2,25,7
7114,10,IRF8,7114,-1.0,1.4467728274865197,0.38331973301529504,1.1820529958735393e-07,-18.704438864065256,2.4146294965910706,1.0,0.12,25,3
7119,10,IRF8,7119,-1.0,1.4467728274865197,0.6107505283200468,1.108338230869274e-19,-9.17708176431855,4.529424458038036,1.0,0.12,25,3
7109,10,IRF8,7109,-1.0,1.4467728274865197,0.7307074257736489,3.7081274548587045e-31,-7.257028336508901,1.6044318072525292,1.0,0.12,25,3
5134,10,NR2F1,5134,-1.0,1.686076394149039,0.480497143933212,9.96577696013658e-12,-7.3256780100643075,1.3448798600377025,1.0,0.2,25,5
5153,10,NR2F1,5153,-1.0,1.686076394149039,0.4692800200866235,3.443871850201549e-11,-20.665140285654104,22.338879906748787,1.0,0.2,25,5
5154,10,NR2F1,5154,-1.0,1.686076394149039,0.3351599606636955,4.516736716619073e-06,-9.111298226830646,1.4112610989210035,1.0,0.2,25,5
5151,10,NR2F1,5151,-1.0,1.686076394149039,0.6028246814387044,4.318560789876856e-19,-11.28370206474696,11.724417341599528,1.0,0.2,25,5
5139,10,NR2F1,5139,-1.0,1.686076394149039,0.4437825622999184,4.907217467125335e-10,-10.095388878613203,2.2776016625972244,1.0,0.2,25,5
4543,10,ESR1,4543,-1.0,8.331271319381012,0.48592262465214564,5.381846243524289e-12,-7.95805774415862,1.5661800916522415,1.0,0.08695652173913043,23,2
4552,10,ESR1,4552,-1.0,8.331271319381012,0.08782457682087334,0.24238700953692052,-17.952851992610206,31.752649743601573,1.0,0.08695652173913043,23,2
2071,10,SCRT2,2071,-1.0,8.744958602220727,0.41739003218442766,6.147832194815604e-09,-21.6580199496977,7.349983801976575,1.0,0.1111111111111111,9,1
2306,10,ZBTB3,2306,-1.0,1.3626871853537015,0.5790262172284644,2.0605583153824377e-17,-9.23825124440047,1.3657186345134915,1.0,0.04,25,1
4065,10,TCF4,4065,-1.0,9.973336619752327,0.5607243738622811,3.273815667586021e-16,-11.602336683802607,1.7203664578190028,0.6666666666666666,0.08,25,3
4061,10,TCF4,4061,-1.0,9.973336619752327,0.31340782122905025,1.938490579245536e-05,-10.097857764442857,1.8261296349382792,0.6666666666666666,0.08,25,3
1369,10,IKZF1,1369,-1.0,2.3321278085547763,0.38136128721779344,1.387167012863368e-07,-10.689613626869214,1.3482737458994403,0.8333333333333334,0.2,25,6
1351,10,IKZF1,1351,-1.0,2.3321278085547763,0.3067541271734354,2.9605912682614762e-05,-9.231246261478406,1.4544805401307093,0.8333333333333334,0.2,25,6
1356,10,IKZF1,1356,-1.0,2.3321278085547763,0.30757433096897036,2.811547068581555e-05,-20.378301549325865,4.2128387171083785,0.8333333333333334,0.2,25,6
1348,10,IKZF1,1348,-1.0,2.3321278085547763,0.7087376812503924,1.2747233613527648e-28,-17.322231898830612,38.49454182189051,0.8333333333333334,0.2,25,6
1353,10,IKZF1,1353,-1.0,2.3321278085547763,0.33142510409474185,5.846971300093581e-06,-13.861284199292491,1.9889654455056298,0.8333333333333334,0.2,25,6
4469,10,ZNF75A,4469,-1.0,2.4034720494426414,0.597219258050342,1.1047784766567788e-18,-12.819748659798408,1.9508776968470356,0.5,0.045454545454545456,22,2
1763,10,SOX5,1763,-1.0,1.3183152405834022,0.2801602745171887,0.00014564455512426665,-11.025422160444824,1.8978949917861483,1.0,0.08,25,2
1756,10,SOX5,1756,-1.0,1.3183152405834022,0.20809742012428595,0.0051848882914800175,-11.02936912120501,2.4427972703064116,1.0,0.08,25,2
3253,10,PAX5,3253,-1.0,3.4765726024440204,0.20256565305769672,0.006539889085276823,-8.351816596505573,1.5800550344409066,1.0,0.16666666666666666,24,4
3274,10,PAX5,3274,-1.0,3.4765726024440204,0.36344729028868356,5.715197975819347e-07,-20.925998586821148,44.05286884988852,1.0,0.16666666666666666,24,4
3259,10,PAX5,3259,-1.0,3.4765726024440204,0.4069139976867395,1.581084727660402e-08,-15.839529173644056,2.5557762878172268,1.0,0.16666666666666666,24,4
3264,10,PAX5,3264,-1.0,3.4765726024440204,0.356494374688234,9.679271089796524e-07,-19.559768460459747,8.618912849955217,1.0,0.16666666666666666,24,4
7049,10,IKZF3,7049,-1.0,2.4542584595759727,0.45984349172472955,9.444946098761036e-11,-13.117721567499643,3.964817416421038,1.0,0.25,4,1
4179,10,STAT1,4179,-1.0,1.3765875853385179,0.3902035862992489,6.679550877818119e-08,-6.971836839898605,1.316963411681038,0.8,0.16,25,5
4189,10,STAT1,4189,-1.0,1.3765875853385179,0.44203335216454287,5.841849278117057e-10,-7.882323112291324,1.7555100002598893,0.8,0.16,25,5
4196,10,STAT1,4196,-1.0,1.3765875853385179,0.66992028121273,1.1342954139278677e-24,-9.13671886046524,1.4446771157748173,0.8,0.16,25,5
4200,10,STAT1,4200,-1.0,1.3765875853385179,0.42218734961186777,3.945625493794973e-09,-10.977358590550129,2.2297186879663022,0.8,0.16,25,5
7147,10,EOMES,7147,-1.0,2.156891768191804,0.6509074456348976,6.015660425117636e-23,-8.855048939092642,1.704023790308823,1.0,0.20833333333333334,24,5
7135,10,EOMES,7135,-1.0,2.156891768191804,0.3694238329632563,3.59743576321959e-07,-16.138819785247758,2.519903469207068,1.0,0.20833333333333334,24,5
7128,10,EOMES,7128,-1.0,2.156891768191804,0.6760988343877891,2.9276420077804016e-25,-9.509295900950937,1.8019338427224838,1.0,0.20833333333333334,24,5
7146,10,EOMES,7146,-1.0,2.156891768191804,0.5740966739729293,4.4142449971003695e-17,-10.68892268527346,2.0841039723947077,1.0,0.20833333333333334,24,5
7137,10,EOMES,7137,-1.0,2.156891768191804,0.2460060104456643,0.0009019804804288269,-9.231135228272148,1.3788578105979794,1.0,0.20833333333333334,24,5
1310,10,MYBL1,1310,-1.0,3.684294552969058,0.21435775113510347,0.003959262721597922,-5.608813201505165,3.006265664377791,1.0,0.3181818181818182,22,7
1301,10,MYBL1,1301,-1.0,3.684294552969058,0.2819534241416107,0.0001314509993880959,-16.988010495237017,2.7171365693243317,1.0,0.3181818181818182,22,7
1305,10,MYBL1,1305,-1.0,3.684294552969058,0.5613416190655535,2.990509782809979e-16,-8.337922763526024,1.8800470971992846,1.0,0.3181818181818182,22,7
1302,10,MYBL1,1302,-1.0,3.684294552969058,0.4051116272257444,1.8540589663420383e-08,-12.205563556705066,1.7950138044759227,1.0,0.3181818181818182,22,7
1297,10,MYBL1,1297,-1.0,3.684294552969058,0.598039461845877,9.64010793439755e-19,-13.617157091899172,3.3842495235578984,1.0,0.3181818181818182,22,7
1308,10,MYBL1,1308,-1.0,3.684294552969058,0.24690645073546333,0.0008623044044128876,-14.765867829272972,2.504921769309145,1.0,0.3181818181818182,22,7
1304,10,MYBL1,1304,-1.0,3.684294552969058,0.5539828008285732,8.69224238555152e-16,-10.880229859628182,1.6674081302109216,1.0,0.3181818181818182,22,7
5918,10,IRX5,5918,-1.0,2.396905369912107,0.298167095599774,5.0380463313198085e-05,-13.63406030798005,2.1978731653489607,1.0,0.13043478260869565,23,3
5923,10,IRX5,5923,-1.0,2.396905369912107,0.242926788441822,0.001050679224915491,-13.06872160515929,4.728798624993961,1.0,0.13043478260869565,23,3
5925,10,IRX5,5925,-1.0,2.396905369912107,0.3513924633314502,1.4135857847528278e-06,-24.013510470963176,53.50710692540094,1.0,0.13043478260869565,23,3
1114,10,ZBTB14,1114,-1.0,4.314775807464079,0.5038206431904253,6.517399262237905e-13,-23.265253689112257,54.9703388418985,1.0,0.13333333333333333,15,2
1111,10,ZBTB14,1111,-1.0,4.314775807464079,0.6055405603331032,2.7214060760651253e-19,-7.7650430149959355,1.3242979732595328,1.0,0.13333333333333333,15,2
1400,10,IRF7,1400,-1.0,7.351116574227869,0.45396396961898183,1.7438364476118236e-10,-9.182407369611784,1.380602239162436,1.0,0.08,25,2
1407,10,IRF7,1407,-1.0,7.351116574227869,0.48129642416253426,9.107225651446258e-12,-11.491504566310432,4.668196799456802,1.0,0.08,25,2
7003,10,HOXB5,7003,-1.0,6.578419622498309,0.19672546188772413,0.008305011856233946,-15.72440375300601,4.887805066953494,1.0,0.25,24,6
7021,10,HOXB5,7021,-1.0,6.578419622498309,0.3657104596907497,4.801540917799312e-07,-6.139143045345503,1.3648896002256863,1.0,0.25,24,6
7004,10,HOXB5,7004,-1.0,6.578419622498309,0.32442617119661876,9.399248585801018e-06,-19.500417044203243,10.01395019057318,1.0,0.25,24,6
7018,10,HOXB5,7018,-1.0,6.578419622498309,0.19548469441131544,0.008730402470328365,-8.11038085399907,1.3999927396588865,1.0,0.25,24,6
7019,10,HOXB5,7019,-1.0,6.578419622498309,0.43100663277048934,1.7142422785995029e-09,-10.645083547984402,2.18888963142879,1.0,0.25,24,6
7010,10,HOXB5,7010,-1.0,6.578419622498309,0.3769213064674743,1.9860899214710156e-07,-8.544960568434734,2.2274984574275045,1.0,0.25,24,6
