,state
e0594cfe-f7b6-4546-b130-30df6a514b1f,8.0
69aea0db-e335-48a0-a398-4fb0d581182a,1.0
61130dee-e267-49df-8b41-7738a06ef738,5.0
9de1b790-c63c-41c4-9477-ce52a8119c67,1.0
e15ce4ab-5646-49c8-9cd6-938457036bb0,2.0
4e5557ba-10e8-4723-908e-dd04ef6639b2,5.0
be2dca51-1c21-4598-98a7-f2fb9b2dfcb4,5.0
3182dea1-4239-4613-925a-7e6503766ad6,6.0
0aa2bdbb-8720-409a-aa72-1f4aa26e7cd8,1.0
e675aec5-aa9a-4aaa-839c-03e6365822db,5.0
06a4189e-a23b-4ac6-aa74-01955dd7d1e9,3.0
22f4c9d9-663b-4c91-9692-e035a2640bec,7.0
a327de0d-d945-4b42-9b41-a7302cf796ee,6.0
c7fed0f5-c27a-4405-9232-30bf39362cf7,8.0
b4500785-0faa-4d4d-8630-43d194bab004,1.0
153bf804-6dc8-496b-987a-4021a2512211,5.0
5a040a73-cd95-487e-8aef-9639fe4e2916,1.0
eb2d95bc-62f8-4669-9308-d37d7fb79e23,1.0
5ae5d819-a6b1-4761-b7f9-8ffd3c520f31,5.0
a98c7561-1b42-4cd6-ae71-924b91fa4c33,6.0
3e89fb1c-4a7d-43c7-823c-04e3716a7935,8.0
22735dcd-215e-48bc-bf44-32bd66f06e39,5.0
557a0811-a3fe-4cf4-a24d-fbb77e7f9139,2.0
5d1d052e-74ef-45a8-9b1a-7cecd13ea43b,8.0
c1113977-b160-45ee-b061-750f9ea3f33f,5.0
e5d45e53-fcf3-4f01-9b78-6cb1ed0cfe40,1.0
903bf591-b0af-4bee-b625-60b673070344,1.0
8671b51b-dcbe-4429-9f01-af51cad7014f,5.0
06fd3123-2aeb-4911-ac4e-e0e64fd5db52,1.0
87f8a33f-fbc3-469e-862b-84472f796358,1.0
68a3f13d-319d-4603-a27f-b5dd46fe5c5b,3.0
8cbbf32a-8349-44f5-a8b8-4cbb1760a464,1.0
9e85d76a-dd2a-46d5-bb59-0ed302b6258c,8.0
2a1e86e8-4713-465f-acff-c584864c57a1,2.0
f6d5fbba-05c4-4340-86d9-1a54181216a2,3.0
523e2183-aa20-4749-bd7e-69cd620dd6a3,1.0
e553fb92-f181-47b3-9f3d-11db51dfa3a4,5.0
fb3c7c9a-2f2d-4dd5-be47-fafb072c0fab,1.0
b2d4fcf3-fdf9-41c8-880a-6732cf6222af,7.0
441400a9-1427-45e0-a8b4-ef2a6b7465c2,1.0
74868c37-8143-4306-81ca-e45759d146cd,1.0
a192c6c0-1443-4493-afac-1ee710628adb,1.0
c47a53f6-6479-4ad3-9d18-e4a70be5f1dc,1.0
4ded1201-f25c-4f82-babf-965efad7a8e5,6.0
c9794db6-6e8c-4afd-80ee-61d672a4f6e9,8.0
2451d405-39fd-4812-958c-23462b66f1f1,5.0
a1dacb46-ed52-4e38-b2c8-57256bb22b5e,6.0
3366cc3c-2bba-4ca7-848e-4e16aa70ae7a,1.0
e6e3df78-65b9-4f74-8da8-e2a6d4edbea7,7.0
12abe483-66ef-4237-94c4-0199fae23fa8,6.0
5d28a8e0-4ecf-43a4-890a-be968b9a8cb2,1.0
39019903-5b9c-4665-bd5f-7ccb19cb55c5,6.0
1afdc2ea-26a8-44e2-8bcb-f34f7b66f8c8,8.0
86f94264-a6dd-4a97-9191-036f066dd0ef,2.0
78bd2d83-9a7f-42e5-bb38-654aa0761a0a,9.0
a77c2dff-93cf-4cb5-b3c1-81133d7f1a0f,5.0
7ee8f0ce-cdc9-40f9-a1de-7f8140ec6d13,5.0
ec5c7c97-ee8c-405d-a039-d96514b1d414,2.0
b3527517-e339-46ae-8437-65303c309015,10.0
844e4ccd-d30c-416f-a086-8923711a4e25,5.0
0b6d0c4e-5ae3-4707-a9fc-12a108e6ec2a,6.0
cae8097f-a139-4c6e-9e30-35080475ff34,8.0
6cdba203-8952-421d-a6bf-75652d9f3339,5.0
c364e621-f85c-4b7f-842f-210b8d4dfe3a,3.0
