,Regulon_ID,Regulator,Gene
0,0,ETS1,NUP133
1,0,ETS1,CDK13
2,0,ETS1,NSD1
3,0,ETS1,PAXIP1
4,0,ETS1,USP38
5,0,ETS1,KCTD20
6,0,ETS1,ZHX3
7,0,ETS1,ITGB1
8,0,ETS1,TRAPPC10
9,0,ETS1,GNB1
10,0,ETS1,BTBD10
11,0,ETS1,UPF2
12,0,ETS1,USP37
13,0,ETS1,STK4
14,0,ETS1,PTPN4
15,0,ETS1,TULP4
16,0,ETS1,ZNF197
17,0,ETS1,SLC25A46
18,0,ETS1,ZFP3
19,0,ETS1,STXBP5
20,0,ETS1,RPS6KA5
21,0,ETS1,STX12
22,0,ETS1,DBR1
23,0,ETS1,CLCN3
24,0,ETS1,ARHGAP12
25,0,ETS1,TIGD4
26,0,ETS1,HERC4
27,0,ETS1,CNST
28,0,ETS1,NCOA3
29,0,ETS1,FBXL3
30,0,ETS1,CMTM1
31,0,ETS1,ZNF407
32,0,ETS1,UEVLD
33,0,ETS1,TM9SF3
34,0,ETS1,ZNF770
35,0,ETS1,GSK3B
36,0,ETS1,ZBTB34
37,0,ETS1,TRIM44
38,0,ETS1,ETF1
39,0,ETS1,TAF1
40,0,ETS1,SLC12A1
41,0,ETS1,SIN3A
42,0,ETS1,AP5M1
43,0,ETS1,EID1
44,0,ETS1,CERS6
45,0,ETS1,USF3
46,0,ETS1,FGD6
47,0,ETS1,WEE1
48,0,ETS1,SRP72
49,0,ETS1,TMEM39A
50,0,ETS1,GON4L
51,0,ETS1,NDST2
52,0,ETS1,COX10
53,0,ETS1,LRIG2
54,0,ETS1,ARHGAP19
55,0,ETS1,NBR1
56,0,ETS1,TCEANC2
57,0,ETS1,CCP110
58,0,ETS1,TMEM209
59,0,ETS1,ZSCAN20
60,0,ETS1,FBXW11
61,0,ETS1,ZNF484
62,0,ETS1,DEPTOR
63,0,ETS1,CSNK1A1
64,0,ETS1,BMPR2
65,0,ETS1,LMBR1
66,0,ETS1,GATAD2B
67,0,ETS1,U2SURP
68,0,ETS1,ALG10
69,0,ETS1,SPATA21
70,0,ETS1,KIAA0753
71,0,ETS1,WDR82
72,0,ETS1,ITGAV
73,0,ETS1,RNF138
74,0,ETS1,CARD8
75,0,ETS1,JAK1
76,0,ETS1,TWSG1
77,0,ETS1,IPO11
78,0,ETS1,THOC2
79,0,ETS1,PHAX
80,0,ETS1,FMR1
81,0,ETS1,RNF2
82,0,ETS1,PPP1R3B
83,0,ETS1,MLLT10
84,0,ETS1,JMY
85,0,ETS1,BRPF3
86,0,ETS1,NUP98
87,0,ETS1,ACER2
88,0,ETS1,IFT80
89,0,ETS1,POM121C
90,0,ETS1,SP3
91,0,ETS1,TMEM87B
92,0,ETS1,GNAT2
93,0,ETS1,SEC24D
94,0,ETS1,CDC42BPA
95,0,ETS1,ETV3
96,0,ETS1,MBLAC2
97,0,ETS1,MARK1
98,0,ETS1,CMTM6
99,0,ETS1,SSR3
100,0,ETS1,TFB2M
101,0,ETS1,SETDB2
102,0,ETS1,NCKAP1
103,0,ETS1,ZMAT3
104,0,ETS1,ASH1L
105,0,ETS1,USP46
106,0,ETS1,SLC39A9
107,0,ETS1,PPP3R1
108,0,ETS1,ZNF223
109,0,ETS1,MYNN
110,0,ETS1,PPARA
111,0,ETS1,CANX
112,0,ETS1,EFR3A
113,0,ETS1,ZNF136
114,0,ETS1,PKD2
115,0,ETS1,RSPH3
116,0,ETS1,C2CD5
117,0,ETS1,KLHL28
118,0,ETS1,ZDHHC21
119,0,ETS1,ZFP91
120,0,ETS1,RASA2
121,0,ETS1,DLG1
122,0,ETS1,SMC2
123,0,ETS1,EXOC1
124,0,ETS1,FOXJ3
125,0,ETS1,NPAT
126,0,ETS1,C4orf36
127,0,ETS1,RAB8B
128,0,ETS1,NHLRC3
129,0,ETS1,REV1
130,0,ETS1,RBM25
131,0,ETS1,ZNF217
132,0,ETS1,IGF2R
133,0,ETS1,FBXW2
134,0,ETS1,SRCAP
135,0,ETS1,ZFYVE16
136,0,ETS1,KIAA1958
137,0,ETS1,ABI1
138,0,ETS1,CHUK
139,0,ETS1,ASB7
140,0,ETS1,RMI1
141,0,ETS1,BRAF
142,0,ETS1,PHKA1
143,0,ETS1,CREB1
144,0,ETS1,MTMR6
145,0,ETS1,ARHGEF12
146,0,ETS1,ACTR6
147,0,ETS1,TMEM167A
148,0,ETS1,SMC6
149,0,ETS1,SGMS1
150,0,ETS1,UGGT1
151,0,ETS1,RCHY1
152,0,ETS1,TBC1D23
153,0,ETS1,ANKRD28
154,0,ETS1,TRAK1
155,0,ETS1,GXYLT1
156,0,ETS1,WDR35
157,0,ETS1,RNF217
158,0,ETS1,SCAF8
