,Coefficient
TBX4,-0.0002122700148393804
HOXA9,0.08763528224251545
HOXB3,-0.056759314453099126
OTX1,0.00032978509604849487
TBX19,-0.009565353308860521
ARID5A,-0.05843263632088283
ZEB1,-0.0004925327351896254
GLIS1,-0.00022480442974785855
MEOX2,-0.0062559010577303235
BACH1,0.009335457337390395
NKX2-3,-0.0033810891150515667
FOS,0.023206089842647826
NR1H3,-0.013715669959719241
ATF3,0.0
RUNX1,-0.0006362533603252252
ZNF217,0.013492801474690588
CUX2,0.013519274111606775
HOXB4,0.0
JUN,0.0
BCL6,-0.040963492504027144
BACH2,0.0
GLI3,0.0
ATF1,0.09922907951145638
RXRG,0.0005074870001493698
ID4,0.0
FOXF1,0.0
