,Coefficient
OTX1,0.000718566943856304
IRF4,0.0054861948465203415
GMEB1,-0.015350692288129212
PGR,0.0
STAT4,0.0
EHF,0.0
JUN,0.0
NR2E1,0.0
AHR,0.0
TBX5,0.0
IRF8,0.0
ATF1,0.0
KLF12,0.0
ISL2,0.0006989197324367579
HOXB6,0.0
TBX18,0.1959495468205134
HLX,0.0
HOXC4,-0.00014586978790239534
TBX4,0.012546300733661066
TP63,0.0
GLIS2,0.0
MEIS1,0.0
SOX4,-0.0010866181412662965
BACH1,0.0
FOXO3,-0.0034606335608042783
TP73,-0.005884301325319134
FOS,0.0
GATA3,0.0
EMX2,0.0013208554631387586
SOX2,-0.0013727335901306187
ZNF652,0.000349462244566933
NR2F1,-0.051399432472317465
PITX2,0.41792081945956355
SPI1,0.0
EBF1,0.0
NR3C1,0.0
ETV7,0.0
HOXC6,0.0
HOXB2,0.0
VDR,0.0
NFATC4,0.0
