,Coefficient
OTX1,-0.0130079458809857
ARID5A,0.0
CREB5,0.0
GLIS1,0.0
CEBPB,0.0
PRRX2,0.0
OSR1,0.004425834159101626
JUN,0.0
BCL6,0.0
GATA6,0.0
IRF8,0.0
FOXP1,0.0
KLF12,-0.050124480414489296
HOXA6,0.0
MECOM,0.0
ISL2,0.0
RUNX2,0.0
FOXJ3,0.0
HOXD12,0.0
FOS,-2.9999470369626646e-05
EMX2,0.0
RUNX1,0.0
ONECUT2,0.20137942257787117
POU2F3,0.0
ZNF652,-0.07680957025329702
NR2F1,-0.00045880511152717753
SIX4,0.007217651870449022
OSR2,0.0
LHX8,0.0
BACH2,-0.0018327964038266334
HOXC6,0.018212541046029245
MYC,0.0
HOXA7,-0.0076008368342432965
HOXB3,-0.0030651492414431663
XBP1,-0.0471382633561567
THRA,0.006974980431282026
IRF4,-0.0001074247830279663
GMEB1,0.03413232811072598
HOXD11,0.0
STAT4,0.0
ZBTB16,0.0
HOXB4,0.0
EHF,0.0
HOXD9,0.0
NR2E1,0.11079068564526069
GLI3,-0.0009723247221496964
AHR,-0.004348980649919033
TBX5,-0.0019933597418392048
RXRG,-0.0008355640450514998
FOXI1,0.0
HOXC4,0.07227473071393824
TP63,-0.0006167148356610994
GLIS2,0.0
SOX4,0.0
ZEB1,0.0
MEOX2,0.0
KLF15,0.0
NKX2-3,0.041072326139568766
FOXC2,0.0
SOX2,0.0
ZNF217,0.08508180299713003
HOXC10,0.0
SREBF2,0.0
MGA,0.0
EBF1,-0.004075818902685023
RARA,0.0
HOXB2,-0.0001473429590030533
TCF21,-0.010696242662074895
ID4,0.007567655881862883
NFATC4,0.0
