,out_degree_aligned
RARA,16
CEBPB,13
RUNX1,12
TBX5,10
HOXD11,9
MEIS1,9
ZEB1,9
GLIS1,9
IRF4,8
MEOX2,8
TCF21,8
MSC,8
GLI3,8
HOXD9,8
FOXC2,8
FOSL1,8
NFATC4,7
EBF1,7
FOXF1,7
TP63,7
BCL6,7
ARID5A,7
VDR,6
GLI1,6
ISL2,6
BACH2,6
OSR1,6
HOXB2,6
HOXB4,5
KLF12,5
MECOM,5
SMAD3,5
IRF8,5
TBX4,5
LHX8,5
GATA3,5
RUNX3,5
GLI2,5
ZNF423,5
HOXA7,4
IRF1,4
NFATC2,4
NR4A1,4
AHR,4
GLIS2,4
NR3C1,4
SOX2,4
PGR,4
STAT4,4
POU2AF1,4
HOXB3,4
HOXD10,4
VENTX,4
FGF9,4
OSR2,4
HLX,4
SPI1,4
ATF3,3
NR1H3,3
FOXF2,3
THRA,3
TCF7L1,3
DMRT2,3
RUNX2,3
NR2F1,2
TBX18,2
HOXD13,2
TAL1,2
CTF1,2
ETV7,2
MYCN,2
HOXD12,2
FOS,2
SPIB,2
JDP2,2
TBX2,2
PITX1,2
RXRG,2
JUN,2
ID4,2
ESR1,2
ZBTB7C,2
BCL6B,2
ISL1,2
SRF,2
CREM,2
DDIT3,1
ELF3,1
BARX2,1
TNFRSF4,1
ELF4,1
CREB5,1
FOXQ1,1
TBX19,1
GLIS3,1
TBX21,1
CPEB1,1
PITX2,1
CDX1,1
FOXP3,1
POU1F1,1
CEBPE,1
EMX2,1
HOXB6,1
RFX2,1
PRRX2,1
GATA6,1
HIC1,1
POU2F3,1
TFCP2L1,1
AIRE,0
TP73,0
STAT5A,0
PAX3,0
TNFRSF25,0
HLF,0
TBX22,0
HOXC10,0
SOX15,0
POU6F1,0
FOXI1,0
SOX17,0
