,Alt_ID,in_degree,out_degree,out/in
GLI1,GLI1,1.0,6.0,6.0
TBX4,TBX4,1.0,6.0,6.0
TBX5,TBX5,2.0,10.0,5.0
EBF1,EBF1,2.0,9.0,4.5
TP63,TP63,2.0,7.0,3.5
ISL2,ISL2,2.0,6.0,3.0
HOXD9,HOXD9,3.0,8.0,2.6666666666666665
MSC,MSC,5.0,10.0,2.0
CEBPB,CEBPB,7.0,13.0,1.8571428571428572
HOXB4,HOXB4,3.0,5.0,1.6666666666666667
STAT4,STAT4,3.0,4.0,1.3333333333333333
IRF8,IRF8,4.0,5.0,1.25
OSR2,OSR2,6.0,5.0,0.8333333333333334
GATA6,GATA6,4.0,3.0,0.75
SRF,SRF,6.0,3.0,0.5
ESR1,ESR1,5.0,2.0,0.4
POU1F1,POU1F1,3.0,1.0,0.3333333333333333
TBX19,TBX19,3.0,1.0,0.3333333333333333
