,Source,Edge,Target
0,TBX5,0.6974816558651957,TBX4
1,GLIS1,0.0843828211160257,NR1H3
2,RARA,0.0689300345681907,NR1H3
3,TBX2,0.116437039676189,NR1H3
4,EP300,-0.2255059579605164,NR1H3
5,POU2AF1,0.1735721073506127,NR1H3
6,RUNX1,0.1528275788209334,NFATC2
7,IRF1,0.232471154153206,NFATC2
8,RFX2,0.15964533382732,NFATC2
9,POU2AF1,0.1250977491532432,NFATC2
10,EBF1,0.2645339285966634,NFATC2
11,AHR,0.267954585931387,RUNX2
12,MECOM,0.2481205467790855,RUNX2
13,RUNX1,0.1868099398415524,RUNX2
14,BCL6B,0.197386357654655,GLIS1
15,IRF4,0.4049708121262091,FOXP3
16,MSC,0.0961824606260889,FOXP3
17,ZNF217,-0.1052856875416731,FOXP3
18,ETV7,0.1499707280584646,FOXP3
19,CREB5,0.1211945085869594,ARID5A
20,CEBPB,0.4440756166480749,ARID5A
21,BCL6,0.0928586944023671,ARID5A
22,HLX,0.0971431329512962,ARID5A
23,RUNX3,0.131718070022222,ARID5A
24,IRF4,0.5733055843468441,POU2AF1
25,STAT4,0.2031009081079268,POU2AF1
26,CEBPB,-0.158463713311544,HLTF
27,ZKSCAN3,0.2152187947860775,HLTF
28,ZNF217,0.3983772020409457,HLTF
29,NFATC2,0.138229296468118,ELF4
30,MECOM,0.3281695778692656,ELF4
31,SMAD3,0.2284229877315589,ELF4
32,RUNX3,0.187546560455657,ELF4
33,FOXO3,-0.1486542308809764,NFATC4
34,HOXD9,0.1640295748577771,NFATC4
35,FOXF1,0.1924301541497155,NFATC4
36,GLIS2,0.1780548446768008,NFATC4
37,MEIS1,0.271181759409315,NFATC4
38,ARID5A,0.2764178626696174,RARA
39,ELF3,0.1707164296463349,RARA
40,GLIS2,0.4574707114267884,RARA
41,KLF12,0.1321517673714698,RUNX3
42,MECOM,0.1379438962687214,RUNX3
43,IRF1,0.2319175637330051,RUNX3
44,SPI1,0.4122995218320041,RUNX3
45,ATF3,0.3254076807032718,ELF3
46,ZNF652,-0.1522011563322717,ELF3
47,VDR,0.1592341248838218,ELF3
48,XBP1,0.1417615702544835,ELF3
49,EBF1,-0.1318854030368335,ELF3
50,RARA,0.2255348868428484,ELF3
51,FOXO3,-0.0972728529309019,TBX2
52,OSR2,0.2161749004006468,TBX2
53,MGA,-0.169128722208224,TBX2
54,EBF1,0.2574761945187525,TBX2
55,VENTX,0.1654482089542671,TBX2
56,MEIS1,0.2267488976881372,TBX5
57,FOXF2,0.5389835823156427,TBX5
58,NFATC4,0.1783597250788355,ID4
59,SRF,0.1515592698813234,ID4
60,OSR1,0.2920538961287685,ID4
61,CREM,0.3650877522298414,FOSL1
62,BCL6,0.3146752922926054,FOSL1
63,NFATC4,0.0746186172607477,FOSL1
64,MEIS1,0.3172122557851514,OSR1
