,Alt_ID,in_degree,out_degree,out/in
GLIS1,GLIS1,1.0,9.0,9.0
TBX4,TBX4,1.0,6.0,6.0
GLI1,GLI1,1.0,6.0,6.0
RARA,RARA,3.0,16.0,5.333333333333333
HOXA6,HOXA6,1.0,5.0,5.0
TBX5,TBX5,2.0,10.0,5.0
ZBTB7B,ZBTB7B,1.0,5.0,5.0
ZNF217,ZNF217,2.0,10.0,5.0
EBF1,EBF1,2.0,9.0,4.5
HOXC4,HOXC4,1.0,4.0,4.0
MGA,MGA,2.0,8.0,4.0
TP63,TP63,2.0,7.0,3.5
KLF12,KLF12,2.0,7.0,3.5
FOSL1,FOSL1,3.0,10.0,3.3333333333333335
NR4A1,NR4A1,2.0,6.0,3.0
HOXC6,HOXC6,1.0,3.0,3.0
ISL2,ISL2,2.0,6.0,3.0
EHF,EHF,2.0,6.0,3.0
HOXD9,HOXD9,3.0,8.0,2.6666666666666665
GATA3,GATA3,2.0,5.0,2.5
POU2AF1,POU2AF1,2.0,5.0,2.5
FGF9,FGF9,2.0,5.0,2.5
GLI2,GLI2,2.0,5.0,2.5
ZEB1,ZEB1,4.0,10.0,2.5
EP300,EP300,2.0,5.0,2.5
SIX4,SIX4,2.0,5.0,2.5
RUNX1,RUNX1,6.0,14.0,2.3333333333333335
ATF1,ATF1,3.0,7.0,2.3333333333333335
OSR1,OSR1,3.0,7.0,2.3333333333333335
MEIS1,MEIS1,4.0,9.0,2.25
SPIB,SPIB,1.0,2.0,2.0
HOXA9,HOXA9,2.0,4.0,2.0
CREM,CREM,1.0,2.0,2.0
VENTX,VENTX,2.0,4.0,2.0
HOXD10,HOXD10,2.0,4.0,2.0
HOXB3,HOXB3,2.0,4.0,2.0
ISL1,ISL1,1.0,2.0,2.0
INSM1,INSM1,1.0,2.0,2.0
MSC,MSC,5.0,10.0,2.0
SREBF2,SREBF2,3.0,6.0,2.0
BHLHA15,BHLHA15,1.0,2.0,2.0
ZBTB7C,ZBTB7C,1.0,2.0,2.0
FOXC2,FOXC2,4.0,8.0,2.0
GMEB1,GMEB1,2.0,4.0,2.0
IRF4,IRF4,4.0,8.0,2.0
TCF21,TCF21,4.0,8.0,2.0
CEBPB,CEBPB,7.0,13.0,1.8571428571428572
IKZF2,IKZF2,5.0,9.0,1.8
HOXD11,HOXD11,5.0,9.0,1.8
ZNF423,ZNF423,3.0,5.0,1.6666666666666667
HOXB4,HOXB4,3.0,5.0,1.6666666666666667
BCL6,BCL6,5.0,8.0,1.6
MEOX2,MEOX2,5.0,8.0,1.6
SOX2,SOX2,5.0,8.0,1.6
FOXP1,FOXP1,5.0,8.0,1.6
FOXO3,FOXO3,7.0,11.0,1.5714285714285714
NR3C1,NR3C1,4.0,6.0,1.5
NR2F1,NR2F1,2.0,3.0,1.5
CDX1,CDX1,2.0,3.0,1.5
ZNF148,ZNF148,2.0,3.0,1.5
ATF3,ATF3,2.0,3.0,1.5
HOXB2,HOXB2,4.0,6.0,1.5
VDR,VDR,4.0,6.0,1.5
FOXF2,FOXF2,2.0,3.0,1.5
BACH2,BACH2,4.0,6.0,1.5
ZKSCAN3,ZKSCAN3,2.0,3.0,1.5
RUNX3,RUNX3,4.0,6.0,1.5
GLI3,GLI3,7.0,10.0,1.4285714285714286
FOXJ3,FOXJ3,5.0,7.0,1.4
NFATC4,NFATC4,5.0,7.0,1.4
FOXF1,FOXF1,5.0,7.0,1.4
ARID5A,ARID5A,5.0,7.0,1.4
OTX1,OTX1,6.0,8.0,1.3333333333333333
HOXA7,HOXA7,3.0,4.0,1.3333333333333333
ATF7,ATF7,3.0,4.0,1.3333333333333333
PGR,PGR,3.0,4.0,1.3333333333333333
GLIS2,GLIS2,3.0,4.0,1.3333333333333333
STAT4,STAT4,3.0,4.0,1.3333333333333333
BACH1,BACH1,4.0,5.0,1.25
ZNF652,ZNF652,4.0,5.0,1.25
IRF8,IRF8,4.0,5.0,1.25
HLX,HLX,4.0,5.0,1.25
AHR,AHR,5.0,6.0,1.2
SMAD3,SMAD3,5.0,6.0,1.2
LMX1B,LMX1B,1.0,1.0,1.0
IRF1,IRF1,4.0,4.0,1.0
CEBPE,CEBPE,1.0,1.0,1.0
TP73,TP73,1.0,1.0,1.0
RUNX2,RUNX2,3.0,3.0,1.0
DLX6,DLX6,2.0,2.0,1.0
TCF7L1,TCF7L1,3.0,3.0,1.0
BCL6B,BCL6B,2.0,2.0,1.0
TAL1,TAL1,2.0,2.0,1.0
DDIT3,DDIT3,2.0,2.0,1.0
ID4,ID4,3.0,3.0,1.0
MECOM,MECOM,7.0,6.0,0.8571428571428571
OSR2,OSR2,6.0,5.0,0.8333333333333334
XBP1,XBP1,6.0,5.0,0.8333333333333334
NFATC2,NFATC2,5.0,4.0,0.8
THRA,THRA,5.0,4.0,0.8
ONECUT2,ONECUT2,4.0,3.0,0.75
YY1,YY1,4.0,3.0,0.75
GATA6,GATA6,4.0,3.0,0.75
FOS,FOS,4.0,3.0,0.75
CTF1,CTF1,3.0,2.0,0.6666666666666666
TBX18,TBX18,3.0,2.0,0.6666666666666666
HOXD13,HOXD13,3.0,2.0,0.6666666666666666
JDP2,JDP2,3.0,2.0,0.6666666666666666
CUX2,CUX2,3.0,2.0,0.6666666666666666
MYCN,MYCN,3.0,2.0,0.6666666666666666
JUN,JUN,3.0,2.0,0.6666666666666666
TBX2,TBX2,5.0,3.0,0.6
KLF15,KLF15,5.0,3.0,0.6
NR1H3,NR1H3,5.0,3.0,0.6
SPI1,SPI1,7.0,4.0,0.5714285714285714
SRF,SRF,6.0,3.0,0.5
SOX4,SOX4,4.0,2.0,0.5
HOXD12,HOXD12,4.0,2.0,0.5
ELF4,ELF4,4.0,2.0,0.5
MYC,MYC,10.0,5.0,0.5
PITX2,PITX2,2.0,1.0,0.5
ETV7,ETV7,4.0,2.0,0.5
CREB5,CREB5,2.0,1.0,0.5
RFX2,RFX2,2.0,1.0,0.5
FOXQ1,FOXQ1,2.0,1.0,0.5
ESR1,ESR1,5.0,2.0,0.4
MTF1,MTF1,10.0,4.0,0.4
HOXB6,HOXB6,5.0,2.0,0.4
ZBTB16,ZBTB16,5.0,2.0,0.4
ARX,ARX,3.0,1.0,0.3333333333333333
POU2F3,POU2F3,3.0,1.0,0.3333333333333333
EMX2,EMX2,3.0,1.0,0.3333333333333333
PITX1,PITX1,6.0,2.0,0.3333333333333333
TBX19,TBX19,3.0,1.0,0.3333333333333333
GLIS3,GLIS3,3.0,1.0,0.3333333333333333
LHX8,LHX8,15.0,5.0,0.3333333333333333
HLTF,HLTF,3.0,1.0,0.3333333333333333
POU1F1,POU1F1,3.0,1.0,0.3333333333333333
ELF3,ELF3,6.0,2.0,0.3333333333333333
DMRT2,DMRT2,11.0,3.0,0.2727272727272727
RFX3,RFX3,4.0,1.0,0.25
TNFRSF4,TNFRSF4,4.0,1.0,0.25
TBX21,TBX21,4.0,1.0,0.25
NR2E1,NR2E1,4.0,1.0,0.25
FOXP3,FOXP3,4.0,1.0,0.25
HIC1,HIC1,4.0,1.0,0.25
CPEB1,CPEB1,4.0,1.0,0.25
RXRG,RXRG,14.0,3.0,0.21428571428571427
TFCP2L1,TFCP2L1,5.0,1.0,0.2
PRRX2,PRRX2,5.0,1.0,0.2
BARX2,BARX2,5.0,1.0,0.2
ALX3,ALX3,5.0,1.0,0.2
NKX2-3,NKX2-3,22.0,2.0,0.09090909090909091
NKX6-1,NKX6-1,29.0,1.0,0.034482758620689655
HLF,HLF,4.0,0.0,0.0
NKX3-1,NKX3-1,4.0,0.0,0.0
TNFRSF25,TNFRSF25,3.0,0.0,0.0
SOX15,SOX15,3.0,0.0,0.0
STAT5A,STAT5A,3.0,0.0,0.0
TBX22,TBX22,2.0,0.0,0.0
HOXA10,HOXA10,1.0,0.0,0.0
ZBTB33,ZBTB33,5.0,0.0,0.0
POU6F1,POU6F1,4.0,0.0,0.0
MLX,MLX,1.0,0.0,0.0
AIRE,AIRE,4.0,0.0,0.0
SOX17,SOX17,5.0,0.0,0.0
DMRTA1,DMRTA1,19.0,0.0,0.0
FOXI1,FOXI1,3.0,0.0,0.0
PAX3,PAX3,1.0,0.0,0.0
HOXC10,HOXC10,4.0,0.0,0.0
