,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned,Fraction_of_aligned_and_diff_exp_edges,number_downstream_regulons,number_differentially_expressed_regulons
2977,3,NR2F2,R-2977,1.0,3.7043317687042943,0.4076455471634121,1.2212333810900682e-21,3.988302303437471,3.4047160944766848,0.7142857142857143,0.5,20,14
2980,3,NR2F2,R-2980,1.0,3.7043317687042943,0.5189800657084344,3.61282541882299e-36,5.574780875928498,5.227167618015059,0.7142857142857143,0.5,20,14
2974,3,NR2F2,R-2974,1.0,3.7043317687042943,0.3540048414779366,2.3510757561670817e-16,8.527230439679075,8.278167296748546,0.7142857142857143,0.5,20,14
2987,3,NR2F2,R-2987,1.0,3.7043317687042943,0.1912284085551412,1.5138281819905882e-05,2.2523854468962514,1.4955540629704105,0.7142857142857143,0.5,20,14
2978,3,NR2F2,R-2978,1.0,3.7043317687042943,0.3609000341027892,5.5697503046616e-17,3.35090848419405,2.673913197646847,0.7142857142857143,0.5,20,14
2985,3,NR2F2,R-2985,1.0,3.7043317687042943,0.27090799142026,6.057900643229754e-10,2.2269980444962685,1.4844772006159708,0.7142857142857143,0.5,20,14
2979,3,NR2F2,R-2979,1.0,3.7043317687042943,0.4501922241913633,1.4314933115141078e-26,6.267422546214249,5.9371276810184614,0.7142857142857143,0.5,20,14
2986,3,NR2F2,R-2986,1.0,3.7043317687042943,0.3701258635180289,7.672083994270825e-18,2.8625033221993905,2.1928687611856796,0.7142857142857143,0.5,20,14
2983,3,NR2F2,R-2983,1.0,3.7043317687042943,0.4086947204037174,9.407126812862568e-22,3.628774675970684,3.0186797751199825,0.7142857142857143,0.5,20,14
2970,3,NR2F2,R-2970,1.0,3.7043317687042943,0.614099080715525,1.1334504595247606e-53,5.82822763967182,5.997762986292878,0.7142857142857143,0.5,20,14
4308,3,RARB,R-4308,1.0,6.340639742454172,0.1471792520866993,0.0009088257481952,5.128401755324045,4.757320352943987,0.6875,0.44,25,16
4307,3,RARB,R-4307,1.0,6.340639742454172,0.1887469181700779,1.9592634420255897e-05,5.841943286040577,5.460240591999257,0.6875,0.44,25,16
4296,3,RARB,R-4296,1.0,6.340639742454172,0.7387606151919541,3.070810385545197e-88,9.641934581333562,9.772333719362733,0.6875,0.44,25,16
4305,3,RARB,R-4305,1.0,6.340639742454172,-0.405254438487327,2.2060418539040304e-21,-4.802651531792688,4.3337940292611234,0.6875,0.44,25,16
4287,3,RARB,R-4287,1.0,6.340639742454172,0.8015269849966364,2.051718751450978e-114,6.146043448887182,6.342667197094908,0.6875,0.44,25,16
4290,3,RARB,R-4290,1.0,6.340639742454172,0.6069485830570636,3.8004928532992e-52,4.2508075228751,3.5677901328487867,0.6875,0.44,25,16
4291,3,RARB,R-4291,1.0,6.340639742454172,0.504475292249722,5.8463593138454445e-34,3.783984543779274,3.1937150627507065,0.6875,0.44,25,16
4299,3,RARB,R-4299,1.0,6.340639742454172,0.3194688723530738,1.9094359904130719e-13,5.256342978165864,5.101288242483889,0.6875,0.44,25,16
4293,3,RARB,R-4293,1.0,6.340639742454172,-0.3831671987074485,4.166664339791398e-19,-2.0862800742057455,1.3448179640239988,0.6875,0.44,25,16
4309,3,RARB,R-4309,1.0,6.340639742454172,0.4739029803601479,1.2311675409675904e-29,5.695389379262627,5.410829903599616,0.6875,0.44,25,16
4294,3,RARB,R-4294,1.0,6.340639742454172,-0.452704928877981,6.953210689467032e-27,-2.273081537036402,1.538777619414228,0.6875,0.44,25,16
6248,3,MAFK,R-6248,-1.0,1.3619747157458972,0.4191656743314084,6.608155504810175e-23,-2.5606871516205114,1.7873080593911248,0.7272727272727273,0.32,25,11
6262,3,MAFK,R-6262,-1.0,1.3619747157458972,-0.2704285956545965,6.510891403329718e-10,6.176775818359206,6.454354933989121,0.7272727272727273,0.32,25,11
6253,3,MAFK,R-6253,-1.0,1.3619747157458972,-0.3215931220451238,1.2952622033819174e-13,2.2077848047268964,1.4817648392462457,0.7272727272727273,0.32,25,11
6267,3,MAFK,R-6267,-1.0,1.3619747157458972,-0.2049792867485506,3.411881492768668e-06,3.90706190073651,3.440205792142466,0.7272727272727273,0.32,25,11
6264,3,MAFK,R-6264,-1.0,1.3619747157458972,-0.3120385641048577,7.244932588071313e-13,3.434247902229419,2.7784978782816503,0.7272727272727273,0.32,25,11
6254,3,MAFK,R-6254,-1.0,1.3619747157458972,0.1271727483307337,0.0042044531945256,-3.034913377451406,2.3206163153174164,0.7272727272727273,0.32,25,11
6259,3,MAFK,R-6259,-1.0,1.3619747157458972,-0.2667908716337472,1.1201782624869231e-09,3.741113924579634,3.31240386490616,0.7272727272727273,0.32,25,11
6258,3,MAFK,R-6258,-1.0,1.3619747157458972,0.1378508347729183,0.0019029735223816,-3.405781218036151,2.694332665064393,0.7272727272727273,0.32,25,11
1801,3,SOX13,R-1801,1.0,5.01792702131849,0.3187531796657927,2.1746606404592433e-13,5.504105274594467,5.182312523267802,0.7142857142857143,0.4,25,14
1789,3,SOX13,R-1789,1.0,5.01792702131849,0.2988268081466532,7.0852329005484686e-12,4.418725547025912,3.764805919527416,0.7142857142857143,0.4,25,14
1786,3,SOX13,R-1786,1.0,5.01792702131849,0.3973042024699365,1.5230337723832512e-20,5.768981811638671,5.962877160770093,0.7142857142857143,0.4,25,14
1804,3,SOX13,R-1804,1.0,5.01792702131849,0.2074321717886074,2.5871902067763335e-06,2.8677328543877003,2.11678296695251,0.7142857142857143,0.4,25,14
1797,3,SOX13,R-1797,1.0,5.01792702131849,0.4018915866741954,5.02692487434005e-21,5.449944018996743,5.10107414915509,0.7142857142857143,0.4,25,14
