,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned,Fraction_of_aligned_and_diff_exp_edges,number_downstream_regulons,number_differentially_expressed_regulons
7385,1,PAX1,7385,1.0,2.057140085206039,0.6614418629496078,7.658235696389006e-65,3.17214677311876,2.751382966869793,0.25,0.2,10,8
7392,1,PAX1,7392,1.0,2.057140085206039,0.15456172656508216,0.0004908441499515724,4.9163240834630715,5.6216732536413785,0.25,0.2,10,8
2424,1,PHOX2A,2424,-1.0,11.992089719784179,0.40945784019395737,7.776160395134726e-22,-8.288555889540454,12.640478041653012,0.8947368421052632,0.7391304347826086,23,19
2423,1,PHOX2A,2423,-1.0,11.992089719784179,-0.28871057913244746,3.7603084182574796e-11,10.353565262355918,18.576638447835983,0.8947368421052632,0.7391304347826086,23,19
2411,1,PHOX2A,2411,-1.0,11.992089719784179,-0.40302489876316827,3.8125243293695835e-21,10.480784121002642,18.65210560013028,0.8947368421052632,0.7391304347826086,23,19
2412,1,PHOX2A,2412,-1.0,11.992089719784179,-0.36454549181626245,2.564347482338006e-17,5.846428709760217,7.4761779614776,0.8947368421052632,0.7391304347826086,23,19
2421,1,PHOX2A,2421,-1.0,11.992089719784179,-0.4328984761830221,1.757012102603234e-24,7.1608577272960705,10.466969328245964,0.8947368421052632,0.7391304347826086,23,19
2404,1,PHOX2A,2404,-1.0,11.992089719784179,0.38247610475333255,4.878330777367675e-19,-10.128672484824145,16.616254210345392,0.8947368421052632,0.7391304347826086,23,19
2413,1,PHOX2A,2413,-1.0,11.992089719784179,-0.5659062490099943,4.2878126253242146e-44,5.16246693290341,6.161763150456001,0.8947368421052632,0.7391304347826086,23,19
2406,1,PHOX2A,2406,-1.0,11.992089719784179,-0.363960619664451,2.906116149131617e-17,14.457018634997306,31.249564084293585,0.8947368421052632,0.7391304347826086,23,19
2419,1,PHOX2A,2419,-1.0,11.992089719784179,-0.3038396386222474,3.02331629714407e-12,9.857194699449227,17.152352387586014,0.8947368421052632,0.7391304347826086,23,19
2402,1,PHOX2A,2402,-1.0,11.992089719784179,-0.550673297143379,2.2047034963312642e-41,13.070292252565938,30.070273938698975,0.8947368421052632,0.7391304347826086,23,19
2409,1,PHOX2A,2409,-1.0,11.992089719784179,-0.38226058630707793,5.123825747971515e-19,14.084847887396819,30.988461277269185,0.8947368421052632,0.7391304347826086,23,19
2403,1,PHOX2A,2403,-1.0,11.992089719784179,-0.4140187621246597,2.466532189793307e-22,4.771313467527691,5.452127698925236,0.8947368421052632,0.7391304347826086,23,19
2414,1,PHOX2A,2414,-1.0,11.992089719784179,-0.5159110942150117,1.0817807110894315e-35,3.3520520725655425,2.998469915168877,0.8947368421052632,0.7391304347826086,23,19
2416,1,PHOX2A,2416,-1.0,11.992089719784179,-0.4054450786693577,2.10481641260281e-21,7.25561300456353,10.957139812683172,0.8947368421052632,0.7391304347826086,23,19
2410,1,PHOX2A,2410,-1.0,11.992089719784179,-0.2390790010678087,5.3766830927198666e-08,12.826285372739429,25.481502703126104,0.8947368421052632,0.7391304347826086,23,19
2417,1,PHOX2A,2417,-1.0,11.992089719784179,-0.3316504631829643,1.9775323964814495e-14,14.147496747554646,32.01688796789947,0.8947368421052632,0.7391304347826086,23,19
2418,1,PHOX2A,2418,-1.0,11.992089719784179,-0.2710653674063059,5.915991643231917e-10,9.067471498775761,15.366194737485745,0.8947368421052632,0.7391304347826086,23,19
3402,1,SIRT6,3402,-1.0,12.139831688846954,-0.23142581338879234,1.4458519515803834e-07,12.152146825085444,23.598449915497095,0.9285714285714286,0.8125,16,14
3400,1,SIRT6,3400,-1.0,12.139831688846954,-0.15957431146841394,0.0003179779730050404,9.126366107453224,15.328460701724715,0.9285714285714286,0.8125,16,14
3394,1,SIRT6,3394,-1.0,12.139831688846954,-0.2834860504684009,8.678474355733474e-11,16.5021455024925,38.52678594429673,0.9285714285714286,0.8125,16,14
3407,1,SIRT6,3407,-1.0,12.139831688846954,-0.2573693704774205,4.39837956750236e-09,14.31965592233154,31.50466172157173,0.9285714285714286,0.8125,16,14
3395,1,SIRT6,3395,-1.0,12.139831688846954,0.8054348291972055,2.3694346713222083e-116,-7.810235836435816,11.211164041318462,0.9285714285714286,0.8125,16,14
3393,1,SIRT6,3393,-1.0,12.139831688846954,-0.7024338769280655,2.6538215497599273e-76,13.147338934869644,30.507556759164146,0.9285714285714286,0.8125,16,14
3406,1,SIRT6,3406,-1.0,12.139831688846954,-0.4767830820349116,5.027627103835043e-30,5.554035340910313,7.0692305135829585,0.9285714285714286,0.8125,16,14
3403,1,SIRT6,3403,-1.0,12.139831688846954,-0.5624587924630974,1.811903762567677e-43,4.572468183705079,5.01661260963171,0.9285714285714286,0.8125,16,14
3396,1,SIRT6,3396,-1.0,12.139831688846954,-0.3874570686882353,1.5525037911156852e-19,2.170786711195979,1.5053062226553064,0.9285714285714286,0.8125,16,14
3398,1,SIRT6,3398,-1.0,12.139831688846954,0.6697289294146808,5.192678158916953e-67,-6.289652923877756,8.085975977313632,0.9285714285714286,0.8125,16,14
3408,1,SIRT6,3408,-1.0,12.139831688846954,-0.2015587583603081,4.990634602116626e-06,9.104280036631797,14.568300783884963,0.9285714285714286,0.8125,16,14
3397,1,SIRT6,3397,-1.0,12.139831688846954,0.7731148891286646,1.601960842890271e-101,-9.554444398386284,15.769977666967598,0.9285714285714286,0.8125,16,14
3404,1,SIRT6,3404,-1.0,12.139831688846954,-0.32970762914800805,2.858673215703666e-14,6.476451591857704,9.083367272595602,0.9285714285714286,0.8125,16,14
2969,1,NR2F2,2969,1.0,31.0916706630211,-0.5330572498243614,2.040617591008042e-38,-8.163264487585545,12.000352883803306,0.9473684210526315,0.9,20,19
2977,1,NR2F2,2977,1.0,31.0916706630211,0.4076455471634121,1.2212333810900682e-21,8.69666132421909,14.309799038701811,0.9473684210526315,0.9,20,19
2984,1,NR2F2,2984,1.0,31.0916706630211,0.582993889451057,2.6210086594267007e-47,14.146348000701114,30.36200469211698,0.9473684210526315,0.9,20,19
2980,1,NR2F2,2980,1.0,31.0916706630211,0.5189800657084344,3.61282541882299e-36,12.554382021955632,26.1350395321381,0.9473684210526315,0.9,20,19
2973,1,NR2F2,2973,1.0,31.0916706630211,0.33458088044829337,1.1286745880782271e-14,2.641481186366641,2.0480342384897967,0.9473684210526315,0.9,20,19
2974,1,NR2F2,2974,1.0,31.0916706630211,0.35400484147793665,2.3510757561670817e-16,10.180478213376336,18.06408960845684,0.9473684210526315,0.9,20,19
2968,1,NR2F2,2968,1.0,31.0916706630211,0.5510191702400055,1.920132878608368e-41,12.260498926732541,27.303713122525938,0.9473684210526315,0.9,20,19
2976,1,NR2F2,2976,1.0,31.0916706630211,0.4058653070275972,1.8975842832334832e-21,5.180557866586751,6.339462792251147,0.9473684210526315,0.9,20,19
2987,1,NR2F2,2987,1.0,31.0916706630211,0.19122840855514128,1.5138281819905882e-05,2.9325582005783115,2.414641895686189,0.9473684210526315,0.9,20,19
2978,1,NR2F2,2978,1.0,31.0916706630211,0.36090003410278926,5.5697503046616e-17,6.321545665123484,8.588580040881194,0.9473684210526315,0.9,20,19
2985,1,NR2F2,2985,1.0,31.0916706630211,0.27090799142026006,6.057900643229755e-10,3.6044002174925627,3.3687121040240045,0.9473684210526315,0.9,20,19
2971,1,NR2F2,2971,1.0,31.0916706630211,0.35039152983621347,4.931258573442046e-16,9.731092226873274,16.42004407586483,0.9473684210526315,0.9,20,19
