,state
7a3997b2-1d86-4666-bfbc-24404002ae06,9.0
5d663b98-8416-4305-a891-111b7a4dc40b,9.0
fe330797-5a40-45a8-98df-43a33369e90f,3.0
96089343-b7de-46d0-b51f-65d5e0f07116,7.0
41f0988e-3bf0-4733-98b3-863b7d11b521,8.0
2821cf4c-03c0-4db2-bfc1-eb19b6254223,3.0
4bf521f6-7804-49ba-8c56-28e253531628,8.0
fca5badd-a6b2-4602-9b8f-0cd760e0ac2a,1.0
5206c997-ccae-463e-9902-c60ada86e632,9.0
7da4280c-511e-493e-b187-88ecca427c33,3.0
7441b31d-c6da-4f1b-8013-db0bf98f673c,6.0
24294d96-d0e1-4c7e-80b6-9dcafe07d841,6.0
2e1ac099-ce43-4605-bdfd-fa71de8eae44,3.0
f3285881-878e-4190-bb96-9a2303c76346,1.0
8fdc015d-ffc8-45de-8199-35928a26f447,7.0
e871822f-87bc-482e-9e8c-2c40b00cbc4f,6.0
e2625c62-2aba-4670-a186-a7c03d69dd58,6.0
c0ab085d-4bfd-428a-a4e7-d300a170755a,1.0
001da225-94b6-4018-80cf-a51915e83e5d,9.0
4e5beedf-3052-4a74-9427-9029cc2ff36e,1.0
b8ee15bc-7b7e-43f7-892c-47b828a6e078,7.0
b41bad82-d7c5-4cff-9ece-9cb5dd35de7f,7.0
cd86eaf7-d370-49db-a4af-16c81a2e9585,5.0
7e9af69d-85f2-473e-9bb6-ae28170966a8,1.0
ac7d114a-df0e-475b-a9a7-f9e142ab02ab,8.0
41f68f11-1545-4453-929b-f12febfa68ac,2.0
fecfa772-f3c9-4588-9d5a-518419f193b5,8.0
517e939f-d96f-4567-93eb-5f12aef517b7,4.0
30314913-97c1-4efd-98ce-bff1c006e1bc,7.0
d3d18f42-fdbf-4f9e-9b77-cf6ed79544c5,1.0
66555f86-f6c4-4ee5-99d1-b16c45c5a3c6,2.0
b21858c3-ba6c-478d-ace3-c2325183a7cd,10.0
cec3699e-8ddb-4197-a4ed-93af06852ccd,1.0
271ab61c-7b2d-4874-bcd5-803572f485ce,1.0
d3138878-37fb-40ae-aa52-d057a25fedd1,2.0
d720fba8-827e-48d5-aec0-735c735cf1d8,7.0
8f261fd2-c4d0-44e3-a781-18906b6c63ee,3.0
0eac1c1b-4b84-479b-a8e9-dc7ed4d3e0f3,7.0
6897281d-8cc6-44ed-929a-0c8c1fc80100,5.0
fe853f93-5273-434d-8021-e084f9494e05,4.0
df243cb8-a1a1-423a-b44c-12d3bc689f05,1.0
b730e9ad-da24-46a3-be56-a89447421c09,2.0
870e6c5b-94c3-466e-a599-064fd900f110,1.0
535b21a6-c639-4853-9bb2-5b82dca9cb18,1.0
306724c1-9971-495b-af7e-ef9ba1a2ad1a,1.0
c9a2a53a-5140-4a59-9266-c585b7d30c1b,9.0
