,Regulon_ID,Regulator,Gene
0,0,ETS1,ZRANB3
1,0,ETS1,OXNAD1
2,0,ETS1,ZFP14
3,0,ETS1,BRAF
4,0,ETS1,BARD1
5,0,ETS1,SRPX2
6,0,ETS1,ZNF267
7,0,ETS1,NEDD4
8,0,ETS1,SKAP2
9,0,ETS1,HELQ
10,0,ETS1,BNIP2
11,0,ETS1,RNF138
12,0,ETS1,SPG11
13,0,ETS1,LUC7L2
14,0,ETS1,KIF5B
15,0,ETS1,LINS1
16,0,ETS1,COL6A5
17,0,ETS1,UEVLD
18,0,ETS1,ZFP91
19,0,ETS1,TMEM167A
20,0,ETS1,NIPBL
21,0,ETS1,MTMR9
22,0,ETS1,KDSR
23,0,ETS1,ITSN1
24,0,ETS1,MACF1
25,0,ETS1,FCF1
26,0,ETS1,ERCC6
27,0,ETS1,ARHGAP12
28,0,ETS1,PNN
29,0,ETS1,TRAPPC6B
30,0,ETS1,DDX5
31,0,ETS1,ALKBH3
32,0,ETS1,PAQR3
33,0,ETS1,STK3
34,0,ETS1,ASNSD1
35,0,ETS1,ETAA1
36,0,ETS1,ADAM9
37,0,ETS1,SNRK
38,0,ETS1,REV3L
39,0,ETS1,FOXJ3
40,0,ETS1,CTTN
41,0,ETS1,PEX11A
42,0,ETS1,TRNT1
43,0,ETS1,DCUN1D1
44,0,ETS1,SNRPB2
45,0,ETS1,SEC24B
46,0,ETS1,GDE1
47,0,ETS1,UBE4A
48,0,ETS1,TRIP11
49,0,ETS1,SMARCA2
50,0,ETS1,TIAM2
51,0,ETS1,CDCA7L
52,0,ETS1,DDI2
53,0,ETS1,EZR
54,0,ETS1,SLC33A1
55,0,ETS1,ANKRD42
56,0,ETS1,TFAM
57,0,ETS1,IMMT
58,0,ETS1,PRKAR1A
59,0,ETS1,SETX
60,0,ETS1,APAF1
61,0,ETS1,LEPROTL1
62,0,ETS1,ZNF197
63,0,ETS1,SON
64,0,ETS1,BECN1
65,0,ETS1,SNTB2
66,0,ETS1,SLC25A24
67,0,ETS1,RASA2
68,0,ETS1,PTBP3
69,0,ETS1,WDR26
70,0,ETS1,TLK1
71,0,ETS1,LLPH
72,0,ETS1,FAM20B
73,0,ETS1,TMEM87B
74,0,ETS1,DYNC2LI1
75,0,ETS1,NUP153
76,0,ETS1,PPP4R3A
77,0,ETS1,PPP1R2
78,0,ETS1,XRCC4
79,0,ETS1,ZNF24
80,0,ETS1,ZHX1
81,0,ETS1,PPIP5K2
82,0,ETS1,PDE4DIP
83,0,ETS1,KIF14
84,0,ETS1,SLC30A7
85,0,ETS1,CNOT2
86,0,ETS1,PUS7L
87,0,ETS1,SDE2
88,0,ETS1,MAP3K1
89,0,ETS1,ETF1
90,0,ETS1,JMY
91,0,ETS1,EPS15
92,0,ETS1,ITGA1
93,0,ETS1,CREBRF
94,0,ETS1,ACAP2
95,0,ETS1,WDR89
96,0,ETS1,PTK2
97,0,ETS1,ARL5A
98,0,ETS1,PHF20
99,0,ETS1,AP4E1
100,0,ETS1,YIPF5
101,0,ETS1,THAP1
102,0,ETS1,TMA16
103,0,ETS1,ASAH2B
104,0,ETS1,ZNHIT6
105,0,ETS1,PEAK1
106,0,ETS1,NSUN3
107,0,ETS1,TIAM1
108,0,ETS1,PPP1R12A
109,0,ETS1,ZFP69B
110,0,ETS1,STRN
111,0,ETS1,BLOC1S5
112,0,ETS1,ASCC3
113,0,ETS1,SPAG9
114,0,ETS1,DENR
115,0,ETS1,RMI1
116,0,ETS1,PTGS1
117,0,ETS1,RIOK1
118,0,ETS1,GIN1
119,0,ETS1,IFT80
120,0,ETS1,ZCCHC9
121,0,ETS1,IDE
122,0,ETS1,BAZ1B
123,0,ETS1,PSMD12
124,0,ETS1,GPATCH2L
125,0,ETS1,TMTC2
126,0,ETS1,ZKSCAN8
127,0,ETS1,MTMR12
128,0,ETS1,ARID4A
129,0,ETS1,SSBP1
130,0,ETS1,HSP90B1
131,0,ETS1,RAB3GAP1
132,0,ETS1,DDX18
133,0,ETS1,KCTD20
134,0,ETS1,ENC1
135,0,ETS1,TAB3
136,0,ETS1,ZNF200
137,0,ETS1,KLHL20
138,0,ETS1,MAP3K7
139,0,ETS1,KDM5A
140,0,ETS1,LSM5
141,0,ETS1,HELZ
142,0,ETS1,NAA16
143,0,ETS1,ZNF770
144,0,ETS1,PRPF38A
145,0,ETS1,UBP1
146,0,ETS1,ZNF566
147,0,ETS1,MCFD2
148,0,ETS1,GSDMC
149,0,ETS1,BMPR2
150,0,ETS1,TAF9B
151,0,ETS1,TCEANC2
152,0,ETS1,BPTF
153,0,ETS1,DEFB134
154,0,ETS1,VCPIP1
155,0,ETS1,BRIX1
156,0,ETS1,MED23
157,0,ETS1,MBNL1
158,0,ETS1,NHLRC3
159,0,ETS1,DLG1
160,0,ETS1,LYSMD3
161,0,ETS1,ARHGAP18
162,0,ETS1,TRIM5
163,0,ETS1,MKKS
164,0,ETS1,ADAMTS15
165,0,ETS1,NF1
166,0,ETS1,MYO1B
167,0,ETS1,RCAN3
168,0,ETS1,ARPP19
169,0,ETS1,GEN1
170,0,ETS1,TWF1
