,Coefficient
ELF2,0.0
TBX2,0.0018261644178663773
ELK3,0.0
GABPA,0.0
PURA,0.0
SP1,0.0
PBX1,0.0
FOXF1,0.0
RREB1,0.0
FOXP1,-0.004049561711984427
POU2F1,0.0
HLX,0.0
PROX1,-0.0009512248455666747
CEBPB,0.0
HOXB3,0.0
RFX1,0.0
FOXO1,-0.0003988908186818454
TBX1,-0.0018197547599192526
MAZ,0.06582912070450155
MEOX1,0.002952051674558487
TEAD1,-0.0015511360772327736
SPI1,0.022212892651722417
CDC5L,0.04753715073185587
GTF2A1,0.0
E2F3,0.05789263080086279
NFE2L2,0.0
HEY2,0.019873963340347536
PARP1,0.00013535619626314793
HSF2,0.3006630611047871
RFX7,0.0
NF1,0.0
PPARG,-0.0014069173829878334
ETV3,0.0
GMEB1,0.02274507590366975
GTF2I,0.007671670540783781
ZNF628,0.0
DLX6,0.0
E4F1,0.0005102875315995182
ATF7,-8.591910315246074e-05
THRB,-0.0023698672132394048
MSC,7.342230035015266e-06
NFATC1,0.0
HIF1A,0.0
REST,0.0
REL,0.0
ZNF410,0.0008017732919501993
TERF1,0.0
IKZF2,0.0
BRCA1,0.007165624235470158
DR1,0.0028813496715747707
PKNOX2,6.580820879268157e-05
BBX,0.0
RBPJ,-0.056626768678596034
ZNF589,0.0003380235225611586
BPTF,-7.803302826196894e-05
CREB1,0.0
NFYA,0.16482500983168358
SMAD1,0.005075813077008548
HNF1A,0.0
GMEB2,0.0
SOX4,0.0
ELF1,0.0
ZNF281,0.0
LHX4,0.0036692448678671396
E2F7,0.0
SATB1,0.0
GLIS1,0.009021953407776138
ELK4,-0.006657891098893437
HIC1,0.0
MEIS1,0.0
NR3C2,-0.008770988430442349
HEY1,0.0
MEF2A,0.0
MYB,0.01288122747853649
ETS2,-0.00016086548414757405
MTF1,4.119431067290893e-06
NKX3-2,-0.0006965409027371882
PRDM4,0.0006185240848629589
RFX3,0.0
FOXO3,0.01512833433609457
MECOM,-6.758330388517408e-05
E2F8,0.09276834814321115
ZBTB18,0.0
SOX9,-0.010044740717570375
TP63,0.0
PHOX2B,-0.021454160814363788
TCF7L2,-0.0005400794942588471
SP3,0.0
HMGA2,0.047765446253705386
CREB3L2,0.0
NFAT5,-0.06323525183916527
ISL2,0.00028397546494375505
BORCS8-MEF2B,0.012281137297703602
NFIB,0.0003734152726593541
ATF4,0.0
CTCF,0.0
