,Coefficient
GTF2A1,0.0846149148512667
REL,0.0
MYB,-0.0007323731631819594
NKX3-2,0.01776923566114592
IKZF2,0.0034258221723725076
RFX7,0.00028401342531736326
NF1,0.0008500920565945255
FOXO3,0.11271352269410859
E2F8,-1.343796586535069e-05
DR1,0.0
RBPJ,0.03874021737100845
FOXF1,0.0004500795506843212
HLX,-0.0005586613975652434
VDR,-0.0036581801906236566
TCF7L2,0.0
ZNF281,0.20751653362601089
HMGA2,0.006092011116814331
CEBPB,0.001147996246132719
NFAT5,0.05941413236773224
HOXB3,0.0
NFIB,0.03082066803692621
