,Source,Edge,Target
0,GABPA,-0.1218973706969331,BORCS8-MEF2B
1,ZNF281,-0.25598823002314,BORCS8-MEF2B
2,ELK4,-0.1570484915709455,BORCS8-MEF2B
3,SPI1,0.2753402080024773,BORCS8-MEF2B
4,ELK3,-0.1457873544864913,HNF1A
5,HIF1A,-0.1391249596979184,HNF1A
6,VBP1,-0.1089866286086603,HNF1A
7,TCF3,0.1492905218563066,HNF1A
8,GMEB2,0.2218959675096741,HNF1A
9,PRDM4,0.1666957324514446,HNF1A
10,ERF,0.1298008586049709,HNF1A
11,FOXP1,-0.0451486122619419,GMEB2
12,REST,0.6494307340569364,ELF2
13,ELK3,-0.3022510661204258,ASCL2
14,FOXP1,-0.201967094292757,ASCL2
15,HOXB3,0.1141104634908698,ASCL2
16,MTF1,-0.1229827967403624,ASCL2
17,ETV3,-0.0827574434289889,ASCL2
18,SP1,-0.1426334036564028,GLIS1
19,MSC,0.4537854503937403,FOXP3
20,NFATC1,0.1958351216269475,FOXP3
21,POLR3A,0.0832599571056228,LHX4
22,TCF3,0.0259654318787526,LHX4
23,PPARG,-0.0357016887280752,LHX4
24,ETV3,0.1527716282030398,LHX4
25,NFATC4,0.0089842803426997,LHX4
26,FOXJ3,0.0360427711263464,LHX4
27,TBP,0.0164768266972891,LHX4
28,POU2F1,0.2294092923168273,LHX4
29,NFAT5,0.0086953279456865,LHX4
30,ELK4,0.1320816952624984,LHX4
31,REST,0.1766508649805823,RORA
32,ELK3,0.2475917136546669,RORA
33,PROX1,0.1775331686013016,RORA
34,MEIS1,0.2810475219433236,RORA
35,ATF2,0.4950634083330811,ZSCAN26
36,CREB1,0.2902851454922849,HLTF
37,SP3,0.1836211387055537,HLTF
38,HEY2,0.123533695131987,GSX2
39,ELK4,0.5182519967217916,ZNF75A
40,MEIS1,0.4480549664556316,NFATC4
41,GTF2I,0.1914962834389303,SMAD1
42,HIF1A,0.4820081547950386,SMAD1
43,TCF3,0.140981998681404,SMAD1
44,FOXP1,0.0476808052667342,GTF2A1
45,TBX2,-0.2373783549893896,GTF2A1
46,E2F7,0.2179186447940802,GTF2A1
47,ETV3,0.2903855031461665,GTF2A1
48,CREB3L2,0.1213934433367419,GTF2A1
49,MEIS1,0.0710971274590111,GTF2A1
50,PKNOX2,0.0792895776902438,GTF2A1
51,ZBTB14,0.2349180375818603,THRB
52,TCF7L1,0.1352588962344346,THRB
53,SOX18,0.6314563942869834,TBX2
54,TERF1,0.3159562818630594,SP3
55,RBPJ,0.0856002096320952,SP3
56,ATF1,0.201247906257331,SP3
57,CTCF,0.3152867154209771,SP3
58,RFX3,0.1347019744876024,ZSCAN16
59,CEBPZ,0.3949307882775526,ZSCAN16
60,VBP1,0.3304490588313786,YY2
61,ETS1,-0.0083283165438711,NRL
62,PHOX2B,-0.002592955340928,NRL
63,NFE2L2,-0.0046512117856751,NRL
64,E2F3,-0.0140382004898106,NRL
65,HEY2,0.033829661557667,NRL
66,ATF1,-0.00279471355509,NRL
67,MECOM,0.0005817253809233,NRL
68,ZKSCAN3,0.000250016010092,NRL
69,ZNF628,0.3707588497554095,NRL
70,TEAD1,-0.0668740056460911,NRL
71,MEIS1,-0.0576354426198781,NRL
72,REST,0.1392980562369463,DLX6
73,E4F1,0.3083758356270237,MAZ
74,NR2F6,0.2306747785174798,MAZ
75,KLF16,0.2568969898036997,MAZ
76,RORA,0.16736268705769,MEOX1
77,ZBTB18,-0.0819353158322768,MEOX1
78,NFATC4,0.0392442127753605,MEOX1
79,PBX1,0.0175136218489543,MEOX1
80,TBP,0.0325629656082264,MEOX1
81,POU2F1,-0.0227496394972339,MEOX1
82,PHOX2B,0.2191184380963118,MEOX1
83,ZNF281,0.0880269058331468,MEOX1
84,NFAT5,-0.0975338341353558,MEOX1
85,BORCS8-MEF2B,0.0575482787709168,MEOX1
86,IRF6,-0.0467046479762646,MEOX1
87,NR2F6,-0.2396672390989846,RBPJ
88,NF1,0.4700150803897824,RBPJ
89,FOXP1,0.1632889814548262,IKZF2
90,ZNF148,0.2058041163152995,IKZF2
91,ETS1,0.4165092776015383,IKZF2
92,NKX3-2,0.3348618226059752,HEY1
93,PROX1,0.3087464127691569,SOX9
94,YY1,0.1612415104053258,SOX9
95,TCF7L2,0.1643595592876682,SOX9
96,ZNF628,0.3961719243153341,PITX1
97,THRB,-0.1574263436296922,PITX1
98,RORA,-0.2684310492589161,PITX1
99,NR2F6,-0.1378798577600029,ATF4
100,NR2F6,0.1680267981191391,MZF1
101,LHX4,0.2419630867612708,MZF1
102,ZNF628,0.5124401567131759,MZF1
103,NR2C2,0.2924248674257762,E2F3
104,E2F8,0.1811946891101967,E2F3
105,ELK4,0.158017100198587,E2F3
106,NFAT5,0.1434277376982371,E2F3
107,RFX7,0.294046299407658,NF1
108,FOXO3,0.1463502013941557,NF1
109,SOX9,0.0247155586253906,NF1
110,CREB1,0.2693022980423009,NF1
111,ZNF148,0.099793086567448,NF1
112,THRB,0.0371692730911129,NF1
113,ZBTB6,0.1331864081333768,ZNF410
114,RREB1,-0.1910800077187349,ZNF410
115,HIC1,-0.1056880418818643,ZNF410
116,FOXO4,-0.1001486826705455,ZNF410
117,GTF2A1,0.4264867788032381,ZNF410
118,ZBTB18,-0.1196589797018058,ZNF410
119,SOX9,-0.1569708461303696,ZNF410
120,FOXO3,0.3345670976458559,ZBTB18
121,SOX17,-0.2147239604496415,ZBTB18
122,MEIS1,0.3338429862725289,HLX
123,HEY2,0.3146036327445306,HLX
124,NFATC1,0.1929745540265438,HLX
125,SMAD1,0.2396554351975684,MTF1
126,FOXJ3,0.5761135955097951,MTF1
127,NF1,0.397632838448953,ATF2
128,RFX1,-0.1394489864896726,ATF2
129,CDC5L,0.2587175887524754,ATF2
130,ZBTB14,0.1217624163939282,GTF2I
131,ETV3,0.0727231987113184,GTF2I
132,BBX,0.073033491755101,GTF2I
133,ZNF148,0.1349532828018158,GTF2I
