,Alt_ID,in_degree,out_degree,out/in
NFATC4,NFATC4,1.0,6.0,6.0
GMEB2,GMEB2,1.0,5.0,5.0
IRF6,IRF6,1.0,5.0,5.0
MEIS1,MEIS1,3.0,14.0,4.666666666666667
GLI1,GLI1,2.0,9.0,4.5
ELK4,ELK4,3.0,13.0,4.333333333333333
PHOX2B,PHOX2B,1.0,4.0,4.0
CREB1,CREB1,3.0,12.0,4.0
TBX2,TBX2,1.0,4.0,4.0
LHX6,LHX6,1.0,4.0,4.0
PROX1,PROX1,2.0,8.0,4.0
ELK3,ELK3,3.0,12.0,4.0
GLIS1,GLIS1,1.0,4.0,4.0
HIF1A,HIF1A,1.0,4.0,4.0
FOXP1,FOXP1,3.0,11.0,3.6666666666666665
VDR,VDR,2.0,7.0,3.5
RFX7,RFX7,2.0,7.0,3.5
ZNF148,ZNF148,2.0,7.0,3.5
NFYA,NFYA,2.0,7.0,3.5
MYB,MYB,3.0,9.0,3.0
NFE2L2,NFE2L2,2.0,6.0,3.0
FOXO3,FOXO3,3.0,9.0,3.0
MSC,MSC,3.0,9.0,3.0
E2F7,E2F7,1.0,3.0,3.0
PARP1,PARP1,2.0,6.0,3.0
PKNOX2,PKNOX2,1.0,3.0,3.0
PURA,PURA,1.0,3.0,3.0
E2F3,E2F3,4.0,11.0,2.75
REST,REST,3.0,8.0,2.6666666666666665
TFCP2,TFCP2,3.0,8.0,2.6666666666666665
TCF3,TCF3,2.0,5.0,2.5
HMGA2,HMGA2,2.0,5.0,2.5
SOX17,SOX17,2.0,5.0,2.5
MEF2A,MEF2A,2.0,5.0,2.5
THRB,THRB,2.0,5.0,2.5
SP3,SP3,4.0,10.0,2.5
RBPJ,RBPJ,2.0,5.0,2.5
BRCA1,BRCA1,2.0,4.0,2.0
SP1,SP1,3.0,6.0,2.0
ZBTB6,ZBTB6,2.0,4.0,2.0
ATF7,ATF7,2.0,4.0,2.0
ZNF628,ZNF628,3.0,6.0,2.0
ZBTB14,ZBTB14,3.0,6.0,2.0
SOX9,SOX9,3.0,6.0,2.0
E4F1,E4F1,2.0,4.0,2.0
POU2F1,POU2F1,3.0,6.0,2.0
TEAD1,TEAD1,3.0,6.0,2.0
ATF4,ATF4,1.0,2.0,2.0
DR1,DR1,2.0,4.0,2.0
RREB1,RREB1,3.0,6.0,2.0
IKZF2,IKZF2,3.0,6.0,2.0
ATF1,ATF1,4.0,7.0,1.75
RORA,RORA,4.0,7.0,1.75
REL,REL,3.0,5.0,1.6666666666666667
CREB3L2,CREB3L2,3.0,5.0,1.6666666666666667
NFATC1,NFATC1,3.0,5.0,1.6666666666666667
NFAT5,NFAT5,5.0,8.0,1.6
RFX1,RFX1,4.0,6.0,1.5
HOXB3,HOXB3,2.0,3.0,1.5
ZBTB18,ZBTB18,2.0,3.0,1.5
FOXJ3,FOXJ3,2.0,3.0,1.5
ETV3,ETV3,6.0,9.0,1.5
SOX4,SOX4,2.0,3.0,1.5
MECOM,MECOM,3.0,4.0,1.3333333333333333
FOXO1,FOXO1,3.0,4.0,1.3333333333333333
SPI1,SPI1,3.0,4.0,1.3333333333333333
HLX,HLX,3.0,4.0,1.3333333333333333
GTF2A1,GTF2A1,7.0,9.0,1.2857142857142858
CEBPB,CEBPB,4.0,5.0,1.25
ZNF281,ZNF281,4.0,5.0,1.25
GMEB1,GMEB1,1.0,1.0,1.0
BPTF,BPTF,3.0,3.0,1.0
TERF1,TERF1,2.0,2.0,1.0
FOXO4,FOXO4,2.0,2.0,1.0
PRDM4,PRDM4,6.0,6.0,1.0
MTF1,MTF1,2.0,2.0,1.0
SMAD1,SMAD1,3.0,3.0,1.0
ZNF75A,ZNF75A,1.0,1.0,1.0
KLF16,KLF16,2.0,2.0,1.0
HEY1,HEY1,1.0,1.0,1.0
MZF1,MZF1,3.0,3.0,1.0
NF1,NF1,6.0,6.0,1.0
NFIB,NFIB,2.0,2.0,1.0
ZSCAN26,ZSCAN26,1.0,1.0,1.0
MEIS3,MEIS3,3.0,3.0,1.0
CDC5L,CDC5L,4.0,4.0,1.0
FOXF1,FOXF1,2.0,2.0,1.0
USF1,USF1,2.0,2.0,1.0
SOX18,SOX18,4.0,4.0,1.0
NKX3-2,NKX3-2,3.0,3.0,1.0
E2F8,E2F8,7.0,6.0,0.8571428571428571
GTF2I,GTF2I,7.0,6.0,0.8571428571428571
NR2F6,NR2F6,6.0,5.0,0.8333333333333334
NR2C2,NR2C2,5.0,4.0,0.8
ETS1,ETS1,4.0,3.0,0.75
PPARG,PPARG,4.0,3.0,0.75
ETS2,ETS2,4.0,3.0,0.75
GABPA,GABPA,4.0,3.0,0.75
BORCS8-MEF2B,BORCS8-MEF2B,4.0,3.0,0.75
MAZ,MAZ,3.0,2.0,0.6666666666666666
ATF2,ATF2,3.0,2.0,0.6666666666666666
ERF,ERF,9.0,6.0,0.6666666666666666
TCF7L2,TCF7L2,5.0,3.0,0.6
PBX1,PBX1,5.0,3.0,0.6
CEBPZ,CEBPZ,7.0,4.0,0.5714285714285714
HNF1A,HNF1A,7.0,4.0,0.5714285714285714
BBX,BBX,2.0,1.0,0.5
NR3C2,NR3C2,4.0,2.0,0.5
FOXP3,FOXP3,2.0,1.0,0.5
TBX1,TBX1,2.0,1.0,0.5
HSF2,HSF2,7.0,3.0,0.42857142857142855
ZNF524,ZNF524,5.0,2.0,0.4
ISL2,ISL2,3.0,1.0,0.3333333333333333
BDP1,BDP1,3.0,1.0,0.3333333333333333
HIC1,HIC1,6.0,2.0,0.3333333333333333
PRRX2,PRRX2,3.0,1.0,0.3333333333333333
