,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned,Fraction_of_aligned_and_diff_exp_edges,number_downstream_regulons,number_differentially_expressed_regulons
2608,3,GABPA,R-2608,1.0,1.826824629222215,0.2003489188107902,0.0096505427568709,3.2200354803062696,1.5382039856070744,0.8571428571428571,0.24,25,7
2584,3,GABPA,R-2584,1.0,1.826824629222215,0.7743780784542637,2.0055103080270182e-34,3.1375856259924655,2.012955312360718,0.8571428571428571,0.24,25,7
2589,3,GABPA,R-2589,1.0,1.826824629222215,-0.7047622170773459,3.116968311708745e-26,-2.184977406895764,1.4699829527889567,0.8571428571428571,0.24,25,7
2599,3,GABPA,R-2599,1.0,1.826824629222215,0.192108663286789,0.0131535518965376,3.0017044010859224,1.4433924917729726,0.8571428571428571,0.24,25,7
2595,3,GABPA,R-2595,1.0,1.826824629222215,0.5866020423555955,1.0028572269532738e-16,3.5775613933449786,1.9143968305539472,0.8571428571428571,0.24,25,7
2606,3,GABPA,R-2606,1.0,1.826824629222215,0.4932833128922877,1.4567261245320137e-11,3.76021118959054,2.0333806465409214,0.8571428571428571,0.24,25,7
1439,3,SP1,R-1439,1.0,1.7876988441203283,0.2148382315325537,0.0054423563384459,2.899252207601865,1.4060492083614948,0.8571428571428571,0.24,25,7
1424,3,SP1,R-1424,1.0,1.7876988441203283,0.7963888214808064,1.1852111197556143e-37,3.0223003542039497,1.594138422601683,0.8571428571428571,0.24,25,7
1429,3,SP1,R-1429,1.0,1.7876988441203283,0.2614228279476097,0.0006686869882527,3.281097469711027,1.573955643542687,0.8571428571428571,0.24,25,7
1437,3,SP1,R-1437,1.0,1.7876988441203283,0.1470141863042808,0.0587424942789602,3.6950642410643217,1.8516248217760127,0.8571428571428571,0.24,25,7
1421,3,SP1,R-1421,1.0,1.7876988441203283,-0.6582432069049198,5.598520094000756e-22,-2.41213057136492,1.6720860916250508,0.8571428571428571,0.24,25,7
1417,3,SP1,R-1417,1.0,1.7876988441203283,0.7504076184979439,2.672603730051487e-31,3.157018718125145,1.9767226262650108,0.8571428571428571,0.24,25,7
1318,3,CEBPZ,R-1318,1.0,1.8028258934196468,0.7803280623856341,2.92706904948089e-35,2.781762715392557,1.6654266456363798,0.8,0.16,25,5
1323,3,CEBPZ,R-1323,1.0,1.8028258934196468,0.5438975280545153,3.6488100055480605e-14,2.6040345688023554,1.32275111185537,0.8,0.16,25,5
1339,3,CEBPZ,R-1339,1.0,1.8028258934196468,0.328008604915033,1.6023386590368132e-05,2.9912656211109225,1.4907040813390318,0.8,0.16,25,5
1330,3,CEBPZ,R-1330,1.0,1.8028258934196468,0.3114703779735163,4.412015812982152e-05,3.847375525618443,1.8192161083916016,0.8,0.16,25,5
2983,3,CDC5L,R-2983,1.0,1.7997561052759916,0.8015858753467873,1.7911081424858162e-38,3.3187696044542867,2.049822645475407,1.0,0.1,20,2
3000,3,CDC5L,R-3000,1.0,1.7997561052759916,0.6468679289832164,4.7461675927346375e-21,3.3384332405266735,1.8635452437517124,1.0,0.1,20,2
4859,3,RFX7,R-4859,1.0,1.785450364397401,0.4978848436751907,8.794740508953604e-12,4.152430871890226,2.1883069214804314,0.6666666666666666,0.2666666666666666,15,6
4856,3,RFX7,R-4856,1.0,1.785450364397401,0.3279062903765307,1.612706620789647e-05,2.998763400266694,1.4366728085431393,0.6666666666666666,0.2666666666666666,15,6
4848,3,RFX7,R-4848,1.0,1.785450364397401,0.6977497360153736,1.5386872572068167e-25,2.377765815198647,1.3066697125305586,0.6666666666666666,0.2666666666666666,15,6
4853,3,RFX7,R-4853,1.0,1.785450364397401,-0.5772861724524665,3.9070395962013685e-16,-2.5106032249175714,1.4363314104340772,0.6666666666666666,0.2666666666666666,15,6
4109,3,RORA,R-4109,1.0,1.8050051501389832,0.4870421260436411,2.853992814510337e-11,2.83425727145819,1.875015845290929,0.8,0.16,25,5
4090,3,RORA,R-4090,1.0,1.8050051501389832,0.4975595359117473,9.116411180902286e-12,2.617881548743628,1.3292359041926531,0.8,0.16,25,5
4097,3,RORA,R-4097,1.0,1.8050051501389832,0.4811000124613862,5.346940100569541e-11,3.3226845892891177,1.8464990281202152,0.8,0.16,25,5
