,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned,Fraction_of_aligned_and_diff_exp_edges,number_downstream_regulons,number_differentially_expressed_regulons
7227,2,TCF7,7227,1.0,1.312635055915271,0.33105705347246367,1.3207942096533708e-05,2.719959508085028,2.0848384583904194,1.0,0.48,25,12
7214,2,TCF7,7214,1.0,1.312635055915271,0.33818496632146444,8.33869321210069e-06,2.558968758488883,1.8740195120170915,1.0,0.48,25,12
7218,2,TCF7,7218,1.0,1.312635055915271,-0.33303251110047155,1.1640578833471299e-05,-3.3988483654322,2.937634024814158,1.0,0.48,25,12
7213,2,TCF7,7213,1.0,1.312635055915271,-0.26116835332620636,0.0006771327668664349,-5.508893383761977,5.99466527912804,1.0,0.48,25,12
7219,2,TCF7,7219,1.0,1.312635055915271,-0.12859494592414297,0.09870319356950571,-2.1424491817647278,1.4608427701805125,1.0,0.48,25,12
7233,2,TCF7,7233,1.0,1.312635055915271,-0.14610647270628513,0.060337652424262415,-2.3156834219912623,1.6258373885087174,1.0,0.48,25,12
7236,2,TCF7,7236,1.0,1.312635055915271,-0.3151773124069496,3.534054632092494e-05,-3.2651893830900613,2.6618147040710913,1.0,0.48,25,12
7221,2,TCF7,7221,1.0,1.312635055915271,0.3340871378819579,1.0877558512011471e-05,4.51294521315535,4.634364342417304,1.0,0.48,25,12
7230,2,TCF7,7230,1.0,1.312635055915271,-0.16330580897350974,0.03552846273992335,-7.443578034683467,9.863227599281856,1.0,0.48,25,12
7216,2,TCF7,7216,1.0,1.312635055915271,0.3091932236294115,5.048961533917224e-05,4.279000990199514,4.306902217971387,1.0,0.48,25,12
7232,2,TCF7,7232,1.0,1.312635055915271,0.26667759770710503,0.0005145798706475135,3.3692236336413663,2.8318078999057517,1.0,0.48,25,12
7235,2,TCF7,7235,1.0,1.312635055915271,0.3111660578077143,4.4925346315031164e-05,2.7791722691134484,2.110321885217522,1.0,0.48,25,12
2586,2,GABPA,2586,1.0,6.8069636543643295,-0.5289333709361125,2.379982560086765e-13,-2.708151629802363,2.0572520894044066,0.9473684210526315,0.72,25,19
2593,2,GABPA,2593,1.0,6.8069636543643295,0.3814718864570968,3.9601193378303604e-07,3.3037281684020323,2.7911947783369184,0.9473684210526315,0.72,25,19
2600,2,GABPA,2600,1.0,6.8069636543643295,0.44700041319332867,1.5685389203533294e-09,3.5776093271411757,3.162313228353106,0.9473684210526315,0.72,25,19
2604,2,GABPA,2604,1.0,6.8069636543643295,-0.5061618274950647,3.4808879496739617e-12,-3.090944849868147,2.4905884406332204,0.9473684210526315,0.72,25,19
2601,2,GABPA,2601,1.0,6.8069636543643295,0.6294429760413456,1.0576081873051284e-19,5.092478143026226,5.601723898299542,0.9473684210526315,0.72,25,19
2598,2,GABPA,2598,1.0,6.8069636543643295,-0.5331754891094045,1.411761853769537e-13,-2.809215907549651,2.193769643689288,0.9473684210526315,0.72,25,19
2597,2,GABPA,2597,1.0,6.8069636543643295,-0.399329708600324,9.846596803521868e-08,-2.6444152088078385,1.9698540240839972,0.9473684210526315,0.72,25,19
2591,2,GABPA,2591,1.0,6.8069636543643295,-0.6800650615526888,7.081299162178121e-24,-4.403741882924004,4.477521295175345,0.9473684210526315,0.72,25,19
2605,2,GABPA,2605,1.0,6.8069636543643295,0.6608955145568667,3.356073529731896e-22,2.102892995322065,1.4092793807223596,0.9473684210526315,0.72,25,19
2594,2,GABPA,2594,1.0,6.8069636543643295,-0.6522328836303298,1.751820273565457e-21,-3.9684730209912153,3.733452656930827,0.9473684210526315,0.72,25,19
2584,2,GABPA,2584,1.0,6.8069636543643295,0.7743780784542637,2.005510308027018e-34,5.731923349688538,7.2663412163184535,0.9473684210526315,0.72,25,19
2592,2,GABPA,2592,1.0,6.8069636543643295,0.5463898052744457,2.6457805005373966e-14,2.3706747989477237,1.680752614789832,0.9473684210526315,0.72,25,19
