,Coefficient
NR3C2,-0.018461496145698742
STAT4,0.05208314687560212
TCF7L2,-0.04039462113172495
PARP1,-0.05166058455288059
ZNF75A,-0.06639818501445706
NFE2,0.018403444319835628
CREM,0.1521640800977074
ZNF423,-0.01735504841455268
MAFB,0.010006275173152534
IRF5,0.05212236724991137
ARID5B,0.02195699565657599
REST,-0.029938931043068932
GTF2I,-0.1761803004967571
EPAS1,0.02331188424660668
RELA,0.013288432560503424
ZKSCAN3,-0.11232608992731699
SPI1,0.15695180727380614
TCF21,0.016123786405641546
RFX3,-0.014944097376631937
