,Coefficient
DLX6,0.0
NFKB2,-0.028872420375452443
ZSCAN26,0.02158207538036657
STAT4,0.0
ARID5B,-0.0008026600911585091
IKZF3,-0.005477667429392577
EPAS1,-0.06354371948714106
SREBF2,-0.01409419629578498
TCF7L2,0.003323890025135034
MESP1,0.00028661856087161867
SP3,-0.017142525615503806
NR2F1,0.0008373767122897898
DLX3,0.07153947949776264
SP1,0.0
ETV5,0.03253956959447748
MGA,0.0009088385858150772
ZBTB7B,-0.08416050365970763
HOXB13,0.015229143131822004
HOXB7,0.0009902482906077256
SOX5,0.0
LMO2,0.0005092248535559943
IRF8,-0.012119803570342293
PARP1,0.0
TCF21,0.0006564443551502552
ZFX,0.0
ZBTB4,0.0016836004051802938
RFX3,0.021525126383116808
NFYA,0.025348575560403482
MEIS2,-0.021737086452369648
MEF2A,-0.0650813411839942
ZBTB16,-0.0171483957771637
ZNF691,-0.0013736585308324325
GLI1,0.030071182691845992
CEBPB,-0.012422780566954734
PBX1,0.0
