,Coefficient
ZNF148,0.0002321848939471114
E2F7,0.05264859102984282
PITX1,0.03413370513008179
IRF5,0.001434988733859098
MEIS1,0.024716437482617492
DLX1,0.020281637830410787
TEAD1,0.0
FOXJ3,0.0
ARID5B,7.955969718126101e-05
ELF2,4.3041292618936206e-05
TCF21,-0.09497610153455197
CEBPD,-0.023419661449819815
SOX4,0.0030977935064186958
ZNF143,0.010984660120758862
GTF2I,0.020325638776173358
CREB1,0.0007464291691070321
TCF7L2,0.0
POLR3A,0.09764481176210327
TBX18,-0.003782830201416474
MEIS2,0.0004299828236036126
ZNF281,0.024125666145435348
SOX17,-0.07651640267343027
HOXA5,-1.3015856078537998e-05
ZBED6,0.12461939843167479
MEF2D,7.364151233729076e-05
ETV5,0.009574671970647698
HOXA6,0.0
BRCA1,0.16416986536246372
ZBTB18,0.13943664513355125
