,Coefficient
NR3C2,0.0
ZNF148,-0.0025296926778717054
GATA3,-0.00036994204689713077
STAT4,-0.008202623546538581
DLX1,0.01998774532280646
ARID5B,-0.00026312229933065317
IRF1,0.01021472129519823
SF1,0.0005911552978850238
IKZF3,-0.00010015974974826249
SOX12,0.11285335040793737
EPAS1,-0.02978757054900947
NR2F1,-0.004444285721199129
NKX2-5,0.04677704313637629
NKX3-2,0.04061708162212857
ATF1,0.0
HSF2,0.0
ZBTB18,0.034451632266252086
HOXB7,-0.011689490921855157
THRB,0.008430455801691706
LHX2,0.09596096061182945
TFEC,-0.018037018893335807
TCF21,-0.0025853078181020104
FOXJ2,-0.003381295501651725
ZBTB4,0.0
JDP2,-0.013529844243081835
SOX4,0.01445909798870072
PAX6,0.01743704285566954
ZNF143,-0.022452139899690304
RFX3,-0.0007751121662439495
CREB3L1,0.0
IKZF1,-0.010250350285753131
MEIS2,0.0035280788028211134
ZNF281,0.08863984895425508
ZBTB16,0.0
MEF2D,-0.0012179904384035873
BRCA1,0.028734000729697604
PBX1,0.012030127120151475
SP4,-0.0018252097201546097
