,Alt_ID,in_degree,out_degree,out/in
ATF7,ATF7,1.0,5.0,5.0
PBX1,PBX1,4.0,12.0,3.0
MEIS1,MEIS1,2.0,6.0,3.0
TEAD1,TEAD1,6.0,17.0,2.8333333333333335
BDP1,BDP1,3.0,7.0,2.3333333333333335
SOX12,SOX12,3.0,6.0,2.0
STAT5B,STAT5B,4.0,8.0,2.0
NR3C2,NR3C2,1.0,2.0,2.0
PAX6,PAX6,2.0,4.0,2.0
RFX7,RFX7,3.0,4.0,1.3333333333333333
KLF11,KLF11,3.0,3.0,1.0
TRAF4,TRAF4,3.0,3.0,1.0
MECP2,MECP2,3.0,3.0,1.0
HSF4,HSF4,1.0,1.0,1.0
HOXA6,HOXA6,3.0,3.0,1.0
TCF7L2,TCF7L2,7.0,7.0,1.0
ZNF384,ZNF384,4.0,3.0,0.75
TBX18,TBX18,11.0,4.0,0.36363636363636365
TEF,TEF,4.0,1.0,0.25
NFIX,NFIX,7.0,0.0,0.0
