,Source,Edge,Target
0,GTF2IRD1,-0.2587349099230942,NR1H3
1,PAX5,0.1108386272801444,NR1H3
2,FLI1,0.2629630784667617,NFATC2
3,IRF8,0.3525112275526084,NFATC2
4,REST,0.1529944364733034,ELF2
5,TEAD3,0.1662104938760563,ELF2
6,HOXB7,-0.093072720237335,ELF2
7,SMAD4,0.3949777852969807,ELF2
8,GATA3,0.110884618568287,ASCL2
9,IRF5,0.3021040461624672,ASCL2
10,TEAD1,-0.1117237957853514,ASCL2
11,IRF7,0.2746593697336965,ASCL2
12,GFI1,0.428656628065286,FOXP3
13,IRF1,0.2009351050620992,FOXP3
14,GTF2I,-0.1254901091413548,FOXP3
15,POU2F1,0.1238730828592395,ZSCAN26
16,ATF2,0.198399885961886,ZSCAN26
17,TEAD3,0.1293271236057431,ZSCAN26
18,ZBED6,0.2501910954673407,ZSCAN26
19,ZKSCAN3,0.0488170677760292,HLTF
20,SOX12,0.0741837282405641,HLTF
21,SOX4,0.0225365915047198,HLTF
22,CREB1,0.0494928467774296,HLTF
23,IKZF1,-0.0177965757588615,HLTF
24,SP3,0.1137780933120245,HLTF
25,ARNT,0.1208504197885833,HLTF
26,ZBTB16,-0.0242721589977799,HLTF
27,CEBPB,-0.1051417156602543,HLTF
28,BRCA1,0.1135498196471,HLTF
29,ZBTB7B,0.0989847154114051,ZNF75A
30,E2F8,0.1223493123701599,ZNF75A
31,CTCF,0.1900464987606049,ZNF75A
32,TRAF4,0.1215090151103096,ZNF75A
33,CREM,-0.0899974582890869,ZNF75A
34,ZBTB16,0.2156607642488832,ZNF75A
35,SOX15,-0.1659378422235555,TNFRSF10A
36,BBX,0.2056870201998566,SP4
37,ZBTB14,0.1859092109501614,SP4
38,RFX7,0.1787614922646006,SP4
39,EP300,0.2358593027209491,SP4
40,MEIS2,0.1529377468150057,THRB
41,MEF2A,0.1955819222213225,THRB
42,TEAD1,0.2546000500552566,ZFX
43,GTF2I,0.1797337401863875,ZFX
44,SP3,0.2410912084725882,ZFX
45,STAT5B,0.1587894635355635,ZFX
46,STAT3,0.1824481355882312,SP3
47,FOXJ3,0.2573135151426238,SP3
48,ASCL2,-0.0686318872518752,SP3
49,CTCF,0.3543109341997387,SP3
50,NFYA,0.0864642871603817,SP3
