,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned,Fraction_of_aligned_and_diff_exp_edges,number_downstream_regulons,number_differentially_expressed_regulons
5085,3,NR3C2,R-5085,-1.0,15.43526458832586,0.5039880923601853,4.32491544368923e-18,-11.582013574269302,24.462016965687543,1.0,1.0,4,4
5088,3,NR3C2,R-5088,-1.0,15.43526458832586,0.4728914705658891,7.766878494269156e-16,-9.16880275107626,16.232137648807747,1.0,1.0,4,4
5087,3,NR3C2,R-5087,-1.0,15.43526458832586,0.2655590167218074,1.4835751769082012e-05,-7.9374224108347535,12.080480153491909,1.0,1.0,4,4
5086,3,NR3C2,R-5086,-1.0,15.43526458832586,-0.2358624405136033,0.0001272684242769,14.790940439302345,31.472995483833543,1.0,1.0,4,4
1188,3,ETV6,R-1188,-1.0,29.092976075554297,0.294597357388055,1.3952554391688362e-06,-4.824666129348668,5.537494837435498,0.8421052631578947,0.6956521739130435,23,19
1186,3,ETV6,R-1186,-1.0,29.092976075554297,-0.3030266402359425,6.677286669053572e-07,2.6462221660462295,2.043282884345382,0.8421052631578947,0.6956521739130435,23,19
1189,3,ETV6,R-1189,-1.0,29.092976075554297,-0.2684751452193312,1.1841418296175388e-05,7.712986463644194,11.916132230949184,0.8421052631578947,0.6956521739130435,23,19
1202,3,ETV6,R-1202,-1.0,29.092976075554297,0.2676124629613002,1.2661525484619932e-05,-5.208453660306654,6.32744336742232,0.8421052631578947,0.6956521739130435,23,19
1184,3,ETV6,R-1184,-1.0,29.092976075554297,-0.3039908551536458,6.128314105027812e-07,8.602502016287609,13.304289071129755,0.8421052631578947,0.6956521739130435,23,19
1200,3,ETV6,R-1200,-1.0,29.092976075554297,-0.2305309398332654,0.0001821014953019,6.00411126607053,7.748644955225773,0.8421052631578947,0.6956521739130435,23,19
1183,3,ETV6,R-1183,-1.0,29.092976075554297,-0.2594705106333013,2.3554288493181277e-05,4.274046879016716,4.47224581145516,0.8421052631578947,0.6956521739130435,23,19
1198,3,ETV6,R-1198,-1.0,29.092976075554297,-0.1100275588647681,0.077139312918613,3.141632933305393,2.6882348072616904,0.8421052631578947,0.6956521739130435,23,19
1182,3,ETV6,R-1182,-1.0,29.092976075554297,0.2549326223744828,3.299999024296705e-05,-12.13701734849128,26.141038137361683,0.8421052631578947,0.6956521739130435,23,19
1199,3,ETV6,R-1199,-1.0,29.092976075554297,-0.361765701300585,1.994001498794837e-09,9.23184399669768,15.769241426558104,0.8421052631578947,0.6956521739130435,23,19
1196,3,ETV6,R-1196,-1.0,29.092976075554297,0.3869485636927497,1.1167449184813216e-10,-2.211523220081171,1.539268624016806,0.8421052631578947,0.6956521739130435,23,19
1185,3,ETV6,R-1185,-1.0,29.092976075554297,-0.2455826386058944,6.482975943332336e-05,7.033689021697812,10.037681920778237,0.8421052631578947,0.6956521739130435,23,19
1181,3,ETV6,R-1181,-1.0,29.092976075554297,-0.1772891470565889,0.0042083752855768,7.173678961973806,10.02727411370651,0.8421052631578947,0.6956521739130435,23,19
1194,3,ETV6,R-1194,-1.0,29.092976075554297,-0.0949005739703413,0.127675483969391,10.639475053535866,18.77941231780975,0.8421052631578947,0.6956521739130435,23,19
1187,3,ETV6,R-1187,-1.0,29.092976075554297,-0.1851900456551619,0.0027728588975105,5.46679142856915,6.712355008847334,0.8421052631578947,0.6956521739130435,23,19
1190,3,ETV6,R-1190,-1.0,29.092976075554297,0.2627865534842278,1.833743086605973e-05,-7.723339849446398,12.000210804523777,0.8421052631578947,0.6956521739130435,23,19
332,3,MEIS1,R-332,-1.0,20.716676353841645,-0.3746099280983002,4.728309581599415e-10,9.766386046632435,15.931326229951347,1.0,0.8,20,16
337,3,MEIS1,R-337,-1.0,20.716676353841645,0.6860043790276348,2.3140990153881195e-37,-10.640511157522628,20.507028209618635,1.0,0.8,20,16
333,3,MEIS1,R-333,-1.0,20.716676353841645,-0.5024802978291351,5.6318540293514475e-18,15.994286030152816,34.43364377180311,1.0,0.8,20,16
343,3,MEIS1,R-343,-1.0,20.716676353841645,0.2643620364550597,1.6261764581162145e-05,-5.8502325870340375,7.438257096782195,1.0,0.8,20,16
346,3,MEIS1,R-346,-1.0,20.716676353841645,-0.3759933969236294,4.03395692120234e-10,6.304395398667552,8.394049873741645,1.0,0.8,20,16
340,3,MEIS1,R-340,-1.0,20.716676353841645,-0.3078345915555218,4.3398706392487387e-07,3.8596283180011146,3.812397719227006,1.0,0.8,20,16
330,3,MEIS1,R-330,-1.0,20.716676353841645,0.4913773216098797,3.783258445351172e-17,-12.772674250652974,28.52625681505627,1.0,0.8,20,16
339,3,MEIS1,R-339,-1.0,20.716676353841645,0.4416097416097415,8.675354917612704e-14,-8.592072212262396,13.950117816208422,1.0,0.8,20,16
338,3,MEIS1,R-338,-1.0,20.716676353841645,-0.3573901271575689,3.209342848759537e-09,9.763778306811304,16.479466289207174,1.0,0.8,20,16
349,3,MEIS1,R-349,-1.0,20.716676353841645,0.3132752225775481,2.640430293914026e-07,-8.335470948888412,13.366375276354994,1.0,0.8,20,16
331,3,MEIS1,R-331,-1.0,20.716676353841645,0.2875729550148154,2.5332612368210324e-06,-8.589815898195043,13.257628076853829,1.0,0.8,20,16
344,3,MEIS1,R-344,-1.0,20.716676353841645,-0.5207147346682229,2.1136329043504805e-19,13.595080321625662,26.486923274429707,1.0,0.8,20,16
347,3,MEIS1,R-347,-1.0,20.716676353841645,0.1402345611647937,0.0240011964612661,-2.530662677560628,1.898563169512844,1.0,0.8,20,16
335,3,MEIS1,R-335,-1.0,20.716676353841645,-0.3905008253845463,7.288060310785933e-11,8.256133105040686,12.387939251421615,1.0,0.8,20,16
336,3,MEIS1,R-336,-1.0,20.716676353841645,0.3938099612518216,4.8747312018480926e-11,-8.509001111146004,14.798709341783391,1.0,0.8,20,16
334,3,MEIS1,R-334,-1.0,20.716676353841645,-0.2599153203804366,2.278082305465096e-05,5.79696600507256,7.2588709165711105,1.0,0.8,20,16
8402,3,HOXD8,R-8402,-1.0,10.532186740342055,0.2072999910209212,0.0007891408640408,-4.920480967751315,5.635127916641192,0.7058823529411765,0.48,25,17
8406,3,HOXD8,R-8406,-1.0,10.532186740342055,0.1868200937968379,0.0025389275980619,-3.3122380100972557,2.9232163203688746,0.7058823529411765,0.48,25,17
8393,3,HOXD8,R-8393,-1.0,10.532186740342055,-0.3284471028657075,6.262139096776299e-08,3.7662814905929793,3.589951297770383,0.7058823529411765,0.48,25,17
8405,3,HOXD8,R-8405,-1.0,10.532186740342055,0.2193982635843101,0.0003747709650785,-6.194313325416053,8.263775522156955,0.7058823529411765,0.48,25,17
8404,3,HOXD8,R-8404,-1.0,10.532186740342055,0.3197139127371686,1.4476238800353386e-07,-12.167309939788584,23.14411558950453,0.7058823529411765,0.48,25,17
8398,3,HOXD8,R-8398,-1.0,10.532186740342055,0.2471892030031564,5.7834996224649035e-05,-12.776140429068164,26.603304516084407,0.7058823529411765,0.48,25,17
8407,3,HOXD8,R-8407,-1.0,10.532186740342055,0.2558830233248838,3.0765718516235104e-05,-2.0955801618209193,1.4254211768457026,0.7058823529411765,0.48,25,17
8411,3,HOXD8,R-8411,-1.0,10.532186740342055,0.3419122674936628,1.6322771112788078e-08,-3.659214344272879,3.445985316724045,0.7058823529411765,0.48,25,17
