,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned,Fraction_of_aligned_and_diff_exp_edges,number_downstream_regulons,number_differentially_expressed_regulons
5085,2,NR3C2,5085,1.0,4.835777489664721,0.5039880923601853,4.32491544368923e-18,8.05307636815383,6.3757229166903,1.0,1.0,4,4
5088,2,NR3C2,5088,1.0,4.835777489664721,0.47289147056588915,7.766878494269156e-16,5.988915329956151,4.14351083910273,1.0,1.0,4,4
5087,2,NR3C2,5087,1.0,4.835777489664721,0.26555901672180743,1.4835751769082013e-05,5.195266756124106,3.6039982051476245,1.0,1.0,4,4
5086,2,NR3C2,5086,1.0,4.835777489664721,-0.2358624405136033,0.00012726842427693372,-3.817210185686998,2.6151239652629674,1.0,1.0,4,4
1188,2,ETV6,1188,1.0,5.81303997506956,0.29459735738805504,1.3952554391688362e-06,3.5925998013531806,2.3584804717013412,1.0,0.43478260869565216,23,10
1193,2,ETV6,1193,1.0,5.81303997506956,-0.3013137082904524,7.770714589514259e-07,-2.5261193925415744,1.6157464309793201,1.0,0.43478260869565216,23,10
1203,2,ETV6,1203,1.0,5.81303997506956,0.1201110642971108,0.05352638907064224,3.4307666102863386,2.348218263103821,1.0,0.43478260869565216,23,10
1189,2,ETV6,1189,1.0,5.81303997506956,-0.26847514521933125,1.1841418296175388e-05,-2.179482827459554,1.3031807799135926,1.0,0.43478260869565216,23,10
1202,2,ETV6,1202,1.0,5.81303997506956,0.2676124629613002,1.2661525484619932e-05,2.8545550814885896,1.8006624250704304,1.0,0.43478260869565216,23,10
1184,2,ETV6,1184,1.0,5.81303997506956,-0.3039908551536458,6.128314105027812e-07,-2.619160858727333,1.662249565366007,1.0,0.43478260869565216,23,10
1183,2,ETV6,1183,1.0,5.81303997506956,-0.25947051063330134,2.3554288493181277e-05,-2.9639621462821255,1.972219882385177,1.0,0.43478260869565216,23,10
1182,2,ETV6,1182,1.0,5.81303997506956,0.25493262237448283,3.299999024296705e-05,7.663554357194177,6.131775116971269,1.0,0.43478260869565216,23,10
1185,2,ETV6,1185,1.0,5.81303997506956,-0.24558263860589444,6.482975943332336e-05,-2.4416245109588592,1.5268413308110784,1.0,0.43478260869565216,23,10
1181,2,ETV6,1181,1.0,5.81303997506956,-0.1772891470565889,0.004208375285576811,-2.4638292674505813,1.5635738540512587,1.0,0.43478260869565216,23,10
341,2,MEIS1,341,1.0,4.139713048585479,-0.14885171396799304,0.01651527547220987,-6.477306447015213,4.537019826501713,0.9285714285714286,0.65,20,14
332,2,MEIS1,332,1.0,4.139713048585479,-0.3746099280983002,4.728309581599416e-10,-3.057426972817773,2.014262751263686,0.9285714285714286,0.65,20,14
337,2,MEIS1,337,1.0,4.139713048585479,0.6860043790276348,2.3140990153881195e-37,5.352938719344316,3.5893835963512615,0.9285714285714286,0.65,20,14
333,2,MEIS1,333,1.0,4.139713048585479,-0.5024802978291351,5.631854029351447e-18,-3.9210059763062115,2.6947485314232558,0.9285714285714286,0.65,20,14
343,2,MEIS1,343,1.0,4.139713048585479,0.2643620364550597,1.6261764581162145e-05,5.199355391520649,3.506806320200121,0.9285714285714286,0.65,20,14
330,2,MEIS1,330,1.0,4.139713048585479,0.49137732160987974,3.783258445351172e-17,7.647616646702836,6.59459748576624,0.9285714285714286,0.65,20,14
339,2,MEIS1,339,1.0,4.139713048585479,0.44160974160974154,8.675354917612703e-14,4.742913685858082,3.530916481340095,0.9285714285714286,0.65,20,14
338,2,MEIS1,338,1.0,4.139713048585479,-0.35739012715756896,3.209342848759537e-09,-3.0116095910229856,1.9614202214278948,0.9285714285714286,0.65,20,14
349,2,MEIS1,349,1.0,4.139713048585479,0.31327522257754814,2.640430293914026e-07,6.837796913452939,4.743411798210053,0.9285714285714286,0.65,20,14
331,2,MEIS1,331,1.0,4.139713048585479,0.28757295501481545,2.5332612368210324e-06,7.393055417657434,5.4792159908295,0.9285714285714286,0.65,20,14
344,2,MEIS1,344,1.0,4.139713048585479,-0.5207147346682229,2.1136329043504805e-19,-2.925486265770764,1.886266888988538,0.9285714285714286,0.65,20,14
335,2,MEIS1,335,1.0,4.139713048585479,-0.3905008253845463,7.288060310785933e-11,-2.590422183989442,1.6802749366642353,0.9285714285714286,0.65,20,14
334,2,MEIS1,334,1.0,4.139713048585479,-0.25991532038043663,2.278082305465096e-05,-6.231955607186935,4.8834308577154655,0.9285714285714286,0.65,20,14
9752,2,ERG,9752,-1.0,2.810728693799819,0.48948895227964995,5.1950726851440944e-17,-6.93164727668934,5.764019203633113,1.0,0.8,5,4
9756,2,ERG,9756,-1.0,2.810728693799819,0.3459390389622947,1.0781742607006456e-08,-4.401286595649479,3.1287124914249196,1.0,0.8,5,4
9753,2,ERG,9753,-1.0,2.810728693799819,0.6912737168551122,3.897461567399284e-38,-3.6178185317343523,2.498470217957658,1.0,0.8,5,4
9755,2,ERG,9755,-1.0,2.810728693799819,0.3567747149142498,3.429542611770571e-09,-5.71028483256304,4.3901458397156325,1.0,0.8,5,4
5730,2,MECOM,5730,-1.0,1.6790592637861468,0.41933264723962393,1.879094812459887e-12,-7.355342693392191,5.124933924817964,0.21428571428571427,0.12,25,14
5721,2,MECOM,5721,-1.0,1.6790592637861468,0.38689537991863576,1.1238596082679142e-10,-3.622317505329777,2.5737766886652262,0.21428571428571427,0.12,25,14
5723,2,MECOM,5723,-1.0,1.6790592637861468,0.4483923995551902,3.249625026516602e-14,-4.312507854045396,3.0888169094908315,0.21428571428571427,0.12,25,14
1424,2,SP1,1424,1.0,4.740673831305924,0.34635069518790446,1.0330771190629195e-08,3.9651197659468993,2.7320937514532253,0.9444444444444444,0.68,25,18
1432,2,SP1,1432,1.0,4.740673831305924,-0.3998162742348788,2.3223751063100648e-11,-3.630093212891092,2.4935898900362994,0.9444444444444444,0.68,25,18
1421,2,SP1,1421,1.0,4.740673831305924,0.5509175927780579,5.8377396235315225e-22,6.726178053891287,4.589922368111445,0.9444444444444444,0.68,25,18
1433,2,SP1,1433,1.0,4.740673831305924,0.3578694718229602,3.047372206404245e-09,3.7657912205163604,2.542134375745511,0.9444444444444444,0.68,25,18
1430,2,SP1,1430,1.0,4.740673831305924,0.5945607503747038,3.777300098305216e-26,8.282990615184483,5.688950894092448,0.9444444444444444,0.68,25,18
1414,2,SP1,1414,1.0,4.740673831305924,-0.37004993749179793,7.93886937462918e-10,-4.969427556896348,3.580460392265004,0.9444444444444444,0.68,25,18
1412,2,SP1,1412,1.0,4.740673831305924,0.6926005484145019,2.4738030234801215e-38,6.844037585483816,4.981612679062063,0.9444444444444444,0.68,25,18
1431,2,SP1,1431,1.0,4.740673831305924,0.5807129388524737,9.433829450330143e-25,6.831698042491871,4.6283671524012675,0.9444444444444444,0.68,25,18
1428,2,SP1,1428,1.0,4.740673831305924,0.5187683466753235,3.029086817455299e-19,3.514965863593747,2.449222636119653,0.9444444444444444,0.68,25,18
1411,2,SP1,1411,1.0,4.740673831305924,0.5306248748109214,3.2624973830259057e-20,6.988971349355654,5.570679214960522,0.9444444444444444,0.68,25,18
1416,2,SP1,1416,1.0,4.740673831305924,0.5659098914912868,2.4937887736162984e-23,7.087802254689977,4.708998415995244,0.9444444444444444,0.68,25,18
1420,2,SP1,1420,1.0,4.740673831305924,0.2312520289264475,0.0001735715055647686,3.421707344039554,2.559335066515835,0.9444444444444444,0.68,25,18
1427,2,SP1,1427,1.0,4.740673831305924,-0.3738674273557995,5.147428888288865e-10,-2.3115873150059607,1.4099749009197964,0.9444444444444444,0.68,25,18
1429,2,SP1,1429,1.0,4.740673831305924,-0.2820149052707192,4.015622867285134e-06,-2.3257452725414773,1.4166479826121066,0.9444444444444444,0.68,25,18
1413,2,SP1,1413,1.0,4.740673831305924,-0.40564853122992656,1.1142870592844798e-11,-2.38956938395437,1.5038237001381032,0.9444444444444444,0.68,25,18
1415,2,SP1,1415,1.0,4.740673831305924,0.26213798771938307,1.926279563337064e-05,7.898609108657164,5.57771390026574,0.9444444444444444,0.68,25,18
1419,2,SP1,1419,1.0,4.740673831305924,0.3750789122882146,4.480850959336368e-10,7.084469282658382,4.829896139117767,0.9444444444444444,0.68,25,18
1927,2,HSF4,1927,1.0,2.2046759482143736,0.4165277211788839,2.724431159740206e-12,4.404767739050404,3.080380481516401,1.0,0.7777777777777778,9,7
1928,2,HSF4,1928,1.0,2.2046759482143736,0.06533315835641416,0.2948822249289542,4.153799752244861,2.803873517763221,1.0,0.7777777777777778,9,7
1923,2,HSF4,1923,1.0,2.2046759482143736,-0.3615370801417313,2.0445725297230575e-09,-2.2184129924964875,1.3334560154354045,1.0,0.7777777777777778,9,7
1921,2,HSF4,1921,1.0,2.2046759482143736,-0.2384553221762524,0.00010659916843956389,-4.326931545795442,3.0160189261993233,1.0,0.7777777777777778,9,7
1922,2,HSF4,1922,1.0,2.2046759482143736,-0.37305723817351727,5.645869756146503e-10,-6.743866762955773,5.298972302919861,1.0,0.7777777777777778,9,7
1925,2,HSF4,1925,1.0,2.2046759482143736,0.35633612145240046,3.59532582567117e-09,6.430194883150182,4.456273447872449,1.0,0.7777777777777778,9,7
1920,2,HSF4,1920,1.0,2.2046759482143736,0.40625012950594347,1.0321543163792206e-11,7.455476180942889,6.647029115063487,1.0,0.7777777777777778,9,7
2877,2,BPTF,2877,1.0,3.561603555360537,0.32774466262838353,6.705341670021294e-08,7.174289466845283,4.918651975172129,0.9473684210526315,0.72,25,19
2870,2,BPTF,2870,1.0,3.561603555360537,-0.39482390645181337,4.305696591982261e-11,-4.8975808834520045,3.51628260286443,0.9473684210526315,0.72,25,19
2891,2,BPTF,2891,1.0,3.561603555360537,0.27707433986503754,5.998185276333228e-06,6.365828227881868,4.59246904965064,0.9473684210526315,0.72,25,19
2882,2,BPTF,2882,1.0,3.561603555360537,0.7661440382370615,2.9093786754592317e-51,3.1654309433439853,2.0934560089944276,0.9473684210526315,0.72,25,19
2889,2,BPTF,2889,1.0,3.561603555360537,-0.4780268129105338,3.4164881191496296e-16,-4.0068443876840725,2.757310110908435,0.9473684210526315,0.72,25,19
2887,2,BPTF,2887,1.0,3.561603555360537,0.6732734267617988,1.4703182057028643e-35,7.566230256284575,5.107731018153262,0.9473684210526315,0.72,25,19
2875,2,BPTF,2875,1.0,3.561603555360537,0.6116127116127116,5.765854134816865e-28,6.9959200444372955,4.679981074304381,0.9473684210526315,0.72,25,19
2876,2,BPTF,2876,1.0,3.561603555360537,0.2755347732091918,6.78643447393456e-06,8.026390559585531,5.536274114932528,0.9473684210526315,0.72,25,19
2872,2,BPTF,2872,1.0,3.561603555360537,0.24054537542909638,9.227654691974006e-05,8.20524316124677,5.8158185502322715,0.9473684210526315,0.72,25,19
2880,2,BPTF,2880,1.0,3.561603555360537,-0.7089334926544228,7.455672116033322e-41,-2.4507670990113217,1.5203456957933827,0.9473684210526315,0.72,25,19
2873,2,BPTF,2873,1.0,3.561603555360537,0.41279725930888717,4.4414774469443766e-12,5.31018208695368,3.6942471518365525,0.9473684210526315,0.72,25,19
2867,2,BPTF,2867,1.0,3.561603555360537,0.3930108232433813,5.374133279795497e-11,7.908280052200342,6.326949554727333,0.9473684210526315,0.72,25,19
2883,2,BPTF,2883,1.0,3.561603555360537,0.2653524979106374,1.5073012343862297e-05,3.706585804209097,2.482164906195871,0.9473684210526315,0.72,25,19
2869,2,BPTF,2869,1.0,3.561603555360537,-0.319551598621366,1.469979971824794e-07,-3.18359670247815,2.137532912246337,0.9473684210526315,0.72,25,19
2885,2,BPTF,2885,1.0,3.561603555360537,0.5951927393787858,3.249269434964814e-26,3.4046445481349745,2.313327539483145,0.9473684210526315,0.72,25,19
2868,2,BPTF,2868,1.0,3.561603555360537,0.7899012992036247,1.6516315824561575e-56,6.6809311607799735,4.878462352856451,0.9473684210526315,0.72,25,19
2886,2,BPTF,2886,1.0,3.561603555360537,-0.6479206525718153,3.179555806204747e-32,-4.1711496836707855,2.925108389822624,0.9473684210526315,0.72,25,19
2871,2,BPTF,2871,1.0,3.561603555360537,-0.5731774196890476,5.100627390614179e-24,-2.291903679461849,1.415714125781321,0.9473684210526315,0.72,25,19
6588,2,ESRRA,6588,-1.0,2.126062338211747,-0.4172052962750637,2.4913899405355884e-12,2.748088377892054,1.8115136327805141,0.75,0.48,25,16
6581,2,ESRRA,6581,-1.0,2.126062338211747,0.47492350515606335,5.621204533172683e-16,-2.531538282951715,1.6362834297902544,0.75,0.48,25,16
6589,2,ESRRA,6589,-1.0,2.126062338211747,0.46974257671932085,1.2764649289378646e-15,-2.7947019345742032,1.803613020757123,0.75,0.48,25,16
6593,2,ESRRA,6593,-1.0,2.126062338211747,0.31629219303637907,1.9958763770170187e-07,-2.210013200001726,1.3254278596554485,0.75,0.48,25,16
6601,2,ESRRA,6601,-1.0,2.126062338211747,-0.31028311725986146,3.474495973525242e-07,5.480316218766299,3.8479201239007725,0.75,0.48,25,16
6590,2,ESRRA,6590,-1.0,2.126062338211747,-0.22704567588288518,0.00022913939830544066,8.078010586525245,5.780565609313331,0.75,0.48,25,16
6582,2,ESRRA,6582,-1.0,2.126062338211747,0.33096469840655884,4.894013975496481e-08,-4.520947371025689,3.189901382417985,0.75,0.48,25,16
6587,2,ESRRA,6587,-1.0,2.126062338211747,-0.38103480429061826,2.2470941215515087e-10,5.187467757686526,3.885512945598107,0.75,0.48,25,16
6597,2,ESRRA,6597,-1.0,2.126062338211747,-0.17944896084430967,0.003760947498367681,4.149725783956156,2.936157015601742,0.75,0.48,25,16
6580,2,ESRRA,6580,-1.0,2.126062338211747,0.2969284643703248,1.1406597833356197e-06,-3.1802956735070858,2.124866722118669,0.75,0.48,25,16
6579,2,ESRRA,6579,-1.0,2.126062338211747,-0.2826033802777989,3.826239021950632e-06,6.585377083174155,4.779875248241128,0.75,0.48,25,16
6584,2,ESRRA,6584,-1.0,2.126062338211747,-0.24697577720833533,5.8721464730099756e-05,6.748026554505661,4.548359943017424,0.75,0.48,25,16
9443,2,TBR1,9443,-1.0,1.4408028530093389,0.17264410219395854,0.0053370404624739085,-2.7656763444839414,1.8227756419660035,0.5,0.4,5,4
9442,2,TBR1,9442,-1.0,1.4408028530093389,0.19765334422183384,0.0013879629344426374,-3.3970413391138794,2.2527181253888213,0.5,0.4,5,4
3875,2,HOXD13,3875,-1.0,4.016808962940074,0.3762701073899146,3.9074771687641773e-10,-2.8866812007157523,1.902725405535289,0.625,0.4,25,16
3879,2,HOXD13,3879,-1.0,4.016808962940074,-0.21982794785761534,0.00036471368476752883,7.464092864012116,5.194479825174576,0.625,0.4,25,16
3892,2,HOXD13,3892,-1.0,4.016808962940074,0.29129607273645897,1.8503441231705344e-06,-4.5209139319812826,3.1937838422958134,0.625,0.4,25,16
3889,2,HOXD13,3889,-1.0,4.016808962940074,0.09253511956755787,0.13749169134917735,-3.4420728969079177,2.308249609169154,0.625,0.4,25,16
3896,2,HOXD13,3896,-1.0,4.016808962940074,0.3679324991587627,1.0071049489693874e-09,-2.8939975887793072,1.8598428444829234,0.625,0.4,25,16
3883,2,HOXD13,3883,-1.0,4.016808962940074,0.3766410976223485,3.7439275863765264e-10,-8.011288040547848,5.88511586039837,0.625,0.4,25,16
3886,2,HOXD13,3886,-1.0,4.016808962940074,-0.2314046393378667,0.0001718147961186586,9.953391645555588,8.902496340956525,0.625,0.4,25,16
3882,2,HOXD13,3882,-1.0,4.016808962940074,0.22389398698795007,0.0002812116151106396,-6.89024206928324,4.9555618818280855,0.625,0.4,25,16
3873,2,HOXD13,3873,-1.0,4.016808962940074,-0.22327739707650265,0.00029260920727043794,7.482843129710666,5.944907647428022,0.625,0.4,25,16
3880,2,HOXD13,3880,-1.0,4.016808962940074,0.37751537721107314,3.3843455852865707e-10,-2.8671188420645155,1.8306048954869374,0.625,0.4,25,16
3987,2,STAT5B,3987,1.0,5.815987796499486,-0.513688260199888,7.665158162800141e-19,-2.5228959673118636,1.5462625338769913,0.9,0.782608695652174,23,20
3993,2,STAT5B,3993,1.0,5.815987796499486,-0.31684475172847265,1.895516797566848e-07,-5.59823018358133,3.9531205787014856,0.9,0.782608695652174,23,20
3990,2,STAT5B,3990,1.0,5.815987796499486,0.3735310572519875,5.348957553165303e-10,2.7648360430282737,1.7351783252671393,0.9,0.782608695652174,23,20
3982,2,STAT5B,3982,1.0,5.815987796499486,-0.28658663774942844,2.7510434974024467e-06,-4.446299194153134,3.1130967442903077,0.9,0.782608695652174,23,20
3981,2,STAT5B,3981,1.0,5.815987796499486,0.5322956741561393,2.3664593831973938e-20,6.32839121706521,4.627640032171787,0.9,0.782608695652174,23,20
3995,2,STAT5B,3995,1.0,5.815987796499486,0.47841153189990393,3.210837893846944e-16,4.110995502018912,2.777288297733776,0.9,0.782608695652174,23,20
3994,2,STAT5B,3994,1.0,5.815987796499486,0.3828692991483689,1.8116336744095195e-10,2.6229517774139364,1.6699742912569613,0.9,0.782608695652174,23,20
3996,2,STAT5B,3996,1.0,5.815987796499486,-0.2961286356635194,1.2225436572068622e-06,-4.102394671615642,2.822044083445878,0.9,0.782608695652174,23,20
3999,2,STAT5B,3999,1.0,5.815987796499486,0.4923104551011527,3.232173742439506e-17,5.154271911253062,4.2503702530611545,0.9,0.782608695652174,23,20
3983,2,STAT5B,3983,1.0,5.815987796499486,-0.32463237579516646,9.059508635972976e-08,-5.835061739069313,4.504229934151004,0.9,0.782608695652174,23,20
3984,2,STAT5B,3984,1.0,5.815987796499486,-0.3189879887554306,1.5502142054456263e-07,-3.4347137304652815,2.3186306466474336,0.9,0.782608695652174,23,20
3986,2,STAT5B,3986,1.0,5.815987796499486,0.6989777664196267,2.6877276586897503e-39,6.412193488264036,4.354539989734632,0.9,0.782608695652174,23,20
3991,2,STAT5B,3991,1.0,5.815987796499486,0.2730309916356428,8.282421942565109e-06,6.46575841195488,4.559046314534479,0.9,0.782608695652174,23,20
3992,2,STAT5B,3992,1.0,5.815987796499486,-0.4624791927117508,3.938387247106077e-15,-3.31858432120566,2.185061519839829,0.9,0.782608695652174,23,20
3985,2,STAT5B,3985,1.0,5.815987796499486,-0.24034576360157753,9.356210439452227e-05,-5.93722634107632,4.113269468522582,0.9,0.782608695652174,23,20
3980,2,STAT5B,3980,1.0,5.815987796499486,0.7939259985771613,1.8266530511301407e-57,5.544580681601225,4.12410533892481,0.9,0.782608695652174,23,20
4002,2,STAT5B,4002,1.0,5.815987796499486,-0.3612062356248403,2.119960751334408e-09,-5.315674513265881,4.347929090846721,0.9,0.782608695652174,23,20
3998,2,STAT5B,3998,1.0,5.815987796499486,-0.4862033001567886,8.978617596515291e-17,-2.230128671734302,1.3165440599475262,0.9,0.782608695652174,23,20
3573,2,ZBTB4,3573,1.0,2.364735240547847,-0.2543641776199916,3.4408662656686135e-05,-4.269214973927709,3.051345339191132,0.8888888888888888,0.5333333333333333,15,9
3572,2,ZBTB4,3572,1.0,2.364735240547847,-0.509784433040247,1.5481925420007324e-18,-2.5936368018361997,1.6937007860385977,0.8888888888888888,0.5333333333333333,15,9
3566,2,ZBTB4,3566,1.0,2.364735240547847,0.3597502434711737,2.4849581544008336e-09,6.102710654175793,4.4208096439081865,0.8888888888888888,0.5333333333333333,15,9
3569,2,ZBTB4,3569,1.0,2.364735240547847,0.35327563699656717,4.988090384870513e-09,5.6298856100573245,3.8980818611832446,0.8888888888888888,0.5333333333333333,15,9
3578,2,ZBTB4,3578,1.0,2.364735240547847,0.2701493980563748,1.0391463658081954e-05,4.004811860058871,2.6721609790462693,0.8888888888888888,0.5333333333333333,15,9
3565,2,ZBTB4,3565,1.0,2.364735240547847,0.25837713512132116,2.5562451152419822e-05,7.699137145792117,6.7502797969011255,0.8888888888888888,0.5333333333333333,15,9
3574,2,ZBTB4,3574,1.0,2.364735240547847,0.3834128787617159,1.6991765846107032e-10,4.7663613706867896,3.3390491531395092,0.8888888888888888,0.5333333333333333,15,9
3568,2,ZBTB4,3568,1.0,2.364735240547847,0.1903543973311415,0.002092161895972458,6.786218763443221,4.511546538609989,0.8888888888888888,0.5333333333333333,15,9
