,state
a1923b2a-b233-4760-8af9-c04c1caeb100,8.0
534ef1e9-9513-426e-b41e-a394ab2e4410,5.0
bce877a6-9c65-4495-a45d-05753f2d0e15,4.0
4d038320-adea-4990-8371-68b4b8162e1a,5.0
db9333a6-a723-4b8f-9221-25b8b23d5126,9.0
19cf7ddf-4f3a-4d2f-b84a-6451a5c3112c,6.0
cbbaeb5b-25fa-4b6d-a40c-357e37033e36,9.0
80880d71-bfde-4d88-892f-5adf27a38940,6.0
ca8db3ad-3f6b-4622-bf73-47041ec96e42,7.0
d7bddf49-c54b-4f8e-aca0-c3684ab68b5c,6.0
455111e5-18ef-4e3f-9dff-8fa017d92461,7.0
82ab290a-3993-45e5-8b15-6125a019778c,4.0
c14b1a44-43f7-45f0-a583-5667a4d3bd95,3.0
d0800d49-0033-44b2-8d7b-29b16f87ada6,2.0
0a7ffcbb-4baa-4a5f-8b2d-b427c4d982a8,3.0
c2cd2742-2fb4-468e-90ff-8f65a5c425a9,4.0
1d41cda2-0b29-48fd-b83a-e60c174dbcb3,3.0
6258a757-4e18-4cd1-8417-189521e990b6,5.0
a782ee71-eda4-4385-83b3-d16de81296c0,6.0
b2ab74b8-506c-4c27-9105-e86a6aaa89d4,9.0
a68b078d-8979-4070-bb4d-f526704ed3dc,4.0
89ae566c-f65f-43c2-ba97-621a7ac8b6dc,3.0
a9f8da21-a802-44cf-9f5d-96a36687dcdd,10.0
367d89f3-d527-4929-b830-8b6d553df9e1,1.0
9b440917-e5a4-43b9-a48d-6abfedca6cfd,3.0
2aff397c-ed2a-4fd9-a7f0-e4c61e9fb603,6.0
b15b0185-9c28-4a00-9cec-05efecea6709,3.0
ad319dc2-140f-4e7b-a899-010687d8b714,5.0
177c7ef4-2d54-4555-947c-44ee7c688917,6.0
9bd0ee79-1eed-4f6d-a5ab-43adb8526f1e,1.0
9dfef253-923f-4ee2-8e3d-c75805387b20,10.0
0e22b729-c381-4b0c-9897-62dd38f51722,1.0
6c96a851-97fc-4845-b895-d255191d9f25,3.0
ebfad137-050f-47d0-a43d-72b8f7d70c2b,3.0
dfa6d41a-d231-413e-a180-e42df26c3e2b,10.0
c3921a29-80ff-4b9d-b366-5c0238a42231,6.0
fb4c7892-3dbb-4148-aae9-75b19a1a4031,6.0
55d1629d-30fd-49aa-88ce-ea3ca9b30a3f,5.0
0356ae49-7a5c-42cc-a39c-7c8dfbff8842,2.0
1f8e8bb7-d159-4556-8b04-e5dd027cc444,5.0
7eb24744-509b-4854-b7d0-0bafa210a345,5.0
cd6f9e20-b301-4663-87ec-953edf49754f,6.0
266daf30-cf3e-493e-8b24-3931d0039450,1.0
6a6878a7-76b2-40de-958b-804442ac6a5d,3.0
6f5c4500-1ed1-4e81-b4f5-eea64ce2336a,3.0
bd027c69-3c10-4047-8e1e-218600ff2b73,5.0
92298ff7-1215-4756-b976-a7d88b91ad76,7.0
3c12f39d-0d21-4f69-a539-4120b73c7a79,5.0
87159081-c97a-4004-af0a-7eb6ef0ec47a,3.0
46ee1c2b-13f7-44a7-b27e-4ebb9df0ca83,5.0
8e566039-b56c-4f41-b9ef-de18beef2c95,3.0
a75594cc-3e49-4869-8656-bbb4e72bf59d,5.0
dab5f5b9-4fe5-468f-ad2b-b39bbc4317a0,6.0
08d3f984-6850-45b2-9df9-ec7f5a4060a4,9.0
a90af55c-4386-42ab-a812-9230026ea5a5,2.0
aad9685a-564b-42e9-91e3-431951154ba7,5.0
76d0f834-7064-46c6-96f4-e861cf5452b6,5.0
b6beffb5-2f62-477b-a4c8-478d29577cbd,5.0
6ebcffe3-706f-440a-aba9-012a924a07c6,5.0
cb9301b8-0282-43d6-af5e-b753a9c7bfcb,5.0
2e24a786-4370-42a1-ad50-d651f89819cc,5.0
0ed65d91-260c-4662-9903-ee36a2e3b2d0,5.0
39414b2a-7fb0-4669-8dfe-86d9af7ad2d9,9.0
8b75f7d4-98d8-44de-b19d-b733d6a031db,3.0
935cce4a-8aa8-454e-9dff-7de27d0bd2e2,9.0
7656da98-76dc-424b-b02c-d7001daaa0e4,8.0
565dd660-ed58-4065-8619-260bea6fcfeb,4.0
37ff09ed-73ec-4d10-b2ac-7d8eba9304ed,8.0
04823f53-a12d-4852-8f34-77b9dcbb7df0,5.0
93835c77-f8fa-4928-843c-8016a91881fa,3.0
96038e42-0fba-497d-819c-38f7689f10ff,3.0
c319a5ee-69fa-4aab-85a9-2eaad8e4c703,9.0
251094be-c33d-44f0-bd98-8618d71f520c,7.0
dd290860-e0b7-48fc-be12-2af729994c21,5.0
bfc5b75a-e4ae-486b-ba30-23bbaa33a125,5.0
2b1f01c3-8145-4296-8111-2b0474ab9a2c,5.0
2fb00daa-c274-42b1-a06b-611fe5e96844,3.0
ffaa0310-0d78-4499-8fb8-5bc46e4fce58,10.0
3ec982cb-d013-443e-b21d-39de6b8ef370,6.0
e9c28902-05c9-4883-97a4-d612d54e46b4,1.0
0c375b2f-67be-4708-beb2-544dec812dca,5.0
49684c2b-d31c-4b45-a400-3497c3ccec01,2.0
58578614-e4a3-4655-bbab-f65851625e0a,3.0
c2e1c6fa-82f9-467c-99ae-9b39faac810c,3.0
056442dc-e87a-4315-965c-c19d7b4fc40e,3.0
54a92c57-bd19-4a47-ba76-3aca2dc36212,6.0
c1d1fc82-b50d-4c82-8f03-06cee3c08d18,3.0
