,Coefficient
SP4,7.400991588594945e-06
GSC,-0.004878384487664292
GMEB1,-0.0009539937840251096
NF1,0.015171659170669377
ZNF8,0.0006421108156122016
SP3,0.0
TFAP4,-0.027321365398552414
XBP1,-0.000504384352371243
GZF1,0.029595101319871975
NFAT5,0.0
OSR2,-0.016525691150022795
ETV1,0.0007485346485787281
POU2F1,0.0
FLI1,-0.03810456458720675
ARID5B,-0.02415216649777347
PITX1,0.0
ELF1,3.3418984261155554e-05
ATF4,-0.002278410035333484
ZFX,0.0
ZNF281,0.0022970982359555247
ZNF652,-0.00023726935026074363
SREBF1,-0.00018034968171093535
POU3F2,0.0
RFX3,-0.12953287517560036
ZNF628,0.0
ELK3,0.0
KLF15,0.003283190856118582
ETV6,0.0
CEBPG,0.0
GLIS3,-0.056318445044866376
GLI1,0.0013687174882032547
GBX2,0.011622967571621996
BCL6,2.8538904540534793e-06
TCF7L2,-0.00515081606962936
DLX3,0.0
ESR1,0.004465626754917376
ZSCAN26,0.0
CREB5,0.019559626693566215
TEAD1,0.02884004787563628
E2F3,0.025341940526665878
ZNF143,0.0
TBP,0.0
SOX4,-0.004097107963280294
