,Coefficient
RBPJ,0.004692477817111626
ETV6,0.0
CEBPG,0.0
ETS2,0.0
GLIS3,-1.790497596584119e-05
SOX2,5.1487483797776855e-05
HIC1,0.0003113959402434059
HIVEP2,0.0
IKZF3,0.0
BCL6,0.0
SP3,0.00737318151583318
SOX12,0.0
MEIS1,0.0025293543719454325
KLF7,0.0
EP300,0.0
OSR2,0.0
ZBED6,0.21016627711333563
POU2F1,0.14889416790676438
ARID5B,0.02229985093396993
ARNT,0.005377158546485767
PLAG1,0.13107751452501895
HBP1,0.13241124942538682
TEAD1,0.0048485147104314966
IRF2,0.0008869531219932487
ATF2,0.0786558907490994
