,Alt_ID,in_degree,out_degree,out/in
ZFX,ZFX,2.0,12.0,6.0
MTERF1,MTERF1,2.0,6.0,3.0
REL,REL,3.0,9.0,3.0
TBP,TBP,1.0,3.0,3.0
TFEC,TFEC,2.0,5.0,2.5
SP4,SP4,3.0,6.0,2.0
KLF7,KLF7,3.0,5.0,1.6666666666666667
IRF2,IRF2,5.0,8.0,1.6
HESX1,HESX1,2.0,3.0,1.5
SP3,SP3,6.0,9.0,1.5
SOX2,SOX2,2.0,3.0,1.5
NR2C2,NR2C2,5.0,6.0,1.2
SOX5,SOX5,7.0,6.0,0.8571428571428571
ALX3,ALX3,3.0,2.0,0.6666666666666666
BPTF,BPTF,5.0,3.0,0.6
STAT5B,STAT5B,5.0,3.0,0.6
ZBTB18,ZBTB18,2.0,1.0,0.5
ONECUT1,ONECUT1,7.0,2.0,0.2857142857142857
TBX19,TBX19,11.0,2.0,0.18181818181818182
E2F6,E2F6,10.0,1.0,0.1
