,Source,Edge,Target
0,GSC,0.0043930631340863,GMEB2
1,HBP1,-0.0058880330514951,GMEB2
2,GLI1,0.0099521490436631,GMEB2
4,FOXP1,-0.0026937892855237,GMEB2
5,ZNF652,0.1626835024795228,ELF2
6,SMAD4,0.306000948969066,ELF2
7,GABPA,0.2310609931222537,ELF2
8,ELK4,0.1916253755855254,ELF2
9,POU2F1,0.2108294901983181,LHX4
10,HESX1,0.243098688753794,LHX4
11,ZNF281,0.2264665395140386,LHX4
12,ETS2,0.093025960444703,RORA
13,NR3C1,0.1727804672720843,RORA
14,TFEC,0.226195071075605,RORA
15,NFYC,-0.0830817439889233,RORA
16,DLX3,0.2271288122885671,RORA
17,GABPA,0.0831375097996456,RORA
18,FOXO3,0.0806627690240848,RORA
19,RBPJ,0.0046924778171116,ZSCAN26
23,GLIS3,-1.790497596584119e-05,ZSCAN26
24,SOX2,5.1487483797776855e-05,ZSCAN26
25,HIC1,0.0003113959402434,ZSCAN26
29,SP3,0.0073731815158331,ZSCAN26
31,MEIS1,0.0025293543719454,ZSCAN26
35,ZBED6,0.2101662771133356,ZSCAN26
36,POU2F1,0.1488941679067643,ZSCAN26
37,ARID5B,0.0222998509339699,ZSCAN26
38,ARNT,0.0053771585464857,ZSCAN26
39,PLAG1,0.1310775145250189,ZSCAN26
40,HBP1,0.1324112494253868,ZSCAN26
41,TEAD1,0.0048485147104314,ZSCAN26
42,IRF2,0.0008869531219932,ZSCAN26
43,ATF2,0.0786558907490994,ZSCAN26
44,IRF2,-0.1396313640199332,NFATC4
45,GLIS2,0.3218068360943265,NFATC4
46,GLIS3,0.2815271093031203,TNFRSF10A
47,ETV3,0.3328722876490543,GTF2A1
48,PKNOX1,0.2041317482978625,GTF2A1
49,ETV1,0.2561676392226646,GTF2A1
50,NR3C1,-0.0914237426094833,RARA
51,MNT,0.0872178316285046,RARA
52,STAT5B,0.1160284714487216,RARA
53,HIC1,0.0989589049541265,RARA
54,POU3F2,0.0651386379753025,RARA
55,GLIS2,0.1110995034697813,RARA
56,SOX12,0.1874738533500086,RARA
57,PITX1,0.3115966588612358,ELF3
58,GRHL1,0.2660615762105543,ELF3
59,TP63,0.1077374659257034,ELF3
60,SP3,0.3159053539735253,SP4
61,REL,0.2052356953841792,SP4
62,BDP1,0.2915865637258462,SP4
63,SP3,0.477323924877592,ZFX
64,ZNF148,0.3051978394966754,ZFX
65,RBPJ,0.2106240438131164,SP3
66,ZNF652,0.1104609169351031,SP3
67,PKNOX1,0.1168025005205228,SP3
68,RFX3,0.2373617413136893,SP3
69,NFYA,0.1032879816857454,SP3
70,FOXJ3,0.2092008088777125,SP3
71,ZFX,0.5229973484771994,YY2
72,PHOX2B,0.0764538920890932,BARX1
73,GSC,0.0596311397192006,DMBX1
74,SP100,-0.0515135797020216,DMBX1
75,MESP1,0.0718356324367548,DMBX1
76,ERF,0.026004616327907,DMBX1
77,IKZF2,-0.0434274048132488,DMBX1
78,NR3C1,-0.1120177860177357,FOSL1
79,HBP1,-0.2295059833365186,FOSL1
80,CREB3,0.062356899945408,FOSL1
81,ELK3,0.2620727215186573,FOSL1
82,SP4,-0.0987802561402567,MAZ
83,ZNF628,0.121187366333683,MAZ
84,E4F1,0.109447179419497,MAZ
85,TFAP4,0.2446243282704853,MAZ
86,SOX12,0.1960669809032374,MAZ
87,CENPB,0.0748521619451074,MAZ
88,GSC,0.1662507893978597,EN1
89,FLI1,0.1019188313890889,EN1
90,ZNF524,0.0800117011537773,EN1
91,IKZF3,0.063161043886599,EN1
92,DLX3,0.1992311543845006,EN1
93,FOXJ3,-0.0694519655722465,EN1
94,ZNF652,0.1681971813213472,HESX1
95,DR1,0.3404245760519458,HESX1
96,NF1,0.3867346321307533,RBPJ
97,DMBX1,-0.0889340282435471,RBPJ
98,KLF12,0.1506353900985303,RBPJ
99,SP4,0.2065537574847371,IKZF2
100,RFX3,0.1010522567261105,IKZF2
101,RORA,0.192713195734995,IKZF2
102,IKZF3,0.3831944141833501,IKZF2
103,TFAP4,0.3016419397113711,TRIM28
104,FOXM1,0.1112164162335426,TRIM28
105,MNT,0.0980507532524155,TRIM28
106,SIRT6,0.0739802466902178,TRIM28
107,ELK4,-0.1312042287191507,TRIM28
108,GMEB2,0.1112405713450829,TRIM28
109,POU2F1,0.1923111817053565,PLAG1
110,ZNF384,0.085972021862999,PLAG1
111,FOXM1,-0.1102218323389958,PLAG1
112,GABPA,0.2057871209973531,PLAG1
113,IRF2,0.3765430668107376,NFKB1
114,ELK3,0.232436624024128,NFKB1
115,CLOCK,0.159196199950119,NFKB1
116,RBPJ,0.2102124909322469,PKNOX1
117,ARID5B,0.0427489605472473,PKNOX1
118,GMEB1,0.1461733700249682,PKNOX1
119,TCF7L2,0.0610847907366488,PKNOX1
120,POU3F3,0.0148485901479476,PKNOX1
121,ELK4,0.0927141490122152,PKNOX1
122,PROX1,0.0282420348795555,PKNOX1
123,ZNF8,0.1964630594199492,BACH2
124,GLI1,0.1013349328459815,BACH2
125,ZFX,0.1347671041640917,BACH2
126,ARID5B,-0.0793017335764939,FOXM1
127,BCL6,-0.1425522841232063,FOXM1
128,ELK4,-0.0498943182162956,FOXM1
129,NFATC4,0.0350948107417821,FOXM1
130,HIVEP2,-0.0370823760599356,GSC2
131,DDIT3,-0.0887954825659718,GSC2
132,BDP1,-0.0583158779481015,GSC2
