,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned,Fraction_of_aligned_and_diff_exp_edges,number_downstream_regulons,number_differentially_expressed_regulons
1536,3,GLI3,1536,1.0,3.0352013839836913,0.298366857367086,4.0513737733053226e-11,3.8226728647150683,2.696010135891492,1.0,0.5714285714285714,7,4
1538,3,GLI3,1538,1.0,3.0352013839836913,0.22173874976847516,1.2041846303584434e-06,4.83730751242716,3.1506608641041147,1.0,0.5714285714285714,7,4
1537,3,GLI3,1537,1.0,3.0352013839836913,0.10905742713070085,0.018026615641100915,5.330352395679833,3.708453797091668,1.0,0.5714285714285714,7,4
1539,3,GLI3,1539,1.0,3.0352013839836913,0.2697218609486785,2.8097708255174955e-09,5.980525581815627,3.9270674916742796,1.0,0.5714285714285714,7,4
858,3,SATB1,858,1.0,3.1142882155101663,0.18625801162811198,4.848099526009397e-05,4.263637699155319,2.782662075070723,0.6363636363636364,0.28,25,11
868,3,SATB1,868,1.0,3.1142882155101663,0.3146752251173229,2.910550041503227e-12,2.9575055780813138,1.9248610673387838,0.6363636363636364,0.28,25,11
867,3,SATB1,867,1.0,3.1142882155101663,-0.10757532107915307,0.019661785476320845,-2.269804672094152,1.3259240219825523,0.6363636363636364,0.28,25,11
861,3,SATB1,861,1.0,3.1142882155101663,0.3746363144878092,4.154116029110588e-17,4.62392687327678,3.2336567777408884,0.6363636363636364,0.28,25,11
869,3,SATB1,869,1.0,3.1142882155101663,0.29456109382038764,7.317332153122295e-11,5.097962838317693,3.604601737369703,0.6363636363636364,0.28,25,11
873,3,SATB1,873,1.0,3.1142882155101663,0.3813733493105977,1.0163762696005006e-17,2.2231555722287295,1.335255963604314,0.6363636363636364,0.28,25,11
853,3,SATB1,853,1.0,3.1142882155101663,0.4864937697048994,2.6942542905195955e-29,3.9677060488568148,2.858021388413114,0.6363636363636364,0.28,25,11
3390,3,DBP,3390,-1.0,1.9213076241608904,-0.22183375804846986,1.1912864886666328e-06,4.579652977789471,3.4789911334355894,1.0,0.5714285714285714,7,4
3396,3,DBP,3396,-1.0,1.9213076241608904,-0.22101347366510915,1.3071559069553154e-06,3.87196423021832,2.606540759095109,1.0,0.5714285714285714,7,4
3394,3,DBP,3394,-1.0,1.9213076241608904,-0.31153382603949265,4.895560820412333e-12,4.28013541577048,2.809777143743913,1.0,0.5714285714285714,7,4
3393,3,DBP,3393,-1.0,1.9213076241608904,-0.09173968309190694,0.046837541390419034,3.3040924050042055,2.0917840564204098,1.0,0.5714285714285714,7,4
2064,3,BPTF,2064,1.0,3.029707660774777,0.2331815839972307,3.1802665520956425e-07,3.8126718025488717,2.509250644515259,0.9,0.36,25,10
2043,3,BPTF,2043,1.0,3.029707660774777,0.7223940121667235,5.300552638851336e-77,4.17791881891949,2.7174761379815786,0.9,0.36,25,10
2056,3,BPTF,2056,1.0,3.029707660774777,0.4136035791075406,7.569485375198522e-21,2.2881466327504514,1.349516073174416,0.9,0.36,25,10
2060,3,BPTF,2060,1.0,3.029707660774777,0.37088094462733673,8.977622784696684e-17,2.8682544823899296,1.7599509466392922,0.9,0.36,25,10
2040,3,BPTF,2040,1.0,3.029707660774777,0.712475009037056,5.1414607393314664e-74,3.894944331415726,2.801250074122903,0.9,0.36,25,10
2044,3,BPTF,2044,1.0,3.029707660774777,0.42503855377055455,4.841181394464041e-22,5.823714181083178,3.808807140415114,0.9,0.36,25,10
2050,3,BPTF,2050,1.0,3.029707660774777,0.41427614988769784,6.457899632456733e-21,6.227508811749395,4.391239670766652,0.9,0.36,25,10
2047,3,BPTF,2047,1.0,3.029707660774777,-0.27526193014175254,1.284833249682739e-09,-2.648181508281147,1.6240125616695846,0.9,0.36,25,10
2057,3,BPTF,2057,1.0,3.029707660774777,0.5319903685645111,1.0663609604490536e-35,2.890130814984969,1.8587182814934111,0.9,0.36,25,10
2563,3,PBX1,2563,1.0,3.0125264938579135,0.08392635008990824,0.06908810716317974,2.2588137992861057,1.3434108760852586,0.4,0.16,25,10
2547,3,PBX1,2547,1.0,3.0125264938579135,0.26368398073134997,6.4617144444935416e-09,4.242485557039522,3.1365647185367713,0.4,0.16,25,10
2568,3,PBX1,2568,1.0,3.0125264938579135,0.23098749375496827,4.1274595616365485e-07,2.5534950218746917,1.5561387156518078,0.4,0.16,25,10
2566,3,PBX1,2566,1.0,3.0125264938579135,0.09207787558249642,0.046029213898621635,2.5049255049089227,1.5422914327667618,0.4,0.16,25,10
3854,3,GATA1,3854,-1.0,1.9930122905402872,0.22575112551718537,7.60989433281282e-07,-3.7748165292080067,3.1666250452244293,1.0,0.4444444444444444,9,4
3859,3,GATA1,3859,-1.0,1.9930122905402872,0.21117663911169757,3.87096791349083e-06,-3.6607166555217403,2.37495091523004,1.0,0.4444444444444444,9,4
3852,3,GATA1,3852,-1.0,1.9930122905402872,0.19522327285379998,2.0247150772194952e-05,-2.7668405131393583,1.8000215676928022,1.0,0.4444444444444444,9,4
3856,3,GATA1,3856,-1.0,1.9930122905402872,0.2706670362229243,2.4617060932499437e-09,-2.956201368133599,1.884710431471248,1.0,0.4444444444444444,9,4
3319,3,MTF1,3319,1.0,3.114382057337499,0.500983457058887,3.1253961081155847e-31,2.4997957867206733,1.6187282337809767,0.9166666666666666,0.44,25,12
3325,3,MTF1,3325,1.0,3.114382057337499,0.4908819501894243,7.144867763632438e-30,3.7755091367782474,2.4009934090292235,0.9166666666666666,0.44,25,12
3326,3,MTF1,3326,1.0,3.114382057337499,-0.3133002634399297,3.6571776514759085e-12,-3.898679640320022,2.6312988580935492,0.9166666666666666,0.44,25,12
3320,3,MTF1,3320,1.0,3.114382057337499,0.4432033971817101,4.9195392557649904e-24,4.627623144414398,3.0390200281323967,0.9166666666666666,0.44,25,12
3329,3,MTF1,3329,1.0,3.114382057337499,0.2887227078746781,1.7820007047871063e-10,5.051103138536212,3.296894889342426,0.9166666666666666,0.44,25,12
3315,3,MTF1,3315,1.0,3.114382057337499,0.5686625244058299,1.2910678340018263e-41,4.29263184259083,3.173183439359247,0.9166666666666666,0.44,25,12
3338,3,MTF1,3338,1.0,3.114382057337499,0.5126279816143954,7.428904745675375e-33,4.1870216663887865,2.881068514515168,0.9166666666666666,0.44,25,12
3332,3,MTF1,3332,1.0,3.114382057337499,0.31287180152516036,3.92595105736569e-12,3.6581978637377888,2.4341029340944065,0.9166666666666666,0.44,25,12
3324,3,MTF1,3324,1.0,3.114382057337499,0.5068327076984158,4.8636726885313186e-32,5.555015617378856,3.6340508994935954,0.9166666666666666,0.44,25,12
3334,3,MTF1,3334,1.0,3.114382057337499,0.3209723554222769,1.0074198548056638e-12,3.7185789149142137,2.446493466985617,0.9166666666666666,0.44,25,12
3333,3,MTF1,3333,1.0,3.114382057337499,0.5827317249926389,4.3435342880257915e-44,6.671755910922195,5.186890148874217,0.9166666666666666,0.44,25,12
6076,3,ONECUT2,6076,1.0,2.8421492687781873,0.1797559488550245,8.906368484975966e-05,3.218709198628957,2.019831608158854,1.0,0.5,2,1
3979,3,TBX1,3979,-1.0,1.6763815315386257,-0.10117757745507072,0.028288100139053522,4.2095939290890225,2.7153839512705673,1.0,0.5882352941176471,17,10
3970,3,TBX1,3970,-1.0,1.6763815315386257,-0.22590837994900254,7.472943386720362e-07,4.950895523793937,3.446377606369844,1.0,0.5882352941176471,17,10
3966,3,TBX1,3966,-1.0,1.6763815315386257,-0.22370284582907612,9.629160152005409e-07,5.548680623885197,3.6813428462918347,1.0,0.5882352941176471,17,10
3975,3,TBX1,3975,-1.0,1.6763815315386257,0.4729336337308119,1.4453715420220996e-27,-2.698410323352334,1.669431297264746,1.0,0.5882352941176471,17,10
3968,3,TBX1,3968,-1.0,1.6763815315386257,-0.26586840016428637,4.792230848833597e-09,3.30919164161889,2.079748407575785,1.0,0.5882352941176471,17,10
3969,3,TBX1,3969,-1.0,1.6763815315386257,-0.1698465274424982,0.00021620185562028175,4.15061312411984,2.6846394791970822,1.0,0.5882352941176471,17,10
3967,3,TBX1,3967,-1.0,1.6763815315386257,-0.2001914036528265,1.2264468222872608e-05,4.803039909495806,3.124598198378868,1.0,0.5882352941176471,17,10
3972,3,TBX1,3972,-1.0,1.6763815315386257,-0.17968728734736436,8.962752010359836e-05,3.8188938837185,2.4316565268024846,1.0,0.5882352941176471,17,10
3980,3,TBX1,3980,-1.0,1.6763815315386257,0.46759975947411103,6.597870433058111e-27,-4.941430668696534,3.7309159134571597,1.0,0.5882352941176471,17,10
3964,3,TBX1,3964,-1.0,1.6763815315386257,0.5483474820047096,3.012015270927491e-38,-3.046331600103256,2.054227181344141,1.0,0.5882352941176471,17,10
1832,3,MAFG,1832,1.0,2.920046206495974,0.17286924138720183,0.00016579939921447097,4.455528519048242,3.1238103745069385,1.0,0.7368421052631579,19,14
1831,3,MAFG,1831,1.0,2.920046206495974,0.2211088286906513,1.2931510778424982e-06,2.5243562898766903,1.5211761478158097,1.0,0.7368421052631579,19,14
1838,3,MAFG,1838,1.0,2.920046206495974,0.3107343463889775,5.582770788522893e-12,5.089742156268,3.5120085752393275,1.0,0.7368421052631579,19,14
1835,3,MAFG,1835,1.0,2.920046206495974,0.2682078543067676,3.469036754123117e-09,2.292873267220326,1.3684955015003453,1.0,0.7368421052631579,19,14
1833,3,MAFG,1833,1.0,2.920046206495974,0.3336949118847326,1.0936582391811289e-13,2.298336549903204,1.370317391623274,1.0,0.7368421052631579,19,14
1825,3,MAFG,1825,1.0,2.920046206495974,0.6043409075082259,3.9471052704372996e-48,5.450327529779369,3.5892330163270763,1.0,0.7368421052631579,19,14
1830,3,MAFG,1830,1.0,2.920046206495974,0.27423094004740595,1.4882234716757285e-09,2.7902198195827084,1.6909768109972305,1.0,0.7368421052631579,19,14
1823,3,MAFG,1823,1.0,2.920046206495974,0.430350348811573,1.3018159171268185e-22,5.734769797355959,3.6733233286779976,1.0,0.7368421052631579,19,14
1826,3,MAFG,1826,1.0,2.920046206495974,0.43152454481700653,9.707151599510952e-23,4.504544037967924,2.938808857760207,1.0,0.7368421052631579,19,14
1827,3,MAFG,1827,1.0,2.920046206495974,0.37916585157383476,1.617952734249127e-17,3.3166809499958934,2.1268925416401516,1.0,0.7368421052631579,19,14
1828,3,MAFG,1828,1.0,2.920046206495974,0.36821031042106184,1.5435705120014648e-16,3.265927476388804,2.0653133849026286,1.0,0.7368421052631579,19,14
1829,3,MAFG,1829,1.0,2.920046206495974,0.32328353007772015,6.782249270166146e-13,4.603384931028107,3.0164262575027867,1.0,0.7368421052631579,19,14
1824,3,MAFG,1824,1.0,2.920046206495974,0.2904013030697673,1.3825244732088418e-10,4.281821870277769,3.015265563630628,1.0,0.7368421052631579,19,14
1821,3,MAFG,1821,1.0,2.920046206495974,0.21496600015430178,2.5632229645296647e-06,4.335123016379354,3.2071200524701067,1.0,0.7368421052631579,19,14
6138,3,ONECUT1,6138,1.0,3.180684435458944,0.18085746267636826,8.04626034038789e-05,4.369582874858302,3.045823002628192,1.0,0.6666666666666666,3,2
6139,3,ONECUT1,6139,1.0,3.180684435458944,0.34512929907121154,1.3589498461806005e-14,3.223707636730395,2.0073848749721175,1.0,0.6666666666666666,3,2
6021,3,SPIB,6021,1.0,2.981607189477709,0.3357270719563471,7.597091932167311e-14,2.4624426055850615,1.469267595014372,0.2,0.04,25,5
878,3,ETV6,878,1.0,3.0784228396840323,0.3519598491772451,3.7511185680082315e-15,4.8199594098852705,3.6700009877494533,0.8571428571428571,0.24,25,7
897,3,ETV6,897,1.0,3.0784228396840323,0.2413240941055858,1.1815482446917454e-07,3.477641380305543,2.249907943143804,0.8571428571428571,0.24,25,7
882,3,ETV6,882,1.0,3.0784228396840323,-0.20380680378334068,8.448624514333898e-06,-4.293184506540805,2.857387147229161,0.8571428571428571,0.24,25,7
881,3,ETV6,881,1.0,3.0784228396840323,0.4883057463538984,1.5610678887006048e-29,2.4895610560252064,1.5723584145016252,0.8571428571428571,0.24,25,7
883,3,ETV6,883,1.0,3.0784228396840323,0.2870434191884941,2.2933080324637756e-10,4.6842635668041765,3.3017855358225128,0.8571428571428571,0.24,25,7
886,3,ETV6,886,1.0,3.0784228396840323,-0.3422327119171533,2.3236871258576272e-14,-2.5388618156495606,1.534656798909584,0.8571428571428571,0.24,25,7
6275,3,FOXG1,6275,-1.0,1.6171579407705714,-0.16209615751949577,0.00041845375864212313,4.728320739106918,3.1694413340512653,0.3333333333333333,0.16666666666666666,6,3
4874,3,IRF4,4874,1.0,3.123868575999311,0.40787175962674005,2.8880451289414845e-20,3.0136501413083905,1.858913520513582,1.0,0.5333333333333333,15,8
4881,3,IRF4,4881,1.0,3.123868575999311,-0.06798333656480922,0.14112298791997774,-4.464871927952294,3.0277644721360324,1.0,0.5333333333333333,15,8
4883,3,IRF4,4883,1.0,3.123868575999311,0.28543371077549357,2.9160707662639134e-10,4.476462269541292,2.877809035964025,1.0,0.5333333333333333,15,8
4885,3,IRF4,4885,1.0,3.123868575999311,0.46289056912791476,2.4662798962777714e-26,3.061983937947213,1.892714320513847,1.0,0.5333333333333333,15,8
4886,3,IRF4,4886,1.0,3.123868575999311,0.2618878387956834,8.245281002761257e-09,4.1265261961247965,2.677002168545028,1.0,0.5333333333333333,15,8
4875,3,IRF4,4875,1.0,3.123868575999311,0.14751555370496175,0.0013407683785042958,3.6647672663924062,2.396419298214072,1.0,0.5333333333333333,15,8
4884,3,IRF4,4884,1.0,3.123868575999311,-0.1877336450961078,4.2107340447025546e-05,-4.0667670180908155,2.919294595526779,1.0,0.5333333333333333,15,8
4879,3,IRF4,4879,1.0,3.123868575999311,0.35912280311412176,9.400555379268214e-16,2.5019481949295703,1.4889131041503068,1.0,0.5333333333333333,15,8
1049,3,SP1,1049,1.0,3.019467244707469,0.2962367994692482,5.6463810328581724e-11,4.962930571477881,3.23679857592921,0.6666666666666666,0.32,25,12
1044,3,SP1,1044,1.0,3.019467244707469,-0.3597979166949602,8.236070752266112e-16,-2.8669059099673824,1.7871120010423855,0.6666666666666666,0.32,25,12
1055,3,SP1,1055,1.0,3.019467244707469,-0.07040835934165736,0.12744767448712513,-2.7626820272502,1.7275703458711864,0.6666666666666666,0.32,25,12
1045,3,SP1,1045,1.0,3.019467244707469,0.4958007669433601,1.5770873962402027e-30,4.724248704659315,3.090238101365159,0.6666666666666666,0.32,25,12
1046,3,SP1,1046,1.0,3.019467244707469,0.25688094867270145,1.6111208292845602e-08,5.137638699584182,3.4614561939829165,0.6666666666666666,0.32,25,12
1061,3,SP1,1061,1.0,3.019467244707469,0.47124008632808323,2.3475172426475382e-27,7.2112550774550686,5.523134122339259,0.6666666666666666,0.32,25,12
1040,3,SP1,1040,1.0,3.019467244707469,0.6268369495522793,1.1137748007286209e-52,4.548071353291846,3.403048585736186,0.6666666666666666,0.32,25,12
1052,3,SP1,1052,1.0,3.019467244707469,0.17387318532884918,0.00015165888910854592,2.2310274411661113,1.3059862527610473,0.6666666666666666,0.32,25,12
1419,3,HOXA2,1419,1.0,3.059599745096611,0.2641321525084658,6.078700411000397e-09,6.414378251830463,5.174513138890716,0.5,0.2857142857142857,7,4
1413,3,HOXA2,1413,1.0,3.059599745096611,0.24887259303383855,4.568964740484833e-08,4.004968195434299,2.914559278319689,0.5,0.2857142857142857,7,4
1996,3,NFKB1,1996,1.0,3.0109364799064147,0.45077412388235977,6.685904488043169e-25,6.1286546813341225,4.443038103678463,0.6666666666666666,0.16,25,6
2006,3,NFKB1,2006,1.0,3.0109364799064147,0.2570217273649564,1.5813633169151448e-08,3.1067997655747357,1.9349440016859816,0.6666666666666666,0.16,25,6
2000,3,NFKB1,2000,1.0,3.0109364799064147,0.35783510573283084,1.2087116183476722e-15,3.9090111599850967,2.509647727691837,0.6666666666666666,0.16,25,6
1991,3,NFKB1,1991,1.0,3.0109364799064147,0.5561496334177178,1.6320418850232847e-39,3.0818613123931957,2.0376929412413864,0.6666666666666666,0.16,25,6
527,3,ZNF740,527,1.0,3.035714721571808,0.239557078795903,1.469239696064889e-07,3.648529852741343,2.388747802181834,0.5,0.13333333333333333,15,4
518,3,ZNF740,518,1.0,3.035714721571808,0.44362122556635836,4.412166200802289e-24,3.285286788739825,2.236388702005206,0.5,0.13333333333333333,15,4
3428,3,THRB,3428,-1.0,1.7549669703782376,-0.5117908222810599,9.767317322968619e-33,2.6442322333569015,1.5921989885561276,0.5714285714285714,0.19047619047619047,21,7
3436,3,THRB,3436,-1.0,1.7549669703782376,0.3383044316103644,4.767323872688578e-14,-2.8028073316593596,1.7801530125706946,0.5714285714285714,0.19047619047619047,21,7
3424,3,THRB,3424,-1.0,1.7549669703782376,0.22619558587139038,7.228904259816617e-07,-2.9868563082156006,1.9600555409650966,0.5714285714285714,0.19047619047619047,21,7
3440,3,THRB,3440,-1.0,1.7549669703782376,0.5229694364026769,2.372672998818557e-34,-3.1631570369710564,2.0332330480998815,0.5714285714285714,0.19047619047619047,21,7
1123,3,E2F3,1123,1.0,3.0016181506345156,0.42199089157237846,1.0178572499668014e-21,3.9201105400203526,2.7598483067042308,1.0,0.3333333333333333,3,1
196,3,ALX3,196,1.0,2.9643056821929727,0.2647828173711429,5.5615495814833535e-09,3.8498009705142997,2.46880282008396,0.5,0.09523809523809523,21,4
184,3,ALX3,184,1.0,2.9643056821929727,0.3381809901954807,4.875401038000175e-14,4.079002055032282,2.9957830172596354,0.5,0.09523809523809523,21,4
2590,3,SOX11,2590,1.0,3.0454070114916374,0.3209271120271102,1.0152188993724235e-12,2.7087567171391185,1.7200649171770743,0.42857142857142855,0.12,25,7
