,Regulon_ID,Regulator,Gene
0,0,ETS1,PCP4L1
1,0,ETS1,NHLRC4
2,0,ETS1,ADCY2
3,0,ETS1,SMPX
4,0,ETS1,FOXN3
5,0,ETS1,PRICKLE2
6,0,ETS1,ASB1
7,0,ETS1,NFIA
8,0,ETS1,DCT
9,0,ETS1,SOX17
10,0,ETS1,ABCA6
11,0,ETS1,ATP2B4
12,0,ETS1,C3orf18
13,0,ETS1,HGF
14,0,ETS1,ZNF354C
15,0,ETS1,IFFO1
16,0,ETS1,CRISPLD1
17,0,ETS1,PHF1
18,0,ETS1,PPP1R14A
19,0,ETS1,WNK3
20,0,ETS1,TCF21
21,0,ETS1,ZNF436
22,0,ETS1,COL21A1
23,0,ETS1,TSHZ1
24,0,ETS1,ADAMTS1
25,0,ETS1,BICC1
26,0,ETS1,BEX4
27,0,ETS1,CEP68
28,0,ETS1,GIMAP8
29,0,ETS1,NTN1
30,0,ETS1,S1PR1
31,0,ETS1,SMOC2
32,0,ETS1,PKNOX2
33,0,ETS1,POPDC2
34,0,ETS1,MOCS1
35,0,ETS1,FLRT2
36,0,ETS1,MMRN2
37,0,ETS1,LRRN4CL
38,0,ETS1,MDFIC
39,0,ETS1,CAV1
40,0,ETS1,KCNN3
41,0,ETS1,COL8A1
42,0,ETS1,FLNA
43,0,ETS1,SDC3
44,0,ETS1,SLIT3
45,0,ETS1,HEYL
46,0,ETS1,ROR2
47,0,ETS1,RASD2
48,0,ETS1,SPARCL1
49,0,ETS1,FGF7
50,0,ETS1,KLHL5
51,0,ETS1,TNFAIP8L3
52,0,ETS1,TMEM47
53,0,ETS1,FHL1
54,0,ETS1,SYDE1
55,0,ETS1,ST3GAL3
56,0,ETS1,DNAJB5
57,0,ETS1,OMD
58,0,ETS1,RBMS3
59,0,ETS1,RAB31
60,0,ETS1,TLN1
61,0,ETS1,CDH11
62,0,ETS1,FAM124B
63,0,ETS1,PDZD4
64,0,ETS1,ARHGEF25
65,0,ETS1,UBE2E2
66,0,ETS1,PHLDB2
67,0,ETS1,NR2F1
68,0,ETS1,ARHGEF17
69,0,ETS1,RNF150
70,0,ETS1,NFIC
71,0,ETS1,FGFR1
72,0,ETS1,LAMA4
73,0,ETS1,ZBTB4
74,0,ETS1,CYP1B1
75,0,ETS1,INMT
76,0,ETS1,HSPB8
77,0,ETS1,MMP16
78,0,ETS1,DNAJC18
79,0,ETS1,PDE5A
80,0,ETS1,KCNE4
81,0,ETS1,ACTA2
82,0,ETS1,LAMA2
83,0,ETS1,PLXDC2
84,0,ETS1,CCDC50
85,0,ETS1,CFH
86,0,ETS1,CSRP1
87,0,ETS1,VWC2
88,0,ETS1,MYOZ2
89,0,ETS1,NACC2
90,0,ETS1,SSC5D
91,0,ETS1,TUBB6
92,0,ETS1,SCN4B
93,0,ETS1,PRSS23
94,0,ETS1,ITGA1
95,0,ETS1,CCDC69
96,0,ETS1,FYCO1
97,0,ETS1,DUSP26
98,0,ETS1,BNC2
99,0,ETS1,CC2D2A
100,0,ETS1,ZNF521
101,0,ETS1,PPP1R12C
102,0,ETS1,TPM2
103,0,ETS1,FBXO30
104,0,ETS1,C1QTNF7
105,0,ETS1,MAP7D3
106,0,ETS1,EFEMP2
107,0,ETS1,KLF9
108,0,ETS1,DES
109,0,ETS1,FNBP1
110,0,ETS1,RBFOX2
111,0,ETS1,ITPR1
112,0,ETS1,SLC2A4
113,0,ETS1,RNF217
114,0,ETS1,DUSP19
115,0,ETS1,PLCL1
116,0,ETS1,PDE1A
117,0,ETS1,FLNC
118,0,ETS1,SVIL
119,0,ETS1,PEAR1
120,0,ETS1,FKBP7
121,0,ETS1,CAB39L
122,0,ETS1,CLMP
123,0,ETS1,SVEP1
124,0,ETS1,NTNG2
125,0,ETS1,MAP1A
126,0,ETS1,RASGRP2
127,0,ETS1,MYL9
128,0,ETS1,RASSF2
129,0,ETS1,TSPAN18
130,0,ETS1,EMCN
131,0,ETS1,FAM107A
132,0,ETS1,SLMAP
133,0,ETS1,KCND1
134,0,ETS1,VIPR2
135,0,ETS1,QKI
136,0,ETS1,LRP1B
137,0,ETS1,CNN3
138,0,ETS1,TGFB3
139,0,ETS1,MAP6
140,0,ETS1,RFTN2
141,0,ETS1,ADCYAP1R1
142,0,ETS1,CCDC136
143,0,ETS1,SDC2
144,0,ETS1,FBXL7
145,0,ETS1,MYOC
146,0,ETS1,LOXL1
147,0,ETS1,SYNM
148,0,ETS1,NPTXR
149,0,ETS1,ITGA5
150,0,ETS1,RGS4
151,0,ETS1,IGFBP7
152,0,ETS1,IGF1
153,0,ETS1,ANK2
154,0,ETS1,SFRP4
155,0,ETS1,DACT1
156,0,ETS1,DLC1
157,0,ETS1,EID1
158,0,ETS1,NEGR1
159,0,ETS1,SLC8A1
160,0,ETS1,MTUS2
161,0,ETS1,MRAS
162,0,ETS1,AKT3
