,Coefficient
SREBF2,-0.0004429080986079872
TRIM28,-0.0002978191764558119
ZNF410,0.0007844250307949825
RUNX1,0.0
NF1,-0.00047123836891112394
CDC5L,-0.002328912146229826
FOXO3,0.0
TFE3,0.10114023406568276
TFCP2,-0.10900858187669814
YY1,0.0
RFX1,0.09095562144863033
ELF1,0.0
ERF,0.004307693043282308
CEBPB,0.12490439225520436
NR4A2,0.0370725334741033
NFIL3,0.0
TGIF1,-0.012176865887995941
EGR2,0.03476433225975874
NR2F6,0.00017614039184774387
ZFX,-0.0016673215089975
CREB1,0.0
MYB,-0.0008794379485596735
BDP1,-0.0006651772253300344
SNAI2,0.12370025112483468
FOXD3,0.043347069902131274
POU2F1,-0.03100211933067121
ATF5,0.0018075741841180092
HBP1,-0.0004128010575251144
DBP,0.08411478615416149
CLOCK,0.0
