,out_degree_aligned
CREB1,15
ZNF143,12
NFAT5,12
ELK4,12
MYB,9
POU2F1,8
HBP1,8
SP3,8
NR2C2,8
PKNOX1,8
ZFX,8
E2F3,7
REL,7
NF1,7
CLOCK,7
BRCA1,7
GFI1,6
NFIL3,6
BDP1,6
RFX3,6
RFX7,6
KLF12,6
GTF2A1,5
FLI1,5
ZNF148,5
HOXA6,5
TFCP2,5
ATF1,5
ATF2,5
MTF1,5
NR4A2,5
EHF,5
REST,4
STAT1,4
ETV6,4
ZBTB49,4
FOXO3,4
RUNX1,4
SNAI2,4
BACH1,4
HMBOX1,4
PROX1,4
GABPB1,3
TFEC,3
SP4,3
HSF2,3
CDC5L,3
HOXA11,3
FOXO1,3
E2F7,3
NFE2L2,3
STAT4,3
E2F6,2
ETS1,2
STAT3,2
FOS,2
ZBTB6,2
ZNF384,2
ETV3,2
TBP,2
TTF1,2
BBX,2
ZNF410,2
DR1,2
CEBPZ,2
TGIF1,1
ZSCAN16,1
EGR2,1
SMAD4,1
TNFRSF10A,1
ALX3,1
ELF1,1
IKZF3,1
EMX1,1
ETV1,1
HOXB3,1
ZNF35,0
MECOM,0
EBF1,0
HOXA13,0
HESX1,0
YY1,0
LHX4,0
FOXJ2,0
SH2D1A,0
HLTF,0
